상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2017-06-16,01관,"10:30,  하루(디지털)","12:30,  꼬마참새 리차드: 아프리카 원정대(디지털더빙),  5,000원","14:30,  나의 붉은고래(디지털더빙)","16:50,  미이라(디지털),  5,000원","19:20,  나의 붉은고래(디지털),  5,000원","21:30,  미이라(3D 디지털),  8,000원",,,,,,,,,58
2017-06-16,02관,"10:00,  청춘 합창단 - 또 하나의 꿈(디지털),  5,000원","11:50,  꼬마돼지 베이브의 대모험(디지털더빙)","13:30,  청춘 합창단 - 또 하나의 꿈(디지털),  5,000원","15:40,  노무현입니다(디지털),  5,000원","18:20,  하루(디지털),  5,000원","21:00,  악녀(디지털),  5,000원",,,,,,,,,43
2017-06-17,01관,"10:30,  하루(디지털),  5,000원","12:30,  꼬마참새 리차드: 아프리카 원정대(디지털더빙),  5,000원","14:30,  나의 붉은고래(디지털더빙),  5,000원","16:50,  미이라(디지털),  5,000원","19:20,  나의 붉은고래(디지털),  5,000원","21:30,  미이라(3D 디지털),  8,000원",,,,,,,,,58
2017-06-17,02관,"10:00,  청춘 합창단 - 또 하나의 꿈(디지털),  5,000원","11:50,  꼬마돼지 베이브의 대모험(디지털더빙),  5,000원","13:30,  노무현입니다(디지털),  5,000원","16:00,  하루(디지털),  5,000원","18:20,  노무현입니다(디지털),  5,000원","20:50,  악녀(디지털),  5,000원",,,,,,,,,43
2017-06-18,01관,"10:30,  하루(디지털),  5,000원","13:00,  꼬마참새 리차드: 아프리카 원정대(디지털더빙),  5,000원","15:20,  꼬마돼지 베이브의 대모험(디지털더빙),  5,000원","17:30,  나의 붉은고래(디지털),  5,000원","19:40,  미이라(3D 디지털),  8,000원",,,,,,,,,,58
2017-06-18,02관,"10:00,  청춘 합창단 - 또 하나의 꿈(디지털),  5,000원","12:00,  노무현입니다(디지털),  5,000원","14:40,  미이라(디지털),  5,000원","17:20,  하루(디지털),  5,000원","19:50,  악녀(디지털),  5,000원",,,,,,,,,,43
2017-06-19,01관,"10:20,  청춘 합창단 - 또 하나의 꿈(디지털),  5,000원","12:00,  꼬마참새 리차드: 아프리카 원정대(디지털더빙)","13:40,  청춘 합창단 - 또 하나의 꿈(디지털),  5,000원","16:00,  나의 붉은고래(디지털더빙),  5,000원","18:20,  하루(디지털),  5,000원","20:20,  미이라(3D 디지털),  8,000원",,,,,,,,,58
2017-06-19,02관,"10:20,  청춘 합창단 - 또 하나의 꿈(디지털),  5,000원","12:00,  꼬마돼지 베이브의 대모험(디지털더빙),  5,000원","13:40,  청춘 합창단 - 또 하나의 꿈(디지털)","15:40,  미이라(디지털)","18:00,  나의 붉은고래(디지털)","20:10,  악녀(디지털),  5,000원",,,,,,,,,43
2017-06-20,01관,"10:10,  꼬마돼지 베이브의 대모험(디지털더빙),  5,000원","13:00,  꼬마참새 리차드: 아프리카 원정대(디지털더빙)","15:20,  하루(디지털),  5,000원","18:20,  나의 붉은고래(디지털),  5,000원","20:40,  미이라(3D 디지털),  8,000원",,,,,,,,,,58
2017-06-20,02관,"10:00,  청춘 합창단 - 또 하나의 꿈(디지털),  5,000원","12:00,  나의 붉은고래(디지털더빙)","14:40,  미이라(디지털),  5,000원","18:30,  하루(디지털),  5,000원","20:30,  악녀(디지털),  5,000원",,,,,,,,,,43
2017-06-21,01관,"10:30,  꼬마돼지 베이브의 대모험(디지털더빙)","13:00,  나의 붉은고래(디지털)","16:00,  하루(디지털)","18:30,  트랜스포머: 최후의 기사(3D 디지털),  8,000원","21:30,  트랜스포머: 최후의 기사(3D 디지털),  8,000원",,,,,,,,,,58
2017-06-21,02관,"10:00,  꼬마참새 리차드: 아프리카 원정대(디지털더빙)","12:30,  하루(디지털),  5,000원","15:10,  악녀(디지털),  5,000원","18:50,  트랜스포머: 최후의 기사(디지털),  5,000원","21:50,  트랜스포머: 최후의 기사(디지털),  5,000원",,,,,,,,,,43
2017-06-22,01관,"10:30,  악녀(디지털)","13:10,  나의 붉은고래(디지털)","16:00,  하루(디지털)","18:30,  트랜스포머: 최후의 기사(3D 디지털),  8,000원","21:30,  트랜스포머: 최후의 기사(3D 디지털),  8,000원",,,,,,,,,,58
2017-06-22,02관,"10:00,  꼬마참새 리차드: 아프리카 원정대(디지털더빙)","11:50,  꼬마돼지 베이브의 대모험(디지털더빙)","13:40,  청춘 합창단 - 또 하나의 꿈(디지털),  5,000원","15:30,  트랜스포머: 최후의 기사(디지털),  5,000원","18:50,  트랜스포머: 최후의 기사(디지털),  5,000원","22:00,  다크 하우스(디지털),  5,000원",,,,,,,,,43
2017-06-23,01관,"09:40,  꼬마참새 리차드: 아프리카 원정대(디지털더빙)","11:20,  트랜스포머: 최후의 기사(3D 디지털),  8,000원","14:10,  꼬마돼지 베이브의 대모험(디지털더빙),  5,000원","16:20,  하루(디지털),  5,000원","18:30,  트랜스포머: 최후의 기사(3D 디지털),  8,000원","21:30,  트랜스포머: 최후의 기사(3D 디지털),  8,000원",,,,,,,,,58
2017-06-23,02관,"10:00,  다크 하우스(디지털)","12:20,  나의 붉은고래(디지털)","14:30,  꼬마참새 리차드: 아프리카 원정대(디지털더빙)","16:20,  악녀(디지털),  5,000원","19:00,  트랜스포머: 최후의 기사(디지털),  5,000원","22:00,  하루(디지털),  5,000원",,,,,,,,,43
2017-06-24,01관,"10:00,  꼬마참새 리차드: 아프리카 원정대(디지털더빙),  5,000원","12:00,  나의 붉은고래(디지털더빙),  5,000원","14:10,  꼬마돼지 베이브의 대모험(디지털더빙),  5,000원","16:00,  트랜스포머: 최후의 기사(3D 디지털),  8,000원","19:00,  하루(디지털),  5,000원","21:00,  트랜스포머: 최후의 기사(3D 디지털),  8,000원",,,,,,,,,58
2017-06-24,02관,"10:30,  하루(디지털),  5,000원","12:30,  트랜스포머: 최후의 기사(디지털),  5,000원","15:20,  꼬마참새 리차드: 아프리카 원정대(디지털더빙),  5,000원","17:00,  트랜스포머: 최후의 기사(디지털),  5,000원","20:00,  악녀(디지털),  5,000원","22:30,  다크 하우스(디지털),  5,000원",,,,,,,,,43
2017-06-25,01관,"10:20,  나의 붉은고래(디지털더빙),  5,000원","12:20,  꼬마참새 리차드: 아프리카 원정대(디지털더빙),  5,000원","14:00,  꼬마돼지 베이브의 대모험(디지털더빙),  5,000원","16:00,  트랜스포머: 최후의 기사(3D 디지털),  8,000원","19:00,  트랜스포머: 최후의 기사(3D 디지털),  8,000원",,,,,,,,,,58
2017-06-25,02관,"10:00,  악녀(디지털),  5,000원","12:30,  트랜스포머: 최후의 기사(디지털),  5,000원","15:30,  하루(디지털),  5,000원","17:30,  트랜스포머: 최후의 기사(디지털),  5,000원","20:20,  다크 하우스(디지털),  5,000원",,,,,,,,,,43
2017-06-26,01관,"10:30,  꼬마돼지 베이브의 대모험(디지털더빙)","12:30,  하루(디지털),  5,000원","15:00,  꼬마참새 리차드: 아프리카 원정대(디지털더빙)","18:40,  트랜스포머: 최후의 기사(3D 디지털),  8,000원","21:30,  다크 하우스(디지털),  5,000원",,,,,,,,,,58
2017-06-26,02관,"10:00,  청춘 합창단 - 또 하나의 꿈(디지털),  5,000원","12:00,  악녀(디지털),  5,000원","15:00,  나의 붉은고래(디지털)","18:50,  하루(디지털),  5,000원","20:50,  트랜스포머: 최후의 기사(디지털),  5,000원",,,,,,,,,,43
2017-06-27,01관,"10:30,  꼬마돼지 베이브의 대모험(디지털더빙)","12:30,  꼬마참새 리차드: 아프리카 원정대(디지털더빙)","15:00,  하루(디지털),  5,000원","18:40,  트랜스포머: 최후의 기사(3D 디지털),  8,000원","21:30,  다크 하우스(디지털),  5,000원",,,,,,,,,,58
2017-06-27,02관,"10:00,  청춘 합창단 - 또 하나의 꿈(디지털)","12:00,  나의 붉은고래(디지털)","16:00,  트랜스포머: 최후의 기사(디지털),  5,000원","18:50,  악녀(디지털),  5,000원","21:20,  하루(디지털),  5,000원",,,,,,,,,,43
2017-06-28,01관,"10:00,  꼬마돼지 베이브의 대모험(디지털더빙)","11:40,  꼬마참새 리차드: 아프리카 원정대(디지털더빙)","13:20,  박열(디지털),  4,000원","16:00,  트랜스포머: 최후의 기사(3D 디지털),  7,000원","19:00,  박열(디지털),  4,000원","21:30,  리얼(디지털),  5,000원",,,,,,,,,58
2017-06-28,02관,"10:10,  나의 붉은고래(디지털)","12:10,  악녀(디지털),  4,000원","14:40,  리얼(디지털),  5,000원","17:20,  하루(디지털),  4,000원","19:20,  트랜스포머: 최후의 기사(디지털),  4,000원","22:20,  다크 하우스(디지털)",,,,,,,,,43
2017-06-29,01관,"10:00,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  5,000원","11:50,  트랜스포머: 최후의 기사(디지털),  5,000원","15:10,  리얼(디지털),  5,000원","18:10,  박열(디지털),  5,000원","20:40,  리얼(디지털),  5,000원",,,,,,,,,,58
2017-06-29,02관,"10:30,  부니베어: 로거빅 컴백홈 프로젝트(디지털더빙)","12:00,  다크 하우스(디지털),  5,000원","14:20,  박열(디지털),  5,000원","18:30,  옥자(디지털),  5,000원","20:50,  옥자(디지털),  5,000원",,,,,,,,,,43
2017-06-30,01관,"10:00,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙)","12:30,  박열(디지털),  5,000원","15:00,  트랜스포머: 최후의 기사(3D 디지털),  8,000원","18:10,  박열(디지털),  5,000원","20:40,  리얼(디지털),  5,000원",,,,,,,,,,58
2017-06-30,02관,"10:30,  부니베어: 로거빅 컴백홈 프로젝트(디지털더빙)","12:00,  리얼(디지털),  5,000원","15:30,  다크 하우스(디지털),  5,000원","18:30,  옥자(디지털),  5,000원","20:50,  옥자(디지털),  5,000원",,,,,,,,,,43
