상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2017-05-27,05관,"11:00,  보스 베이비(디지털더빙),  5,000원","13:05,  보스 베이비(디지털더빙),  11,000원","15:10,  보스 베이비(디지털더빙),  11,000원","17:15,  불한당: 나쁜 놈들의 세상(디지털),  11,000원","19:40,  보안관(디지털),  11,000원","22:00,  킹 아서: 제왕의 검(디지털),  11,000원","24:30,  노무현입니다(디지털),  6,000원",,,,,,238
2017-05-27,06관,"09:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","11:35,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  10,000원","14:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","16:45,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","19:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","21:55,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","24:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  6,000원",,,,,,256
2017-05-27,07관,"09:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","11:45,  킹 아서: 제왕의 검(디지털),  10,000원","14:20,  너와 100번째 사랑(디지털),  11,000원","16:40,  너와 100번째 사랑(디지털),  11,000원","19:00,  불한당: 나쁜 놈들의 세상(디지털),  11,000원","21:25,  너와 100번째 사랑(디지털),  11,000원","23:45,  불한당: 나쁜 놈들의 세상(디지털),  6,000원",,,,,,238
2017-05-28,01관,"10:35,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","13:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","15:45,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","18:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","20:55,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","23:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  6,000원",,,,,,,272
2017-05-28,02관,"10:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","12:35,  보안관(디지털),  10,000원","14:55,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","17:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","20:05,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","22:40,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원",,,,,,,272
2017-05-28,03관,"10:40,  겟 아웃(디지털),  5,000원","13:00,  겟 아웃(디지털),  11,000원","15:20,  겟 아웃(디지털),  11,000원","17:40,  겟 아웃(디지털),  11,000원","20:00,  겟 아웃(디지털),  11,000원","22:20,  겟 아웃(디지털),  11,000원","24:40,  겟 아웃(디지털),  6,000원",,,,,,256
2017-05-28,04관,"09:40,  노무현입니다(디지털),  5,000원","11:55,  노무현입니다(디지털),  10,000원","14:10,  노무현입니다(디지털),  11,000원","16:25,  노무현입니다(디지털),  11,000원","18:40,  노무현입니다(디지털),  11,000원","20:55,  노무현입니다(디지털),  11,000원","23:10,  노무현입니다(디지털),  6,000원",,,,,,256
2017-05-28,05관,"11:00,  보스 베이비(디지털더빙),  5,000원","13:05,  보스 베이비(디지털더빙),  11,000원","15:10,  보스 베이비(디지털더빙),  11,000원","17:15,  불한당: 나쁜 놈들의 세상(디지털),  11,000원","19:40,  보안관(디지털),  11,000원","22:00,  킹 아서: 제왕의 검(디지털),  11,000원","24:30,  노무현입니다(디지털),  6,000원",,,,,,238
2017-05-28,06관,"09:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","11:35,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  10,000원","14:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","16:45,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","19:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","21:55,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","24:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  6,000원",,,,,,256
2017-05-28,07관,"09:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","11:45,  킹 아서: 제왕의 검(디지털),  10,000원","14:20,  너와 100번째 사랑(디지털),  11,000원","16:40,  너와 100번째 사랑(디지털),  11,000원","19:00,  불한당: 나쁜 놈들의 세상(디지털),  11,000원","21:25,  너와 100번째 사랑(디지털),  11,000원","23:45,  불한당: 나쁜 놈들의 세상(디지털),  6,000원",,,,,,238
