1회,2회,3회,4회,5회,6회,7회,8회,9회,상영관,상영일자,좌석수
"09:00,  신과함께-인과 연(디지털),  9,000원","11:50,  신과함께-인과 연(디지털),  10,000원","14:40,  신과함께-인과 연(디지털),  11,000원","17:30,  신과함께-인과 연(디지털),  11,000원","20:20,  신과함께-인과 연(디지털),  11,000원","23:10,  신과함께-인과 연(디지털),  11,000원",,,,03관,2018-08-15,251
"08:55,  몬스터 호텔 3(디지털더빙),  7,000원","11:00,  몬스터 호텔 3(디지털더빙),  8,000원","13:05,  몬스터 호텔 3(디지털더빙),  10,000원","15:10,  공작(디지털),  11,000원","17:55,  공작(디지털),  11,000원","20:40,  공작(디지털),  11,000원","24:00,  맘마미아!2(디지털),  11,000원",,,04관,2018-08-15,125
"09:00,  메가로돈(디지털),  7,000원","11:20,  메가로돈(디지털),  11,000원","13:40,  메가로돈(디지털),  11,000원","16:00,  신과함께-인과 연(디지털),  11,000원","18:50,  신과함께-인과 연(디지털),  11,000원","21:40,  신과함께-인과 연(디지털),  11,000원","24:30,  신과함께-인과 연(디지털),  8,000원",,,05관,2018-08-15,134
"09:40,  목격자(디지털),  10,000원","12:00,  목격자(디지털),  11,000원","14:20,  목격자(디지털),  11,000원","16:40,  목격자(디지털),  11,000원","19:00,  목격자(디지털),  11,000원","21:20,  목격자(디지털),  11,000원","23:40,  목격자(디지털),  11,000원",,,06관,2018-08-15,164
"09:00,  명탐정 코난 : 제로의 집행인(디지털더빙),  7,000원","11:15,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  9,000원","13:30,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  11,000원","15:45,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  10,000원","18:00,  목격자(디지털),  11,000원","20:20,  목격자(디지털),  11,000원","22:40,  목격자(디지털),  11,000원",,,07관,2018-08-15,89
"10:10,  플로이(디지털더빙),  9,000원","12:10,  플로이(디지털더빙),  10,000원","14:00,  맘마미아!2(디지털),  11,000원","16:20,  몬스터 호텔 3(디지털더빙),  11,000원","18:25,  메가로돈(디지털),  11,000원","21:00,  메가로돈(디지털),  11,000원","23:20,  메가로돈(디지털),  11,000원",,,08관,2018-08-15,85
"08:50,  공작(디지털),  6,000원","11:35,  공작(디지털),  10,000원","14:30,  공작(디지털),  10,000원","17:15,  공작(디지털),  10,000원","20:00,  공작(디지털),  10,000원","22:55,  공작(디지털),  10,000원",,,,01관,2018-08-16,206
"10:25,  공작(디지털),  7,000원","13:10,  공작(디지털),  10,000원","15:55,  공작(디지털),  10,000원","18:40,  공작(디지털),  10,000원","21:25,  공작(디지털),  10,000원","24:20,  공작(디지털)",,,,02관,2018-08-16,246
"09:00,  신과함께-인과 연(디지털),  6,000원","11:50,  신과함께-인과 연(디지털),  9,000원","14:40,  신과함께-인과 연(디지털),  10,000원","17:30,  신과함께-인과 연(디지털),  10,000원","20:20,  신과함께-인과 연(디지털),  10,000원","23:10,  신과함께-인과 연(디지털),  10,000원",,,,03관,2018-08-16,251
"08:55,  몬스터 호텔 3(디지털더빙)","11:00,  몬스터 호텔 3(디지털더빙),  6,000원","13:05,  몬스터 호텔 3(디지털더빙),  10,000원","15:10,  공작(디지털),  10,000원","17:55,  공작(디지털),  10,000원","20:40,  공작(디지털),  9,000원","24:00,  맘마미아!2(디지털)",,,04관,2018-08-16,125
"09:00,  메가로돈(디지털),  6,000원","11:20,  메가로돈(디지털),  9,000원","13:40,  메가로돈(디지털),  10,000원","16:00,  신과함께-인과 연(디지털),  10,000원","18:50,  신과함께-인과 연(디지털),  10,000원","21:40,  신과함께-인과 연(디지털),  10,000원","24:30,  신과함께-인과 연(디지털),  9,000원",,,05관,2018-08-16,134
"09:40,  목격자(디지털),  6,000원","12:00,  목격자(디지털),  9,000원","14:20,  목격자(디지털),  10,000원","16:40,  목격자(디지털),  10,000원","19:00,  목격자(디지털),  10,000원","21:20,  목격자(디지털),  10,000원","23:40,  목격자(디지털),  9,000원",,,06관,2018-08-16,164
"09:00,  명탐정 코난 : 제로의 집행인(디지털더빙),  7,000원","11:15,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  8,000원","13:30,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  10,000원","15:45,  몬스터 호텔 3(디지털더빙),  9,000원","18:00,  목격자(디지털),  10,000원","20:20,  목격자(디지털),  10,000원","22:40,  목격자(디지털),  10,000원",,,07관,2018-08-16,89
"10:10,  플로이(디지털더빙)","12:10,  플로이(디지털더빙),  10,000원","14:00,  맘마미아!2(디지털),  10,000원","16:20,  맘마미아!2(디지털),  10,000원","18:40,  메가로돈(디지털),  10,000원","21:00,  메가로돈(디지털),  10,000원","23:20,  메가로돈(디지털),  10,000원",,,08관,2018-08-16,85
"08:50,  공작(디지털),  7,000원","11:35,  공작(디지털),  11,000원","14:30,  공작(디지털),  11,000원","17:15,  공작(디지털),  11,000원","20:00,  공작(디지털),  11,000원","22:55,  공작(디지털),  11,000원",,,,01관,2018-08-17,206
"10:25,  공작(디지털),  7,000원","13:10,  공작(디지털),  11,000원","15:55,  공작(디지털),  11,000원","18:40,  공작(디지털),  11,000원","21:25,  공작(디지털),  11,000원","24:20,  공작(디지털),  10,000원",,,,02관,2018-08-17,246
"09:00,  신과함께-인과 연(디지털),  7,000원","11:50,  신과함께-인과 연(디지털),  11,000원","14:40,  신과함께-인과 연(디지털),  11,000원","17:30,  신과함께-인과 연(디지털),  11,000원","20:20,  신과함께-인과 연(디지털),  11,000원","23:10,  신과함께-인과 연(디지털),  11,000원",,,,03관,2018-08-17,251
"08:55,  몬스터 호텔 3(디지털더빙),  7,000원","11:00,  몬스터 호텔 3(디지털더빙),  7,000원","13:05,  몬스터 호텔 3(디지털더빙),  10,000원","15:10,  목격자(디지털),  11,000원","17:25,  목격자(디지털),  11,000원","19:40,  목격자(디지털),  11,000원","21:55,  맘마미아!2(디지털),  11,000원","24:15,  맘마미아!2(디지털),  9,000원",,04관,2018-08-17,125
"09:00,  메가로돈(디지털),  7,000원","11:20,  메가로돈(디지털),  10,000원","13:40,  메가로돈(디지털),  11,000원","16:00,  신과함께-인과 연(디지털),  11,000원","18:50,  신과함께-인과 연(디지털),  11,000원","21:40,  신과함께-인과 연(디지털),  11,000원","24:30,  신과함께-인과 연(디지털),  9,000원",,,05관,2018-08-17,134
"09:40,  목격자(디지털),  10,000원","12:00,  목격자(디지털),  11,000원","14:20,  목격자(디지털),  11,000원","16:40,  목격자(디지털),  11,000원","19:00,  목격자(디지털),  11,000원","21:20,  목격자(디지털),  11,000원","23:40,  목격자(디지털),  11,000원",,,06관,2018-08-17,164
"09:00,  명탐정 코난 : 제로의 집행인(디지털더빙),  7,000원","11:15,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  11,000원","13:30,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  11,000원","15:45,  몬스터 호텔 3(디지털더빙),  11,000원","18:00,  목격자(디지털),  11,000원","20:20,  목격자(디지털),  11,000원","22:40,  목격자(디지털),  11,000원",,,07관,2018-08-17,89
"10:10,  플로이(디지털더빙),  7,000원","12:10,  플로이(디지털더빙),  7,000원","14:00,  맘마미아!2(디지털),  10,000원","16:20,  맘마미아!2(디지털),  11,000원","18:40,  메가로돈(디지털),  11,000원","21:00,  메가로돈(디지털),  11,000원","23:20,  메가로돈(디지털),  11,000원",,,08관,2018-08-17,85
"09:00,  신과함께-인과 연(디지털),  7,000원","11:50,  신과함께-인과 연(디지털),  11,000원","14:40,  공작(디지털),  11,000원","17:25,  공작(디지털),  11,000원","20:10,  공작(디지털),  11,000원","22:55,  공작(디지털),  11,000원",,,,01관,2018-08-18,206
"10:25,  공작(디지털),  7,000원","13:10,  공작(디지털),  11,000원","15:55,  공작(디지털),  11,000원","18:40,  공작(디지털),  11,000원","21:25,  공작(디지털),  11,000원","24:10,  공작(디지털),  9,000원",,,,02관,2018-08-18,246
"08:55,  플로이(디지털더빙),  7,000원","10:45,  목격자(디지털),  7,000원","13:05,  목격자(디지털),  11,000원","15:25,  목격자(디지털),  11,000원","17:45,  목격자(디지털),  11,000원","20:05,  목격자(디지털),  11,000원","22:25,  목격자(디지털),  11,000원",,,03관,2018-08-18,251
"08:50,  몬스터 호텔 3(디지털더빙),  7,000원","10:55,  몬스터 호텔 3(디지털더빙),  7,000원","13:00,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  11,000원","15:15,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  11,000원","17:50,  신과함께-인과 연(디지털),  11,000원","20:40,  신과함께-인과 연(디지털),  10,000원","23:30,  신과함께-인과 연(디지털),  11,000원",,,04관,2018-08-18,125
"09:00,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  6,000원","11:15,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  10,000원","13:30,  신과함께-인과 연(디지털),  11,000원","16:20,  신과함께-인과 연(디지털),  11,000원","19:20,  신과함께-인과 연(디지털),  11,000원","22:10,  신과함께-인과 연(디지털),  11,000원",,,,05관,2018-08-18,134
"09:40,  목격자(디지털),  7,000원","12:00,  목격자(디지털),  11,000원","14:20,  목격자(디지털),  11,000원","16:40,  목격자(디지털),  11,000원","19:00,  목격자(디지털),  11,000원","21:20,  목격자(디지털),  11,000원","23:40,  목격자(디지털),  11,000원",,,06관,2018-08-18,164
"09:05,  메가로돈(디지털),  7,000원","11:25,  메가로돈(디지털),  11,000원","13:45,  몬스터 호텔 3(디지털더빙),  11,000원","15:50,  메가로돈(디지털),  11,000원","18:10,  메가로돈(디지털),  11,000원","20:30,  메가로돈(디지털),  11,000원","22:50,  메가로돈(디지털),  11,000원",,,07관,2018-08-18,89
"10:00,  명탐정 코난 : 제로의 집행인(디지털더빙),  7,000원","12:15,  플로이(디지털더빙),  10,000원","14:05,  맘마미아!2(디지털),  11,000원","16:25,  몬스터 호텔 3(디지털더빙),  10,000원","18:50,  맘마미아!2(디지털),  11,000원","21:40,  맘마미아!2(디지털),  10,000원","24:00,  맘마미아!2(디지털),  11,000원",,,08관,2018-08-18,85
"09:00,  신과함께-인과 연(디지털),  7,500원","11:50,  신과함께-인과 연(디지털),  11,000원","14:40,  공작(디지털),  11,000원","17:25,  공작(디지털),  11,000원","20:10,  공작(디지털),  11,000원","22:55,  공작(디지털),  11,000원",,,,01관,2018-08-19,206
"10:25,  공작(디지털),  7,000원","13:10,  공작(디지털),  11,000원","15:55,  공작(디지털),  11,000원","18:40,  공작(디지털),  11,000원","21:25,  공작(디지털),  11,000원","24:10,  공작(디지털),  10,000원",,,,02관,2018-08-19,246
"08:55,  플로이(디지털더빙)","10:45,  목격자(디지털),  7,000원","13:05,  목격자(디지털),  11,000원","15:25,  목격자(디지털),  11,000원","17:45,  목격자(디지털),  10,000원","20:05,  목격자(디지털),  11,000원","22:25,  목격자(디지털),  11,000원",,,03관,2018-08-19,251
"08:50,  몬스터 호텔 3(디지털더빙),  7,000원","10:55,  몬스터 호텔 3(디지털더빙),  7,000원","13:00,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  11,000원","15:15,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  11,000원","17:55,  신과함께-인과 연(디지털),  11,000원","20:40,  신과함께-인과 연(디지털),  11,000원","23:30,  신과함께-인과 연(디지털),  10,000원",,,04관,2018-08-19,125
"09:00,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  7,000원","11:15,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  11,000원","13:30,  신과함께-인과 연(디지털),  10,000원","16:20,  신과함께-인과 연(디지털),  11,000원","19:20,  신과함께-인과 연(디지털),  11,000원","22:10,  신과함께-인과 연(디지털),  11,000원",,,,05관,2018-08-19,134
"09:40,  목격자(디지털),  7,000원","12:00,  목격자(디지털),  11,000원","14:20,  목격자(디지털),  11,000원","16:40,  목격자(디지털),  11,000원","19:00,  목격자(디지털),  11,000원","21:20,  목격자(디지털),  11,000원","23:40,  목격자(디지털),  11,000원",,,06관,2018-08-19,164
"09:05,  메가로돈(디지털),  7,000원","11:25,  메가로돈(디지털),  11,000원","13:45,  몬스터 호텔 3(디지털더빙),  11,000원","15:50,  메가로돈(디지털),  11,000원","18:10,  메가로돈(디지털),  11,000원","20:30,  메가로돈(디지털),  11,000원","22:50,  메가로돈(디지털),  11,000원",,,07관,2018-08-19,89
"10:00,  명탐정 코난 : 제로의 집행인(디지털더빙),  7,000원","12:15,  플로이(디지털더빙),  11,000원","14:05,  맘마미아!2(디지털),  11,000원","16:25,  몬스터 호텔 3(디지털더빙),  10,000원","18:50,  맘마미아!2(디지털),  11,000원","21:40,  맘마미아!2(디지털),  10,000원","24:00,  맘마미아!2(디지털),  10,000원",,,08관,2018-08-19,85
"09:00,  신과함께-인과 연(디지털),  6,000원","11:50,  신과함께-인과 연(디지털),  9,000원","14:40,  공작(디지털),  10,000원","17:25,  공작(디지털),  10,000원","20:10,  공작(디지털),  10,000원","22:55,  공작(디지털),  10,000원",,,,01관,2018-08-20,206
"10:25,  공작(디지털),  8,000원","13:10,  공작(디지털),  10,000원","15:55,  공작(디지털),  10,000원","18:40,  공작(디지털),  10,000원","21:25,  공작(디지털),  10,000원","24:10,  공작(디지털),  8,000원",,,,02관,2018-08-20,246
"08:55,  플로이(디지털더빙)","10:45,  목격자(디지털),  7,000원","13:05,  목격자(디지털),  10,000원","15:25,  목격자(디지털),  10,000원","17:45,  목격자(디지털),  10,000원","20:05,  목격자(디지털),  10,000원","22:25,  목격자(디지털),  10,000원",,,03관,2018-08-20,251
"08:50,  몬스터 호텔 3(디지털더빙)","10:55,  몬스터 호텔 3(디지털더빙),  8,000원","13:00,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  9,000원","15:15,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  9,000원","17:55,  신과함께-인과 연(디지털),  9,000원","20:40,  신과함께-인과 연(디지털),  9,000원","23:30,  신과함께-인과 연(디지털),  9,000원",,,04관,2018-08-20,125
"09:00,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  6,000원","11:15,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  8,000원","13:30,  신과함께-인과 연(디지털),  10,000원","16:20,  신과함께-인과 연(디지털),  10,000원","19:20,  신과함께-인과 연(디지털),  10,000원","22:10,  신과함께-인과 연(디지털),  10,000원",,,,05관,2018-08-20,134
"09:40,  목격자(디지털),  6,000원","12:00,  목격자(디지털),  9,000원","14:20,  목격자(디지털),  10,000원","16:40,  목격자(디지털),  10,000원","19:00,  목격자(디지털),  10,000원","21:20,  목격자(디지털),  10,000원","23:40,  목격자(디지털),  9,000원",,,06관,2018-08-20,164
"09:05,  메가로돈(디지털),  6,000원","11:25,  메가로돈(디지털),  9,000원","13:45,  몬스터 호텔 3(디지털더빙),  10,000원","15:50,  메가로돈(디지털),  10,000원","18:10,  메가로돈(디지털),  9,000원","20:30,  메가로돈(디지털),  10,000원","22:50,  메가로돈(디지털),  10,000원",,,07관,2018-08-20,89
"10:00,  맘마미아!2(디지털),  7,000원","12:20,  명탐정 코난 : 제로의 집행인(디지털더빙),  8,000원","14:35,  맘마미아!2(디지털),  9,000원","16:55,  맘마미아!2(디지털),  9,000원","19:15,  맘마미아!2(디지털),  10,000원","21:40,  맘마미아!2(디지털),  9,000원","24:00,  맘마미아!2(디지털),  10,000원",,,08관,2018-08-20,85
"09:00,  신과함께-인과 연(디지털),  6,000원","11:50,  신과함께-인과 연(디지털),  9,000원","14:40,  공작(디지털),  10,000원","17:25,  공작(디지털),  10,000원","20:10,  공작(디지털),  10,000원","22:55,  공작(디지털),  10,000원",,,,01관,2018-08-21,206
"10:25,  공작(디지털),  7,000원","13:10,  공작(디지털),  10,000원","15:55,  공작(디지털),  10,000원","18:40,  공작(디지털),  9,000원","21:25,  공작(디지털),  10,000원","24:10,  공작(디지털)",,,,02관,2018-08-21,246
"08:55,  플로이(디지털더빙)","10:45,  목격자(디지털),  7,000원","13:05,  목격자(디지털),  10,000원","15:25,  목격자(디지털),  10,000원","17:45,  목격자(디지털),  10,000원","20:05,  목격자(디지털),  10,000원","22:25,  목격자(디지털),  10,000원",,,03관,2018-08-21,251
"08:50,  몬스터 호텔 3(디지털더빙)","10:55,  몬스터 호텔 3(디지털더빙),  7,000원","13:00,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  9,000원","15:15,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  7,000원","17:55,  신과함께-인과 연(디지털),  10,000원","20:40,  신과함께-인과 연(디지털),  10,000원","23:30,  신과함께-인과 연(디지털),  10,000원",,,04관,2018-08-21,125
"09:00,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  6,000원","11:15,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  9,000원","13:30,  신과함께-인과 연(디지털),  10,000원","16:20,  신과함께-인과 연(디지털),  10,000원","19:20,  신과함께-인과 연(디지털),  10,000원","22:10,  신과함께-인과 연(디지털),  10,000원",,,,05관,2018-08-21,134
"09:40,  목격자(디지털),  6,000원","12:00,  목격자(디지털),  9,000원","14:20,  목격자(디지털),  10,000원","16:40,  목격자(디지털),  10,000원","19:00,  목격자(디지털),  10,000원","21:20,  목격자(디지털),  10,000원","23:40,  목격자(디지털),  9,000원",,,06관,2018-08-21,164
"09:05,  메가로돈(디지털),  6,000원","11:25,  메가로돈(디지털),  9,000원","13:45,  몬스터 호텔 3(디지털더빙),  9,000원","15:50,  메가로돈(디지털),  10,000원","18:10,  메가로돈(디지털),  10,000원","20:30,  메가로돈(디지털),  10,000원","22:50,  메가로돈(디지털),  10,000원",,,07관,2018-08-21,89
"10:00,  맘마미아!2(디지털),  6,000원","12:20,  명탐정 코난 : 제로의 집행인(디지털더빙),  9,000원","14:35,  맘마미아!2(디지털),  10,000원","16:55,  맘마미아!2(디지털),  10,000원","19:15,  맘마미아!2(디지털),  10,000원","21:40,  맘마미아!2(디지털),  10,000원","24:00,  맘마미아!2(디지털),  10,000원",,,08관,2018-08-21,85
"09:05,  나를 차버린 스파이(디지털),  7,000원","11:30,  나를 차버린 스파이(디지털),  7,000원","13:55,  나를 차버린 스파이(디지털),  10,000원","16:20,  나를 차버린 스파이(디지털),  10,000원","18:45,  나를 차버린 스파이(디지털),  10,000원","21:10,  나를 차버린 스파이(디지털),  9,000원","23:35,  나를 차버린 스파이(디지털),  9,000원",,,01관,2018-08-22,206
"09:30,  공작(디지털),  9,000원","12:15,  공작(디지털),  8,000원","15:00,  공작(디지털),  10,000원","17:45,  공작(디지털),  10,000원","20:30,  공작(디지털),  10,000원","23:15,  공작(디지털),  10,000원",,,,02관,2018-08-22,246
"09:40,  목격자(디지털),  6,000원","12:00,  목격자(디지털),  9,000원","14:20,  목격자(디지털),  10,000원","16:40,  목격자(디지털),  10,000원","19:00,  목격자(디지털),  10,000원","21:30,  목격자(디지털),  10,000원","24:00,  목격자(디지털),  10,000원",,,03관,2018-08-22,251
"10:10,  너의 결혼식(디지털),  6,000원","12:25,  너의 결혼식(디지털),  9,000원","14:40,  너의 결혼식(디지털),  10,000원","16:55,  너의 결혼식(디지털),  10,000원","19:30,  너의 결혼식(디지털),  10,000원","22:00,  너의 결혼식(디지털),  10,000원","24:20,  너의 결혼식(디지털),  9,000원",,,04관,2018-08-22,125
"10:40,  목격자(디지털),  7,000원","13:00,  목격자(디지털),  9,000원","15:20,  목격자(디지털),  10,000원","17:40,  목격자(디지털),  10,000원","20:10,  목격자(디지털),  10,000원","22:40,  목격자(디지털),  10,000원",,,,05관,2018-08-22,134
"09:00,  너의 결혼식(디지털),  6,000원","11:15,  너의 결혼식(디지털),  9,000원","13:30,  너의 결혼식(디지털),  10,000원","15:45,  너의 결혼식(디지털),  10,000원","18:00,  너의 결혼식(디지털),  10,000원","20:40,  너의 결혼식(디지털),  8,000원","23:05,  너의 결혼식(디지털),  10,000원",,,06관,2018-08-22,164
"09:00,  맘마미아!2(디지털),  6,000원","11:25,  메가로돈(디지털),  8,000원","13:45,  맘마미아!2(디지털),  10,000원","16:05,  공작(디지털),  10,000원","18:50,  공작(디지털),  10,000원","21:45,  공작(디지털),  10,000원","24:30,  공작(디지털),  9,000원",,,07관,2018-08-22,89
"10:10,  신과함께-인과 연(디지털),  7,500원","13:10,  몬스터 호텔 3(디지털더빙),  10,000원","15:30,  신과함께-인과 연(디지털),  10,000원","18:20,  신과함께-인과 연(디지털),  9,000원","21:20,  신과함께-인과 연(디지털),  10,000원","24:10,  메가로돈(디지털)",,,,08관,2018-08-22,85
"09:05,  나를 차버린 스파이(디지털),  6,000원","11:30,  나를 차버린 스파이(디지털),  9,000원","13:55,  나를 차버린 스파이(디지털),  10,000원","16:20,  나를 차버린 스파이(디지털),  9,000원","18:45,  나를 차버린 스파이(디지털),  9,000원","21:10,  나를 차버린 스파이(디지털),  10,000원",,,,01관,2018-08-23,206
"09:30,  공작(디지털),  6,000원","12:15,  공작(디지털),  9,000원","15:00,  공작(디지털),  10,000원","17:45,  공작(디지털),  10,000원","20:30,  공작(디지털),  9,000원",,,,,02관,2018-08-23,246
"09:40,  목격자(디지털)","12:00,  목격자(디지털),  9,000원","14:20,  목격자(디지털),  10,000원","16:40,  목격자(디지털),  10,000원","19:00,  목격자(디지털),  8,000원","21:30,  목격자(디지털),  10,000원",,,,03관,2018-08-23,251
"10:10,  너의 결혼식(디지털)","12:50,  픽시(디지털더빙)","14:40,  너의 결혼식(디지털),  10,000원","16:55,  너의 결혼식(디지털),  10,000원","19:30,  너의 결혼식(디지털),  10,000원","22:00,  너의 결혼식(디지털),  9,000원",,,,04관,2018-08-23,125
"10:40,  목격자(디지털),  6,000원","13:00,  목격자(디지털),  9,000원","15:20,  목격자(디지털),  9,000원","17:40,  목격자(디지털),  10,000원","20:10,  목격자(디지털),  10,000원","22:40,  목격자(디지털),  9,000원",,,,05관,2018-08-23,134
"09:00,  너의 결혼식(디지털),  6,000원","11:15,  너의 결혼식(디지털),  8,000원","13:30,  너의 결혼식(디지털),  10,000원","15:45,  너의 결혼식(디지털),  10,000원","18:00,  너의 결혼식(디지털),  9,000원","20:40,  너의 결혼식(디지털),  10,000원",,,,06관,2018-08-23,164
"09:00,  맘마미아!2(디지털),  6,000원","11:25,  메가로돈(디지털),  8,000원","13:45,  맘마미아!2(디지털),  9,000원","16:05,  공작(디지털),  10,000원","18:50,  공작(디지털),  10,000원","21:45,  공작(디지털),  10,000원",,,,07관,2018-08-23,89
"10:10,  신과함께-인과 연(디지털),  6,000원","13:10,  몬스터 호텔 3(디지털더빙)","15:30,  신과함께-인과 연(디지털),  10,000원","18:20,  신과함께-인과 연(디지털),  9,000원","21:20,  신과함께-인과 연(디지털),  10,000원",,,,,08관,2018-08-23,85
"09:05,  나를 차버린 스파이(디지털)","11:30,  나를 차버린 스파이(디지털),  11,000원","13:55,  나를 차버린 스파이(디지털),  10,000원","16:20,  나를 차버린 스파이(디지털),  11,000원","18:45,  나를 차버린 스파이(디지털),  11,000원","21:10,  나를 차버린 스파이(디지털),  11,000원","23:35,  나를 차버린 스파이(디지털),  11,000원",,,01관,2018-08-24,206
"09:30,  공작(디지털),  7,000원","12:15,  공작(디지털),  11,000원","15:00,  공작(디지털),  11,000원","17:45,  공작(디지털),  11,000원","20:30,  공작(디지털),  11,000원","23:15,  공작(디지털),  11,000원",,,,02관,2018-08-24,246
"09:40,  목격자(디지털),  7,000원","12:00,  목격자(디지털),  11,000원","14:20,  목격자(디지털),  11,000원","16:40,  목격자(디지털),  11,000원","19:00,  목격자(디지털),  11,000원","21:30,  목격자(디지털),  11,000원","24:00,  목격자(디지털),  11,000원",,,03관,2018-08-24,251
"10:05,  너의 결혼식(디지털),  7,000원","12:30,  픽시(디지털더빙),  10,000원","14:15,  너의 결혼식(디지털),  11,000원","16:30,  너의 결혼식(디지털),  11,000원","18:50,  너의 결혼식(디지털),  11,000원","21:05,  너의 결혼식(디지털),  11,000원","23:20,  너의 결혼식(디지털),  11,000원",,,04관,2018-08-24,125
"10:50,  목격자(디지털),  7,000원","13:10,  목격자(디지털),  10,000원","15:40,  목격자(디지털),  11,000원","18:00,  목격자(디지털),  11,000원","20:20,  목격자(디지털),  11,000원","22:40,  목격자(디지털),  11,000원","25:00,  목격자(디지털),  8,000원",,,05관,2018-08-24,134
"08:50,  너의 결혼식(디지털),  7,000원","11:05,  너의 결혼식(디지털),  11,000원","13:20,  너의 결혼식(디지털),  11,000원","15:35,  너의 결혼식(디지털),  11,000원","17:50,  너의 결혼식(디지털),  11,000원","20:05,  너의 결혼식(디지털),  11,000원","22:20,  너의 결혼식(디지털),  11,000원","24:35,  너의 결혼식(디지털),  10,000원",,06관,2018-08-24,164
"09:00,  맘마미아!2(디지털),  7,000원","11:25,  메가로돈(디지털),  10,000원","13:45,  맘마미아!2(디지털),  10,000원","16:05,  공작(디지털),  11,000원","19:10,  공작(디지털),  11,000원","21:55,  공작(디지털),  11,000원","24:45,  공작(디지털),  10,000원",,,07관,2018-08-24,89
"09:00,  신과함께-인과 연(디지털),  7,000원","11:45,  몬스터 호텔 3(디지털더빙),  11,000원","13:50,  신과함께-인과 연(디지털),  11,000원","16:35,  신과함께-인과 연(디지털),  10,000원","19:20,  신과함께-인과 연(디지털),  11,000원","22:10,  신과함께-인과 연(디지털),  11,000원","24:55,  메가로돈(디지털),  9,000원",,,08관,2018-08-24,85
"09:30,  공작(디지털),  7,000원","12:15,  공작(디지털),  10,000원","15:00,  공작(디지털),  11,000원","17:45,  공작(디지털),  11,000원","20:30,  공작(디지털),  11,000원","23:15,  공작(디지털),  11,000원",,,,01관,2018-08-25,206
"08:50,  너의 결혼식(디지털),  7,000원","11:05,  너의 결혼식(디지털),  10,000원","13:20,  너의 결혼식(디지털),  11,000원","15:35,  너의 결혼식(디지털),  11,000원","17:50,  너의 결혼식(디지털),  11,000원","20:05,  너의 결혼식(디지털),  11,000원","22:20,  너의 결혼식(디지털),  11,000원","24:35,  너의 결혼식(디지털),  9,000원",,02관,2018-08-25,246
"09:40,  목격자(디지털),  7,000원","12:00,  목격자(디지털),  11,000원","14:20,  목격자(디지털),  11,000원","16:40,  목격자(디지털),  11,000원","19:00,  목격자(디지털),  11,000원","21:30,  목격자(디지털),  11,000원","24:00,  목격자(디지털),  11,000원",,,03관,2018-08-25,251
"10:50,  목격자(디지털),  7,000원","13:10,  목격자(디지털),  11,000원","15:40,  목격자(디지털),  11,000원","18:00,  목격자(디지털),  11,000원","20:20,  목격자(디지털),  11,000원","22:40,  목격자(디지털),  11,000원","25:00,  목격자(디지털),  9,000원",,,04관,2018-08-25,125
"09:40,  신과함께-인과 연(디지털),  7,000원","12:30,  신과함께-인과 연(디지털),  11,000원","15:20,  신과함께-인과 연(디지털),  11,000원","18:10,  신과함께-인과 연(디지털),  11,000원","20:55,  신과함께-인과 연(디지털),  11,000원","23:50,  신과함께-인과 연(디지털),  11,000원",,,,05관,2018-08-25,134
"09:45,  너의 결혼식(디지털),  7,000원","12:00,  너의 결혼식(디지털),  11,000원","14:15,  너의 결혼식(디지털),  11,000원","16:30,  너의 결혼식(디지털),  11,000원","18:50,  너의 결혼식(디지털),  11,000원","21:05,  너의 결혼식(디지털),  11,000원","23:20,  너의 결혼식(디지털),  11,000원",,,06관,2018-08-25,164
"09:00,  픽시(디지털더빙),  7,000원","10:40,  맘마미아!2(디지털),  7,000원","13:00,  픽시(디지털더빙),  9,500원","14:40,  몬스터 호텔 3(디지털더빙),  11,000원","17:00,  메가로돈(디지털),  11,000원","19:20,  공작(디지털),  11,000원","22:05,  공작(디지털),  11,000원","24:50,  공작(디지털),  9,000원",,07관,2018-08-25,89
