1회,2회,3회,4회,5회,6회,7회,8회,9회,상영관,상영일자,좌석수
"10:20,  말모이(디지털),  7,000원","13:00,  말모이(디지털),  9,000원","15:40,  말모이(디지털),  10,000원","18:20,  말모이(디지털),  10,000원","21:00,  말모이(디지털),  10,000원","23:40,  말모이(디지털),  10,000원",,,,01관,2019-01-09,206
"09:00,  말모이(디지털),  8,000원","11:40,  말모이(디지털),  7,000원","14:20,  말모이(디지털),  10,000원","17:00,  말모이(디지털),  10,000원","19:40,  말모이(디지털),  10,000원","22:20,  말모이(디지털),  10,000원",,,,02관,2019-01-09,246
"09:10,  아쿠아맨(디지털)","12:00,  아쿠아맨(디지털),  9,000원","14:50,  아쿠아맨(디지털),  10,000원","17:40,  아쿠아맨(디지털),  10,000원","20:30,  아쿠아맨(디지털),  10,000원","23:20,  아쿠아맨(디지털),  10,000원",,,,03관,2019-01-09,251
"09:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","11:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  9,000원","14:10,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","16:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","18:50,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","21:10,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","23:30,  PMC: 더 벙커(디지털),  10,000원",,,04관,2019-01-09,125
"09:40,  보헤미안 랩소디(디지털),  7,000원","12:20,  보헤미안 랩소디(디지털),  10,000원","15:00,  보헤미안 랩소디(디지털),  10,000원","17:40,  보헤미안 랩소디(디지털),  10,000원","20:20,  보헤미안 랩소디(디지털),  10,000원","23:00,  보헤미안 랩소디(디지털),  0원",,,,05관,2019-01-09,134
"10:35,  아쿠아맨(디지털),  6,000원","13:25,  아쿠아맨(디지털),  10,000원","16:15,  아쿠아맨(디지털),  10,000원","19:05,  아쿠아맨(디지털),  8,000원","21:55,  아쿠아맨(디지털),  10,000원",,,,,06관,2019-01-09,164
"10:00,  PMC: 더 벙커(디지털),  7,000원","12:30,  그린 북(디지털),  10,000원","15:15,  PMC: 더 벙커(디지털),  9,000원","18:00,  그린 북(디지털),  10,000원","20:45,  PMC: 더 벙커(디지털),  10,000원","23:15,  그린 북(디지털),  7,000원",,,,07관,2019-01-09,89
"09:40,  내안의 그놈(디지털),  7,000원","12:10,  내안의 그놈(디지털),  9,000원","14:40,  내안의 그놈(디지털),  10,000원","17:20,  내안의 그놈(디지털),  10,000원","20:00,  내안의 그놈(디지털),  10,000원","22:35,  내안의 그놈(디지털),  10,000원",,,,08관,2019-01-09,85
"10:20,  말모이(디지털),  10,000원","13:00,  말모이(디지털),  10,000원","15:40,  말모이(디지털),  10,000원","18:20,  말모이(디지털),  10,000원","21:00,  말모이(디지털),  10,000원","23:40,  말모이(디지털),  10,000원",,,,01관,2019-01-10,206
"09:00,  말모이(디지털)","11:40,  말모이(디지털)","14:20,  말모이(디지털),  10,000원","17:00,  말모이(디지털),  10,000원","19:50,  말모이(디지털),  10,000원","22:40,  말모이(디지털),  10,000원",,,,02관,2019-01-10,246
"09:10,  아쿠아맨(디지털),  6,000원","12:00,  아쿠아맨(디지털),  9,000원","14:50,  아쿠아맨(디지털),  10,000원","17:40,  아쿠아맨(디지털),  10,000원","20:30,  아쿠아맨(디지털),  10,000원","23:20,  아쿠아맨(디지털)",,,,03관,2019-01-10,251
"09:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","11:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  9,000원","14:10,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","16:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","18:50,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","21:10,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","23:30,  PMC: 더 벙커(디지털)",,,04관,2019-01-10,125
