상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2016-06-07,02관,"08:40,  엑스맨: 아포칼립스(디지털),  6,000원","11:30,  엑스맨: 아포칼립스(디지털),  8,000원","14:20,  바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전(디지털더빙),  9,000원","15:55,  앵그리버드 더 무비(디지털더빙),  9,000원","18:00,  엑스맨: 아포칼립스(디지털),  9,000원","20:50,  엑스맨: 아포칼립스(디지털),  9,000원","23:40,  곡성(디지털),  8,000원",,,,,,99
2016-06-07,03관,"08:10,  미 비포 유(디지털),  6,000원","10:25,  무서운 이야기 3 : 화성에서 온 소녀(디지털),  8,000원","12:25,  미 비포 유(디지털),  8,000원","14:40,  무서운 이야기 3 : 화성에서 온 소녀(디지털)","16:40,  싱 스트리트(디지털),  9,000원","18:50,  무서운 이야기 3 : 화성에서 온 소녀(디지털),  7,000원","20:50,  미 비포 유(디지털),  9,000원","23:05,  미 비포 유(디지털)",,,,,102
2016-06-07,04관,"09:30,  곡성(디지털),  6,000원","12:30,  곡성(디지털),  8,000원","15:30,  곡성(디지털),  9,000원","18:30,  곡성(디지털),  9,000원","21:30,  곡성(디지털),  9,000원",,,,,,,,99
2016-06-07,05관,"08:30,  아가씨(디지털),  6,000원","11:20,  아가씨(디지털),  8,000원","14:10,  아가씨(디지털),  9,000원","17:00,  아가씨(디지털),  9,000원","19:50,  아가씨(디지털),  9,000원","22:40,  아가씨(디지털),  9,000원",,,,,,,232
2016-06-08,01관,"09:50,  아가씨(디지털),  6,000원","12:40,  아가씨(디지털),  8,000원","15:30,  아가씨(디지털),  9,000원","18:20,  아가씨(디지털),  9,000원","21:10,  아가씨(디지털),  9,000원","24:00,  아가씨(디지털),  8,000원",,,,,,,102
2016-06-08,02관,"08:40,  엑스맨: 아포칼립스(디지털)","11:30,  엑스맨: 아포칼립스(디지털),  8,000원","14:20,  바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전(디지털더빙),  6,000원","15:55,  앵그리버드 더 무비(디지털더빙),  9,000원","18:00,  엑스맨: 아포칼립스(디지털),  9,000원","20:50,  엑스맨: 아포칼립스(디지털),  9,000원","23:40,  곡성(디지털),  8,000원",,,,,,99
2016-06-08,03관,"08:10,  미 비포 유(디지털),  6,000원","10:25,  무서운 이야기 3 : 화성에서 온 소녀(디지털)","12:25,  미 비포 유(디지털),  8,000원","14:40,  무서운 이야기 3 : 화성에서 온 소녀(디지털),  6,000원","16:40,  싱 스트리트(디지털),  7,000원","18:50,  무서운 이야기 3 : 화성에서 온 소녀(디지털),  7,000원","20:50,  미 비포 유(디지털),  9,000원","23:05,  미 비포 유(디지털),  8,000원",,,,,102
2016-06-08,04관,"09:30,  곡성(디지털),  6,000원","12:30,  곡성(디지털),  7,000원","15:30,  곡성(디지털),  9,000원","18:30,  곡성(디지털),  9,000원","21:30,  곡성(디지털),  9,000원",,,,,,,,99
2016-06-08,05관,"08:30,  아가씨(디지털),  6,000원","11:20,  아가씨(디지털),  8,000원","14:10,  아가씨(디지털),  9,000원","17:00,  아가씨(디지털),  9,000원","19:50,  아가씨(디지털),  9,000원","22:40,  아가씨(디지털),  9,000원",,,,,,,232
2016-06-09,01관,"08:00,  아가씨(디지털),  6,000원","10:50,  아가씨(디지털),  8,000원","13:40,  아가씨(디지털),  9,000원","16:30,  아가씨(디지털),  9,000원","19:20,  아가씨(디지털),  9,000원","22:10,  아가씨(디지털),  9,000원",,,,,,,102
2016-06-09,02관,"08:00,  엑스맨: 아포칼립스(디지털)","10:50,  컨저링 2(디지털),  8,000원","13:25,  컨저링 2(디지털),  9,000원","16:00,  엑스맨: 아포칼립스(디지털),  9,000원","18:50,  컨저링 2(디지털),  9,000원","21:25,  컨저링 2(디지털),  9,000원","24:00,  아가씨(디지털),  8,000원",,,,,,99
