상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2017-05-15,02관,"09:40,  보스 베이비(디지털더빙),  5,000원","16:40,  보스 베이비(디지털더빙),  5,000원",,,,,47
2017-05-16,01관,"09:40,  보안관(디지털),  5,000원","17:00,  보안관(디지털),  5,000원","21:40,  보안관(디지털),  5,000원",,,,52
2017-05-16,02관,"09:40,  보스 베이비(디지털더빙)","16:40,  보스 베이비(디지털더빙),  5,000원",,,,,47
2017-05-17,01관,"10:00,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","14:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","19:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","21:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원",,,52
2017-05-17,02관,"10:00,  보스 베이비(디지털더빙)","16:50,  보스 베이비(디지털더빙),  5,000원",,,,,47
2017-05-18,01관,"10:00,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","14:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","19:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","21:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원",,,52
2017-05-18,02관,"10:00,  보스 베이비(디지털더빙),  5,000원","16:50,  보스 베이비(디지털더빙),  5,000원",,,,,47
2017-05-19,01관,"10:00,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","14:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","19:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","21:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원",,,52
2017-05-19,02관,"10:00,  보스 베이비(디지털더빙),  5,000원","16:50,  보스 베이비(디지털더빙),  5,000원",,,,,47
2017-05-20,01관,"10:00,  보안관(디지털),  5,000원","14:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","17:00,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","19:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","21:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원",,52
2017-05-20,02관,"10:00,  보스 베이비(디지털더빙),  5,000원","14:30,  킹 아서: 제왕의 검(디지털),  5,000원","18:50,  킹 아서: 제왕의 검(디지털),  5,000원","21:20,  킹 아서: 제왕의 검(디지털),  5,000원",,,47
2017-05-21,01관,"10:00,  보안관(디지털),  5,000원","14:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","17:00,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","19:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","21:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원",,52
2017-05-21,02관,"10:00,  보스 베이비(디지털더빙),  5,000원","14:30,  킹 아서: 제왕의 검(디지털),  5,000원","18:50,  킹 아서: 제왕의 검(디지털),  5,000원","21:20,  킹 아서: 제왕의 검(디지털),  5,000원",,,47
2017-05-22,01관,"10:00,  보안관(디지털),  5,000원","14:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","17:00,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","19:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","21:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원",,52
2017-05-22,02관,"10:00,  보스 베이비(디지털더빙),  5,000원","14:30,  킹 아서: 제왕의 검(디지털),  5,000원","18:50,  킹 아서: 제왕의 검(디지털),  5,000원","21:20,  킹 아서: 제왕의 검(디지털),  5,000원",,,47
2017-05-23,01관,"10:00,  보안관(디지털),  5,000원","14:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","17:00,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","19:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","21:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원",,52
2017-05-23,02관,"10:00,  보스 베이비(디지털더빙)","14:30,  킹 아서: 제왕의 검(디지털),  5,000원","18:50,  킹 아서: 제왕의 검(디지털),  5,000원","21:20,  킹 아서: 제왕의 검(디지털),  5,000원",,,47
2017-05-24,01관,"11:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","13:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","16:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","18:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","21:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원",,52
2017-05-24,02관,"09:50,  보스 베이비(디지털더빙)","14:10,  킹 아서: 제왕의 검(디지털),  5,000원",,,,,47
2017-05-25,01관,"11:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","13:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","16:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","18:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","21:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원",,52
2017-05-25,02관,"09:50,  보스 베이비(디지털더빙),  5,000원","14:10,  킹 아서: 제왕의 검(디지털)",,,,,47
2017-05-26,01관,"11:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","13:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","16:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","18:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","21:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원",,52
2017-05-26,02관,"09:50,  보스 베이비(디지털더빙),  5,000원","14:10,  킹 아서: 제왕의 검(디지털),  5,000원",,,,,47
2017-05-27,01관,"11:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","13:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","16:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","18:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","21:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원",,52
2017-05-27,02관,"09:50,  보스 베이비(디지털더빙),  5,000원","14:10,  킹 아서: 제왕의 검(디지털),  5,000원",,,,,47
2017-05-28,01관,"11:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","13:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","16:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","18:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","21:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원",,52
2017-05-28,02관,"09:50,  보스 베이비(디지털더빙),  5,000원","14:10,  킹 아서: 제왕의 검(디지털),  5,000원",,,,,47
2017-05-29,01관,"11:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","13:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","16:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","18:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","21:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원",,52
2017-05-29,02관,"09:50,  보스 베이비(디지털더빙)","14:10,  킹 아서: 제왕의 검(디지털),  5,000원",,,,,47
2017-05-30,01관,"11:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","13:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","16:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","18:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","21:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원",,52
2017-05-30,02관,"09:50,  보스 베이비(디지털더빙),  5,000원","14:10,  킹 아서: 제왕의 검(디지털),  5,000원",,,,,47
2017-05-31,01관,"13:30,  대립군(디지털),  5,000원","11:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","21:00,  대립군(디지털),  5,000원","18:30,  대립군(디지털),  5,000원",,,52
2017-05-31,02관,,"13:30,  원더 우먼(디지털),  5,000원","16:10,  원더 우먼(디지털),  5,000원","18:50,  원더 우먼(디지털),  5,000원","21:30,  원더 우먼(디지털),  5,000원","10:20,  원더 우먼(디지털),  5,000원",47
2017-06-01,01관,"09:40,  바다 탐험대 옥토넛 시즌4: 더 파이널(디지털더빙),  5,000원","11:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","21:00,  대립군(디지털),  5,000원","18:30,  대립군(디지털),  5,000원",,,52
2017-06-01,02관,,"13:30,  원더 우먼(디지털),  5,000원","16:10,  원더 우먼(디지털),  5,000원","18:50,  원더 우먼(디지털),  5,000원","21:30,  원더 우먼(디지털),  5,000원","10:20,  원더 우먼(디지털),  5,000원",47
2017-06-02,01관,"09:40,  바다 탐험대 옥토넛 시즌4: 더 파이널(디지털더빙),  5,000원","16:00,  대립군(디지털),  5,000원","21:00,  대립군(디지털),  5,000원","11:00,  대립군(디지털),  5,000원",,,52
2017-06-02,02관,,"13:30,  원더 우먼(디지털),  5,000원","16:10,  원더 우먼(디지털),  5,000원","18:50,  원더 우먼(디지털),  5,000원","21:30,  원더 우먼(디지털),  5,000원","10:20,  원더 우먼(디지털),  5,000원",47
2017-06-03,01관,"09:40,  바다 탐험대 옥토넛 시즌4: 더 파이널(디지털더빙),  5,000원","11:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","21:00,  대립군(디지털),  5,000원","18:30,  대립군(디지털),  5,000원",,,52
2017-06-03,02관,,"13:30,  원더 우먼(디지털),  5,000원","16:10,  원더 우먼(디지털),  5,000원","18:50,  원더 우먼(디지털),  5,000원","21:30,  원더 우먼(디지털),  5,000원","10:20,  원더 우먼(디지털),  5,000원",47
2017-06-04,01관,"09:40,  바다 탐험대 옥토넛 시즌4: 더 파이널(디지털더빙),  5,000원","11:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","21:00,  대립군(디지털),  5,000원","18:30,  대립군(디지털),  5,000원",,,52
2017-06-04,02관,,"13:30,  원더 우먼(디지털),  5,000원","16:10,  원더 우먼(디지털),  5,000원","18:50,  원더 우먼(디지털),  5,000원","21:30,  원더 우먼(디지털),  5,000원","10:20,  원더 우먼(디지털),  5,000원",47
2017-06-05,01관,"09:40,  바다 탐험대 옥토넛 시즌4: 더 파이널(디지털더빙),  5,000원","11:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","21:00,  대립군(디지털),  5,000원","18:30,  대립군(디지털),  5,000원",,,52
2017-06-05,02관,,"13:30,  원더 우먼(디지털),  5,000원","16:10,  원더 우먼(디지털),  5,000원","18:50,  원더 우먼(디지털),  5,000원","21:30,  원더 우먼(디지털),  5,000원","10:20,  원더 우먼(디지털),  5,000원",47
2017-06-06,01관,"10:00,  바다 탐험대 옥토넛 시즌4: 더 파이널(디지털더빙),  5,000원","16:10,  바다 탐험대 옥토넛 시즌4: 더 파이널(디지털더빙),  5,000원","19:40,  미이라(디지털),  5,000원","21:50,  미이라(디지털),  5,000원",,,52
2017-06-06,02관,"10:30,  원더 우먼(디지털),  5,000원","18:50,  원더 우먼(디지털),  5,000원",,,,,47
2017-06-07,01관,"09:40,  바다 탐험대 옥토넛 시즌4: 더 파이널(디지털더빙)","13:10,  미이라(디지털),  5,000원","15:20,  미이라(디지털),  5,000원","17:30,  미이라(디지털),  5,000원","19:40,  미이라(디지털),  5,000원","21:50,  미이라(디지털),  5,000원",52
2017-06-07,02관,"10:00,  대립군(디지털),  5,000원","15:10,  대립군(디지털),  5,000원","21:40,  대립군(디지털),  5,000원",,,,47
2017-06-08,01관,"09:40,  바다 탐험대 옥토넛 시즌4: 더 파이널(디지털더빙)","13:10,  미이라(디지털),  5,000원","15:20,  미이라(디지털),  5,000원","17:30,  미이라(디지털),  5,000원","19:40,  미이라(디지털),  5,000원","21:50,  미이라(디지털),  5,000원",52
2017-06-08,02관,"09:50,  악녀(디지털),  5,000원","14:50,  악녀(디지털),  5,000원","21:00,  악녀(디지털),  5,000원",,,,47
2017-06-09,01관,"09:40,  바다 탐험대 옥토넛 시즌4: 더 파이널(디지털더빙),  5,000원","13:10,  미이라(디지털),  5,000원","15:20,  미이라(디지털),  5,000원","17:30,  미이라(디지털),  5,000원","19:40,  미이라(디지털),  5,000원","21:50,  미이라(디지털),  5,000원",52
2017-06-09,02관,"10:00,  대립군(디지털),  5,000원","19:00,  악녀(디지털),  5,000원","21:20,  악녀(디지털),  5,000원",,,,47
2017-06-10,01관,"09:40,  바다 탐험대 옥토넛 시즌4: 더 파이널(디지털더빙),  5,000원","13:10,  미이라(디지털),  5,000원","15:20,  미이라(디지털),  5,000원","17:30,  미이라(디지털),  5,000원","19:40,  미이라(디지털),  5,000원","21:50,  미이라(디지털),  5,000원",52
2017-06-10,02관,"10:00,  대립군(디지털),  5,000원","19:00,  악녀(디지털),  5,000원","21:20,  악녀(디지털),  5,000원",,,,47
2017-06-11,01관,"09:40,  바다 탐험대 옥토넛 시즌4: 더 파이널(디지털더빙),  5,000원","13:10,  미이라(디지털),  5,000원","15:20,  미이라(디지털),  5,000원","17:30,  미이라(디지털),  5,000원","19:40,  미이라(디지털),  5,000원","21:50,  미이라(디지털),  5,000원",52
2017-06-11,02관,"10:00,  대립군(디지털),  5,000원","19:00,  악녀(디지털),  5,000원","21:20,  악녀(디지털),  5,000원",,,,47
