상영일자,상영관,1회,2회,좌석수
2018-07-19,01관,"20:30,  앤트맨과 와스프(디지털)",,200
2018-07-19,02관,"01:00,  스와핑 : 친구의 아내 2(디지털),  20,000원",,200
2018-07-20,01관,"20:30,  앤트맨과 와스프(디지털)",,200
2018-07-20,02관,"20:30,  스카이스크래퍼(디지털)",,200
2018-07-21,01관,"20:30,  앤트맨과 와스프(디지털)",,200
2018-07-21,02관,"20:30,  스카이스크래퍼(디지털)",,200
2018-07-22,01관,"20:30,  앤트맨과 와스프(디지털)",,200
2018-07-22,02관,"20:30,  스카이스크래퍼(디지털)",,200
2018-07-23,02관,"01:00,  뮤즈(디지털),  20,000원",,200
2018-07-24,02관,"01:00,  뮤즈(디지털)",,200
2018-07-25,02관,"01:00,  뮤즈(디지털)",,200
2018-07-26,02관,"01:00,  뮤즈(디지털)",,200
2018-07-27,02관,"01:00,  뮤즈(디지털),  20,000원",,200
2018-07-28,02관,"01:00,  뮤즈(디지털)",,200
2018-07-29,02관,"01:00,  뮤즈(디지털),  20,000원",,200
2018-07-31,02관,"01:00,  엄마의 유혹(디지털),  20,000원",,200
2018-08-02,02관,"03:00,  여교사 : 제자와의 사랑(디지털),  20,000원",,200
2018-08-03,02관,"01:00,  뮤즈(디지털),  20,000원",,200
2018-08-04,02관,"01:00,  뮤즈(디지털)",,200
2018-08-05,02관,"01:00,  뮤즈(디지털),  20,000원",,200
2018-08-06,02관,"01:00,  뮤즈(디지털)",,200
2018-08-09,02관,"01:00,  룸싸롱 맛있는 서비스(디지털),  20,000원",,200
2018-08-14,02관,"01:00,  어린 처제 2(디지털),  20,000원",,200
2018-08-16,02관,"01:00,  더티웨딩(디지털),  20,000원",,200
2018-08-20,01관,"22:00,  킹콩(필름)",,200
2018-08-20,02관,"22:00,  킹콩(필름)",,200
2018-08-21,01관,"22:00,  킹콩(필름)",,200
2018-08-21,02관,"22:00,  킹콩(필름)",,200
2018-08-24,02관,"01:00,  엄마친구 5(디지털),  20,000원",,200
2018-08-30,01관,"20:00,  상류사회(디지털)","23:00,  상류사회(디지털)",200
2018-08-30,02관,"01:00,  여친엄마 2(디지털),  20,000원",,200
2018-08-31,01관,"20:00,  상류사회(디지털),  20,000원",,200
2018-08-31,02관,"22:00,  너의 결혼식(디지털),  20,000원",,200
2018-09-01,01관,"20:00,  상류사회(디지털)",,200
2018-09-01,02관,"22:00,  너의 결혼식(디지털)",,200
2018-09-02,01관,"20:00,  상류사회(디지털)",,200
2018-09-02,02관,"22:00,  너의 결혼식(디지털)",,200
2018-09-07,02관,"01:00,  과외의 추억(디지털),  20,000원",,200
2018-09-13,02관,"01:00,  엄마친구들 2(디지털),  20,000원",,200
2018-09-21,02관,"01:00,  정사 : 착한 숙모(디지털),  20,000원",,200
2018-09-24,01관,"22:10,  안시성(디지털),  20,000원",,200
2018-09-28,02관,"01:00,  젊은 엄마 친구(디지털),  20,000원",,200
2018-09-30,01관,"22:10,  안시성(디지털),  20,000원",,200
2018-10-04,02관,"01:00,  여친 언니(디지털),  20,000원",,200
2018-10-08,02관,"01:00,  착한 친구엄마(디지털),  20,000원",,200
2018-10-12,02관,"01:00,  착한 자매들(디지털),  20,000원",,200
2018-10-15,02관,"01:00,  조건아빠: 슈가대디(디지털),  20,000원",,200
2018-10-19,02관,"01:00,  착한 엄마 2(디지털),  20,000원",,200
2018-10-25,02관,"01:00,  이웃집 아내(디지털),  20,000원",,200
2018-10-29,02관,"01:00,  우리가족같이(디지털),  20,000원",,200
2018-10-31,01관,"19:20,  창궐(디지털),  20,000원",,200
2018-10-31,02관,"01:00,  밀애 : 친구의 아내(디지털),  20,000원",,200
2018-11-01,02관,"01:00,  어린 누나 2(디지털),  20,000원",,200
2018-11-09,01관,"02:00,  노래방 : 화끈한 여자들(디지털),  20,000원",,200
2018-11-09,02관,"01:00,  노래방 : 화끈한 여자들(디지털),  20,000원",,200
2018-11-14,02관,"01:00,  조건엄마:슈가맘(디지털),  20,000원",,200
2018-11-15,01관,"01:00,  밀애 : 아내의 여동생(디지털),  20,000원",,200
2018-11-15,02관,"01:00,  밀애 : 아내의 여동생(디지털),  20,000원",,200
2018-11-20,02관,"01:00,  은밀한 여작가의 사생활 (디지털),  20,000원",,200
2018-11-22,02관,"01:00,  동갑내기 엄마(디지털),  20,000원",,200
2018-11-29,01관,"01:00,  정사 : 착한 며느리들 2(디지털),  20,000원",,200
2018-11-29,02관,"02:00,  정사 : 착한 며느리들 2(디지털),  20,000원",,200
2018-11-30,02관,"23:59,  정사 : 착한 며느리들 2(디지털),  20,000원",,200
2018-12-04,01관,"01:00,  내 여자친구의 엄마(디지털),  20,000원",,200
2018-12-04,02관,"01:00,  내 여자친구의 엄마(디지털),  20,000원",,200
2018-12-12,02관,"01:00,  자매의교환섹스(디지털),  20,000원",,200
2018-12-13,02관,"01:00,  알래스카 북극곰(디지털),  20,000원",,200
2018-12-14,02관,"01:00,  사돈처녀(디지털),  20,000원",,200
2018-12-18,02관,"01:00,  여선생2(디지털),  20,000원",,200
2018-12-19,02관,"01:00,  맛있는 누나들(디지털),  20,000원",,200
2018-12-26,02관,"01:00,  가정부 길들이기(디지털),  20,000원",,200
2018-12-28,02관,"01:00,  초대녀 2(디지털),  20,000원",,200
2018-12-31,02관,"01:00,  초대녀 2(디지털),  20,000원",,200
2019-01-03,02관,"01:00,  상류시대(디지털),  20,000원",,200
2019-01-04,02관,"01:00,  어린 형수 4(디지털),  20,000원",,200
2019-01-11,02관,"01:00,  후배부부와 교환섹스-무삭제(디지털),  20,000원",,200
2019-01-14,02관,"17:00,  극장판 포켓몬스터 모두의 이야기(디지털),  20,000원",,200
2019-01-15,02관,"01:00,  등산의 참맛(디지털),  20,000원",,200
2019-01-29,02관,"01:00,  젊은 미망인(디지털),  20,000원",,200
2019-01-30,02관,"01:00,  딸의 애인 2(디지털),  20,000원",,200
2019-01-31,02관,"01:00,  그대 이름은 장미(디지털),  20,000원","20:00,  그대 이름은 장미(디지털),  20,000원",200
2019-02-12,02관,"16:00,  발기찬 처가살이(디지털),  20,000원",,200
2019-02-15,02관,"16:00,  자매의은밀한스와핑-무삭제(디지털),  20,000원",,200
2019-02-21,02관,"16:00,  로드킬(디지털),  20,000원",,200
2019-02-22,02관,"02:00,  장모의유혹(디지털),  20,000원",,200
2019-02-25,02관,"16:00,  우리 도련님(디지털),  20,000원",,200
2019-02-27,02관,"14:00,  천박한 누나(디지털),  20,000원",,200
2019-02-28,02관,"16:00,  욜로 유 온리 리브 원스(디지털),  20,000원",,200
2019-03-08,02관,"16:00,  가슴 큰 여자친구(디지털),  20,000원",,200
2019-03-14,02관,"16:00,  엄마 애인 2(디지털),  20,000원",,200
2019-03-15,02관,"16:00,  옆집 아가씨(디지털),  20,000원",,200
2019-03-21,02관,"14:00,  딸의 친구 3 (디지털),  20,000원",,200
2019-03-28,01관,"16:00,  다방엄마(디지털),  20,000원",,200
2019-03-28,02관,"16:00,  어린 엄마 2(디지털),  20,000원",,200
2019-03-29,02관,"16:00,  동생의 여자-무삭제(디지털),  20,000원",,200
2019-03-31,01관,"23:00,  다방엄마(디지털),  20,000원",,200
2019-04-05,02관,"16:00,  여배우: 섹스수업(디지털),  20,000원",,200
2019-04-11,02관,"16:00,  유기농 섹드립 로맨스 ""오목리 미스킴""(디지털),  20,000원",,200
2019-04-12,02관,"16:00,  내 엄마의 친구 2(디지털),  20,000원",,200
2019-04-17,01관,"16:00,  너 말고 니 언니(디지털),  20,000원",,200
2019-04-17,02관,"14:00,  음란한 병원(디지털),  20,000원",,200
2019-04-19,02관,"14:00,  엄마학개론(디지털),  20,000원",,200
2019-04-29,02관,"19:00,  다시, 봄(디지털),  20,000원",,200
2019-04-30,01관,"19:00,  왓칭(디지털),  20,000원",,200
2019-04-30,02관,"19:00,  다시, 봄(디지털),  20,000원",,200
2019-05-01,01관,"19:00,  왓칭(디지털),  20,000원",,200
2019-05-01,02관,"19:00,  다시, 봄(디지털),  20,000원",,200
2019-05-02,01관,"19:00,  왓칭(디지털),  20,000원",,200
2019-05-02,02관,"19:00,  다시, 봄(디지털),  20,000원",,200
2019-05-03,01관,"19:00,  왓칭(디지털),  20,000원",,200
2019-05-03,02관,"19:00,  다시, 봄(디지털),  20,000원",,200
2019-05-04,01관,"19:00,  왓칭(디지털),  20,000원",,200
2019-05-05,01관,"19:00,  왓칭(디지털),  20,000원",,200
2019-05-06,01관,"19:00,  왓칭(디지털),  20,000원",,200
2019-05-07,01관,"19:00,  왓칭(디지털),  20,000원",,200
2019-05-07,02관,"21:00,  여대생들의은밀한아르바이트(디지털),  20,000원",,200
2019-05-08,01관,"19:00,  왓칭(디지털),  20,000원",,200
2019-05-08,02관,"18:00,  남편친구들(디지털),  20,000원",,200
2019-05-09,01관,"19:00,  왓칭(디지털),  20,000원",,200
2019-05-09,02관,"21:00,  어린 처제 3(디지털),  20,000원",,200
2019-05-10,01관,"19:00,  왓칭(디지털),  20,000원",,200
2019-05-11,01관,"19:00,  왓칭(디지털),  20,000원",,200
2019-05-12,01관,"19:00,  왓칭(디지털),  20,000원",,200
2019-05-13,01관,"19:00,  왓칭(디지털),  20,000원",,200
2019-05-15,02관,"18:00,  어린고모(디지털),  20,000원",,200
2019-05-16,02관,"18:00,  화끈한 룸메이트(디지털),  20,000원",,200
2019-05-17,02관,"18:00,  보도드라이버: 떡마차(디지털),  20,000원",,200
2019-05-23,01관,"18:00,  엄마 애인 3(디지털),  20,000원",,200
2019-05-23,02관,"18:00,  음란 과외 2(디지털),  20,000원",,200
2019-05-24,01관,"18:00,  엄마 애인 3(디지털),  20,000원",,200
