상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2017-09-06,07관,"09:30,  청년경찰(디지털),  6,000원","11:50,  청년경찰(디지털),  5,000원","14:10,  빅풋 주니어(디지털더빙),  9,000원","16:15,  슈퍼배드 3(디지털),  9,000원","18:20,  택시운전사(디지털),  9,000원","21:10,  택시운전사(디지털),  9,000원","24:00,  브이아이피(디지털),  7,000원",,,,,,,,97
2017-09-07,01관,"09:10,  택시운전사(디지털),  6,000원","11:55,  택시운전사(디지털),  7,000원","14:40,  택시운전사(디지털),  5,000원","17:25,  택시운전사(디지털),  9,000원","20:10,  택시운전사(디지털),  9,000원","22:55,  택시운전사(디지털),  6,000원",,,,,,,,,107
2017-09-07,02관,"10:00,  살인자의 기억법(디지털),  6,000원","12:25,  살인자의 기억법(디지털),  6,000원","14:50,  살인자의 기억법(디지털),  9,000원","17:15,  살인자의 기억법(디지털),  6,000원","19:40,  살인자의 기억법(디지털),  9,000원","22:05,  살인자의 기억법(디지털),  9,000원","24:30,  살인자의 기억법(디지털),  6,000원",,,,,,,,302
2017-09-07,03관,"08:50,  살인자의 기억법(디지털),  6,000원","11:15,  살인자의 기억법(디지털),  8,000원","13:40,  살인자의 기억법(디지털),  6,000원","16:05,  살인자의 기억법(디지털),  9,000원","18:30,  살인자의 기억법(디지털),  9,000원","20:55,  살인자의 기억법(디지털),  9,000원","23:20,  살인자의 기억법(디지털),  8,000원",,,,,,,,186
2017-09-07,04관,"10:00,  매혹당한 사람들(디지털),  6,000원","12:00,  저수지 게임(디지털),  8,000원","14:05,  슈퍼배드 3(디지털더빙)","16:05,  슈퍼배드 3(디지털)","18:05,  그것(디지털),  9,000원","20:45,  그것(디지털),  7,000원","23:25,  그것(디지털),  8,000원",,,,,,,,87
2017-09-07,05관,"09:50,  그것(디지털)","12:30,  그것(디지털),  6,000원","15:10,  몬스터 섬의 비밀(디지털더빙),  9,000원","16:45,  그것(디지털),  9,000원","20:00,  윈드 리버(디지털),  8,000원","22:15,  그것(디지털),  9,000원",,,,,,,,,105
2017-09-07,06관,"09:30,  청년경찰(디지털),  6,000원","11:45,  청년경찰(디지털),  7,000원","14:00,  청년경찰(디지털),  7,000원","16:15,  청년경찰(디지털),  9,000원","18:30,  청년경찰(디지털),  6,000원","20:45,  청년경찰(디지털),  9,000원","23:00,  청년경찰(디지털),  7,000원",,,,,,,,117
2017-09-07,07관,"09:30,  수부라 게이트(디지털),  6,000원","12:10,  빅풋 주니어(디지털더빙),  7,000원","14:10,  발레리안: 천 개 행성의 도시(디지털),  9,000원","17:00,  발레리안: 천 개 행성의 도시(디지털),  7,000원","19:50,  발레리안: 천 개 행성의 도시(디지털),  8,000원","22:40,  발레리안: 천 개 행성의 도시(디지털),  9,000원",,,,,,,,,97
2017-09-08,01관,"09:30,  청년경찰(디지털),  7,000원","11:45,  청년경찰(디지털),  7,000원","14:00,  청년경찰(디지털),  11,000원","16:15,  청년경찰(디지털)","18:30,  청년경찰(디지털),  11,000원","20:45,  청년경찰(디지털),  11,000원","23:00,  청년경찰(디지털),  9,000원",,,,,,,,107
2017-09-08,02관,"10:00,  살인자의 기억법(디지털),  7,000원","12:25,  살인자의 기억법(디지털),  10,000원","14:50,  살인자의 기억법(디지털),  11,000원","17:15,  살인자의 기억법(디지털),  11,000원","19:40,  살인자의 기억법(디지털),  11,000원","22:05,  살인자의 기억법(디지털),  11,000원","24:30,  살인자의 기억법(디지털),  9,000원","27:00,  군함도(디지털),  6,000원",,,,,,,302
