상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2015-01-24,03관,"13:20,  아이 킬드 마이 마더(디지털),  8,000원","15:20,  마미(디지털),  8,000원","18:00,  무드 인디고(디지털),  8,000원","19:50,  아메리칸 셰프(디지털),  8,000원",,,98
2015-01-25,01관,"14:00,  유아 낫 유(디지털),  8,000원","16:00,  내일을 위한 시간(디지털),  8,000원","17:50,  나의 사적인 여자친구(디지털),  8,000원",,,,112
2015-01-25,02관,,"15:30,  생각보다 맑은(디지털),  8,000원","17:10,  미라클 여행기(디지털),  8,000원","18:50,  생각보다 맑은(디지털),  8,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  8,000원",,136
2015-01-25,03관,"13:20,  아이 킬드 마이 마더(디지털),  8,000원","15:20,  마미(디지털),  8,000원","18:00,  무드 인디고(디지털),  8,000원","19:50,  아메리칸 셰프(디지털),  8,000원",,,98
2015-01-27,01관,"14:00,  유아 낫 유(디지털),  6,000원","16:00,  내일을 위한 시간(디지털),  6,000원","17:50,  나의 사적인 여자친구(디지털),  6,000원","20:00,  이별까지 7일(디지털),  6,000원",,,112
2015-01-27,02관,"13:30,  쿼바디스(디지털),  6,000원","15:30,  생각보다 맑은(디지털),  6,000원",,"18:50,  생각보다 맑은(디지털),  6,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  6,000원",,136
2015-01-27,03관,"13:20,  아이 킬드 마이 마더(디지털),  6,000원","15:20,  마미(디지털),  6,000원","18:00,  무드 인디고(디지털),  6,000원","19:50,  아메리칸 셰프(디지털),  6,000원",,,98
2015-01-28,01관,"14:00,  유아 낫 유(디지털),  4,000원","16:00,  내일을 위한 시간(디지털),  4,000원","17:50,  나의 사적인 여자친구(디지털),  4,000원","20:00,  이별까지 7일(디지털),  4,000원",,,112
2015-01-28,02관,"13:30,  쿼바디스(디지털),  4,000원","15:30,  생각보다 맑은(디지털),  4,000원","17:10,  미라클 여행기(디지털),  4,000원","18:50,  생각보다 맑은(디지털),  4,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  4,000원",,136
2015-01-28,03관,"13:20,  아이 킬드 마이 마더(디지털),  4,000원","15:20,  마미(디지털),  4,000원","18:00,  무드 인디고(디지털),  4,000원","19:50,  아메리칸 셰프(디지털),  4,000원",,,98
2015-01-29,01관,"13:50,  내일을 위한 시간(디지털),  6,000원","15:40,  나의 사적인 여자친구(디지털),  6,000원",,"20:10,  유아 낫 유(디지털),  6,000원",,,112
2015-01-29,02관,"13:30,  쿼바디스(디지털),  6,000원","15:30,  생각보다 맑은(디지털),  6,000원","17:10,  미라클 여행기(디지털),  6,000원","18:50,  생각보다 맑은(디지털),  6,000원","20:30,  미라클 여행기(디지털),  6,000원",,136
2015-01-29,03관,"13:20,  아이 킬드 마이 마더(디지털),  6,000원","15:20,  아메리칸 셰프(디지털),  6,000원","17:30,  트라이브(디지털),  6,000원","20:00,  빅 아이즈(디지털),  6,000원",,,98
2015-01-30,01관,"13:50,  내일을 위한 시간(디지털),  8,000원","15:40,  나의 사적인 여자친구(디지털),  8,000원",,"20:10,  유아 낫 유(디지털),  8,000원",,,112
2015-01-30,02관,"13:30,  쿼바디스(디지털),  8,000원","15:30,  생각보다 맑은(디지털),  8,000원","17:10,  미라클 여행기(디지털),  8,000원",,,,136
2015-01-30,03관,"13:20,  아이 킬드 마이 마더(디지털),  8,000원","15:20,  아메리칸 셰프(디지털),  8,000원","17:30,  트라이브(디지털),  8,000원","20:00,  빅 아이즈(디지털),  8,000원",,,98
2015-01-31,01관,"13:50,  내일을 위한 시간(디지털),  8,000원","15:40,  나의 사적인 여자친구(디지털),  8,000원","17:50,  이별까지 7일(디지털),  8,000원","20:10,  유아 낫 유(디지털),  8,000원",,,112
2015-01-31,02관,"13:30,  쿼바디스(디지털),  8,000원","16:00,  생각보다 맑은(디지털),  8,000원",,,,,136
2015-01-31,03관,"13:20,  아이 킬드 마이 마더(디지털),  8,000원","15:20,  아메리칸 셰프(디지털),  8,000원","17:30,  트라이브(디지털),  8,000원","20:00,  빅 아이즈(디지털),  8,000원",,,98
2015-02-01,01관,"13:50,  내일을 위한 시간(디지털),  8,000원","15:40,  나의 사적인 여자친구(디지털),  8,000원","17:50,  이별까지 7일(디지털),  8,000원","20:10,  유아 낫 유(디지털),  8,000원",,,112
2015-02-01,02관,"13:30,  쿼바디스(디지털),  8,000원","15:30,  생각보다 맑은(디지털),  8,000원","17:10,  미라클 여행기(디지털),  8,000원",,"20:30,  미라클 여행기(디지털),  8,000원",,136
2015-02-01,03관,"13:20,  아이 킬드 마이 마더(디지털),  8,000원","15:20,  아메리칸 셰프(디지털),  8,000원","17:30,  트라이브(디지털),  8,000원","20:00,  빅 아이즈(디지털),  8,000원",,,98
2015-02-03,01관,"13:50,  내일을 위한 시간(디지털),  6,000원","15:40,  나의 사적인 여자친구(디지털),  6,000원","17:50,  이별까지 7일(디지털),  6,000원","20:10,  유아 낫 유(디지털),  6,000원",,,112
