상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2017-07-05,06관,"10:20,  스파이더맨: 홈 커밍(디지털),  6,000원","13:05,  스파이더맨: 홈 커밍(디지털),  9,000원","15:50,  스파이더맨: 홈 커밍(디지털),  9,000원","18:35,  스파이더맨: 홈 커밍(디지털),  9,000원","21:20,  스파이더맨: 홈 커밍(디지털),  9,000원","24:05,  스파이더맨: 홈 커밍(디지털),  6,000원",,,,,,,,,87
2017-07-05,07관,"09:00,  리얼(디지털)","11:45,  리얼(디지털)","14:30,  트랜스포머: 최후의 기사(디지털)","17:25,  트랜스포머: 최후의 기사(디지털)","20:20,  스파이더맨: 홈 커밍(디지털),  9,000원","23:05,  스파이더맨: 홈 커밍(디지털),  6,000원",,,,,,,,,40
2017-07-05,08관,"11:00,  스파이더맨: 홈 커밍(디지털),  6,000원","13:45,  스파이더맨: 홈 커밍(디지털),  9,000원","16:30,  스파이더맨: 홈 커밍(디지털),  9,000원","19:15,  스파이더맨: 홈 커밍(디지털),  9,000원","22:00,  스파이더맨: 홈 커밍(디지털),  9,000원","24:45,  스파이더맨: 홈 커밍(디지털),  6,000원",,,,,,,,,308
2017-07-06,01관,"09:00,  스파이더맨: 홈 커밍(디지털),  6,000원","11:45,  스파이더맨: 홈 커밍(디지털),  7,000원","14:30,  스파이더맨: 홈 커밍(디지털),  9,000원","17:15,  스파이더맨: 홈 커밍(디지털),  9,000원","20:00,  스파이더맨: 홈 커밍(디지털),  9,000원","22:45,  스파이더맨: 홈 커밍(디지털),  9,000원",,,,,,,,,143
2017-07-06,02관,"10:10,  박열(디지털),  6,000원","12:45,  박열(디지털)","15:20,  박열(디지털),  9,000원","17:55,  박열(디지털)","20:30,  박열(디지털),  9,000원","23:05,  박열(디지털)",,,,,,,,,119
2017-07-06,03관,"10:40,  트랜스포머: 최후의 기사(디지털)","13:40,  트랜스포머: 최후의 기사(디지털),  8,000원","16:40,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  9,000원","18:05,  트랜스포머: 최후의 기사(디지털),  8,000원","21:05,  트랜스포머: 최후의 기사(디지털),  9,000원","24:05,  트랜스포머: 최후의 기사(디지털)",,,,,,,,,119
2017-07-06,04관,"09:40,  스파이더맨: 홈 커밍(디지털),  6,000원","12:25,  스파이더맨: 홈 커밍(디지털),  7,000원","15:10,  스파이더맨: 홈 커밍(디지털),  9,000원","17:55,  스파이더맨: 홈 커밍(디지털),  9,000원","20:40,  스파이더맨: 홈 커밍(디지털),  9,000원","23:25,  스파이더맨: 홈 커밍(디지털),  6,000원",,,,,,,,,144
2017-07-06,05관,"09:20,  박열(디지털)","11:55,  박열(디지털),  7,000원","14:30,  박열(디지털),  9,000원","17:05,  박열(디지털),  9,000원","19:40,  박열(디지털),  9,000원","22:15,  박열(디지털),  9,000원",,,,,,,,,119
2017-07-06,06관,"10:20,  스파이더맨: 홈 커밍(디지털),  6,000원","13:05,  스파이더맨: 홈 커밍(디지털),  9,000원","15:50,  스파이더맨: 홈 커밍(디지털),  9,000원","18:35,  스파이더맨: 홈 커밍(디지털),  9,000원","21:20,  스파이더맨: 홈 커밍(디지털),  9,000원","24:05,  스파이더맨: 홈 커밍(디지털),  6,000원",,,,,,,,,87
2017-07-06,07관,"09:00,  리얼(디지털)","11:45,  리얼(디지털)","14:30,  트랜스포머: 최후의 기사(디지털),  9,000원","17:25,  트랜스포머: 최후의 기사(디지털),  9,000원","20:20,  스파이더맨: 홈 커밍(디지털)","23:05,  스파이더맨: 홈 커밍(디지털),  6,000원",,,,,,,,,40
