상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2016-03-11,02관,"11:00,  주토피아(디지털더빙)","13:00,  널 기다리며(디지털),  8,000원","15:00,  주토피아(디지털더빙),  7,000원","17:00,  널 기다리며(디지털)","19:00,  주토피아(디지털더빙),  7,000원","21:00,  널 기다리며(디지털),  8,000원",,,,,,,,,31
2016-03-12,01관,"11:00,  귀향(디지털),  8,000원","13:30,  귀향(디지털),  7,000원","16:00,  귀향(디지털),  8,000원","18:30,  귀향(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-12,02관,"11:00,  주토피아(디지털더빙),  8,000원","13:00,  널 기다리며(디지털),  8,000원","15:00,  주토피아(디지털더빙),  8,000원","17:00,  널 기다리며(디지털),  8,000원","19:00,  주토피아(디지털더빙),  7,000원","21:00,  널 기다리며(디지털),  8,000원",,,,,,,,,31
2016-03-13,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털),  8,000원","16:00,  귀향(디지털),  8,000원","18:30,  귀향(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-13,02관,"11:00,  주토피아(디지털더빙)","13:00,  널 기다리며(디지털),  8,000원","15:00,  주토피아(디지털더빙),  8,000원","17:00,  널 기다리며(디지털),  8,000원","19:00,  주토피아(디지털더빙),  7,000원","21:00,  널 기다리며(디지털),  8,000원",,,,,,,,,31
2016-03-14,01관,"11:00,  귀향(디지털)","13:20,  귀향(디지털)","16:00,  귀향(디지털),  8,000원","18:30,  귀향(디지털),  8,000원","21:00,  귀향(디지털)",,,,,,,,,,77
2016-03-14,02관,"11:00,  주토피아(디지털더빙)","13:00,  널 기다리며(디지털),  8,000원","15:00,  주토피아(디지털더빙),  7,000원","17:00,  널 기다리며(디지털)","19:00,  주토피아(디지털더빙),  8,000원","21:00,  널 기다리며(디지털),  8,000원",,,,,,,,,31
2016-03-15,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털)","16:00,  귀향(디지털),  8,000원","18:30,  귀향(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-15,02관,"11:00,  주토피아(디지털더빙)","13:00,  널 기다리며(디지털),  8,000원","15:00,  주토피아(디지털더빙)","17:00,  널 기다리며(디지털)","19:00,  주토피아(디지털더빙),  7,000원","21:00,  널 기다리며(디지털)","23:30,  드론전쟁: 굿킬(디지털),  8,000원",,,,,,,,31
2016-03-16,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털),  8,000원","16:00,  귀향(디지털)","18:30,  귀향(디지털)","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-16,02관,"10:00,  주토피아(디지털더빙)","12:00,  널 기다리며(디지털),  8,000원","14:00,  주토피아(디지털더빙)","17:00,  널 기다리며(디지털),  8,000원","19:00,  주토피아(디지털더빙)","21:00,  널 기다리며(디지털)","24:00,  그녀의 가슴냄새(디지털),  8,000원","25:10,  변태여과장의 에로폭발(디지털),  8,000원","26:10,  아내의 능욕-강제정사(디지털),  8,000원","27:20,  제아내를 소개합니다(디지털),  8,000원",,,,,31
2016-03-17,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털)","16:00,  귀향(디지털),  7,000원","18:30,  귀향(디지털)","21:00,  귀향(디지털)",,,,,,,,,,77
2016-03-17,02관,"11:00,  주토피아(디지털더빙)","13:00,  널 기다리며(디지털),  8,000원","15:00,  주토피아(디지털더빙),  7,000원","17:00,  널 기다리며(디지털)","19:00,  주토피아(디지털더빙)","21:00,  널 기다리며(디지털),  8,000원","23:30,  라면 먹고 갈래?(디지털),  8,000원",,,,,,,,31
2016-03-18,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털),  8,000원","16:00,  귀향(디지털)","18:30,  귀향(디지털)","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-18,02관,"11:00,  주토피아(디지털더빙)","13:00,  널 기다리며(디지털)","15:00,  주토피아(디지털더빙),  7,000원","17:00,  널 기다리며(디지털),  8,000원","19:00,  주토피아(디지털더빙),  8,000원","21:00,  널 기다리며(디지털),  8,000원",,,,,,,,,31
2016-03-19,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털),  8,000원","16:00,  귀향(디지털),  7,000원","18:30,  귀향(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-19,02관,"11:00,  주토피아(디지털더빙)","13:00,  널 기다리며(디지털)","15:00,  주토피아(디지털더빙),  8,000원","17:00,  널 기다리며(디지털)","19:00,  주토피아(디지털더빙),  8,000원","21:00,  널 기다리며(디지털),  8,000원",,,,,,,,,31
2016-03-20,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털),  8,000원","16:00,  귀향(디지털),  7,000원","18:30,  귀향(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-20,02관,"11:00,  주토피아(디지털더빙)","13:00,  널 기다리며(디지털)","15:00,  주토피아(디지털더빙),  8,000원","17:00,  널 기다리며(디지털),  8,000원","19:00,  주토피아(디지털더빙),  8,000원","21:00,  널 기다리며(디지털)",,,,,,,,,31
2016-03-21,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털),  7,000원","16:00,  귀향(디지털),  8,000원","18:30,  귀향(디지털)","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-21,02관,"11:00,  주토피아(디지털더빙)","13:00,  널 기다리며(디지털)","15:00,  주토피아(디지털더빙),  8,000원","17:00,  널 기다리며(디지털)","19:00,  주토피아(디지털더빙),  8,000원","21:00,  널 기다리며(디지털),  8,000원","23:20,  거유간호사 폭유간호사(디지털),  8,000원",,,,,,,,31
2016-03-22,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털)","16:00,  귀향(디지털)","18:30,  귀향(디지털)","21:00,  귀향(디지털),  7,000원",,,,,,,,,,77
