상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,15회,16회,좌석수
2017-08-05,02관(Cine de Chef-TEMPUR Cinema),"09:50,  택시운전사(디지털),  10,000원","13:00,  택시운전사(디지털),  10,000원","16:10,  택시운전사(디지털),  10,000원","19:20,  택시운전사(디지털),  10,000원","22:30,  택시운전사(디지털),  10,000원",,,,,,,,,,,,50
2017-08-06,01관(Cine de Chef),"09:20,  택시운전사(디지털),  10,000원","12:30,  덩케르크(디지털),  10,000원","15:10,  덩케르크(디지털),  10,000원","18:10,  택시운전사(디지털),  10,000원","21:20,  택시운전사(디지털)",,,,,,,,,,,,64
2017-08-06,02관(Cine de Chef-TEMPUR Cinema),"10:10,  덩케르크(디지털),  10,000원","12:50,  택시운전사(디지털),  10,000원","16:00,  택시운전사(디지털),  10,000원","19:10,  택시운전사(디지털),  10,000원","22:20,  택시운전사(디지털),  10,000원",,,,,,,,,,,,50
2017-08-07,01관(Cine de Chef),"09:40,  택시운전사(디지털)","13:00,  덩케르크(디지털)","15:30,  군함도(디지털)","18:30,  덩케르크(디지털)","21:10,  택시운전사(디지털),  9,000원",,,,,,,,,,,,64
2017-08-07,02관(Cine de Chef-TEMPUR Cinema),"10:00,  덩케르크(디지털)","12:40,  택시운전사(디지털),  9,000원","15:50,  택시운전사(디지털),  9,000원","19:00,  택시운전사(디지털),  9,000원","22:10,  택시운전사(디지털)",,,,,,,,,,,,50
2017-08-08,01관(Cine de Chef),"10:30,  택시운전사(디지털),  9,000원","13:30,  덩케르크(디지털)","16:00,  덩케르크(디지털)","18:40,  군함도(디지털)","21:40,  덩케르크(디지털)",,,,,,,,,,,,64
2017-08-08,02관(Cine de Chef-TEMPUR Cinema),"09:30,  덩케르크(디지털)","12:00,  택시운전사(디지털),  9,000원","15:00,  택시운전사(디지털),  9,000원","18:10,  택시운전사(디지털),  9,000원","21:20,  택시운전사(디지털),  9,000원",,,,,,,,,,,,50
2017-08-09,01관(Cine de Chef),"10:30,  택시운전사(디지털)","13:30,  덩케르크(디지털)","16:00,  청년경찰(디지털)","19:00,  청년경찰(디지털),  9,000원","21:50,  택시운전사(디지털),  9,000원",,,,,,,,,,,,64
2017-08-09,02관(Cine de Chef-TEMPUR Cinema),"09:30,  덩케르크(디지털),  9,000원","12:00,  택시운전사(디지털),  9,000원","15:00,  택시운전사(디지털),  9,000원","18:10,  택시운전사(디지털),  9,000원","21:20,  청년경찰(디지털),  9,000원",,,,,,,,,,,,50
2017-08-10,01관(Cine de Chef),"09:40,  택시운전사(디지털)","12:50,  예감은 틀리지 않는다(디지털)","15:40,  군함도(디지털),  9,000원","18:50,  청년경찰(디지털),  9,000원","21:40,  청년경찰(디지털)",,,,,,,,,,,,64
2017-08-10,02관(Cine de Chef-TEMPUR Cinema),"09:20,  덩케르크(디지털)","12:00,  택시운전사(디지털),  9,000원","15:00,  택시운전사(디지털),  9,000원","18:10,  택시운전사(디지털),  9,000원","21:20,  택시운전사(디지털),  9,000원",,,,,,,,,,,,50
2017-08-11,01관(Cine de Chef),"10:50,  청년경찰(디지털),  10,000원","13:40,  덩케르크(디지털),  10,000원","16:00,  택시운전사(디지털)","19:00,  택시운전사(디지털),  10,000원","22:10,  청년경찰(디지털)",,,,,,,,,,,,64
2017-08-11,02관(Cine de Chef-TEMPUR Cinema),"09:30,  택시운전사(디지털)","12:30,  택시운전사(디지털),  10,000원","15:40,  청년경찰(디지털),  10,000원","18:40,  청년경찰(디지털),  10,000원","21:20,  택시운전사(디지털),  10,000원",,,,,,,,,,,,50
2017-08-12,01관(Cine de Chef),"10:20,  청년경찰(디지털)","13:20,  덩케르크(디지털),  10,000원","16:10,  택시운전사(디지털),  10,000원","19:20,  청년경찰(디지털),  10,000원","22:00,  청년경찰(디지털)",,,,,,,,,,,,64
2017-08-12,02관(Cine de Chef-TEMPUR Cinema),"09:30,  택시운전사(디지털),  10,000원","12:40,  택시운전사(디지털),  10,000원","15:50,  청년경찰(디지털),  10,000원","18:30,  택시운전사(디지털),  10,000원","21:40,  택시운전사(디지털),  10,000원",,,,,,,,,,,,50
2017-08-13,01관(Cine de Chef),"10:10,  택시운전사(디지털)","13:20,  덩케르크(디지털),  10,000원","16:00,  청년경찰(디지털),  10,000원","18:40,  택시운전사(디지털)","22:00,  청년경찰(디지털)",,,,,,,,,,,,64
2017-08-13,02관(Cine de Chef-TEMPUR Cinema),"09:50,  청년경찰(디지털),  10,000원","12:30,  택시운전사(디지털),  10,000원","15:40,  택시운전사(디지털),  10,000원","19:00,  청년경찰(디지털),  10,000원","21:40,  택시운전사(디지털),  10,000원",,,,,,,,,,,,50
2017-08-14,01관(Cine de Chef),"10:00,  청년경찰(디지털)","13:00,  예감은 틀리지 않는다(디지털)","15:40,  청년경찰(디지털)","19:00,  택시운전사(디지털),  9,000원","22:00,  청년경찰(디지털),  9,000원",,,,,,,,,,,,64
2017-08-14,02관(Cine de Chef-TEMPUR Cinema),"09:20,  택시운전사(디지털)","12:30,  청년경찰(디지털)","15:10,  택시운전사(디지털),  9,000원","18:20,  청년경찰(디지털),  9,000원","21:00,  택시운전사(디지털),  9,000원",,,,,,,,,,,,50
2017-08-15,01관(Cine de Chef),"09:20,  택시운전사(디지털)","12:20,  청년경찰(디지털),  10,000원","15:00,  택시운전사(디지털),  10,000원","18:00,  택시운전사(디지털)","21:00,  혹성탈출: 종의 전쟁(디지털),  10,000원",,,,,,,,,,,,64
2017-08-15,02관(Cine de Chef-TEMPUR Cinema),"09:40,  혹성탈출: 종의 전쟁(디지털),  10,000원","12:40,  혹성탈출: 종의 전쟁(디지털),  10,000원","15:50,  혹성탈출: 종의 전쟁(디지털),  10,000원","19:00,  혹성탈출: 종의 전쟁(디지털),  10,000원","22:10,  혹성탈출: 종의 전쟁(디지털),  10,000원",,,,,,,,,,,,50
2017-08-16,01관(Cine de Chef),"09:50,  예감은 틀리지 않는다(디지털)","12:20,  청년경찰(디지털),  9,000원","15:00,  택시운전사(디지털),  9,000원","18:10,  청년경찰(디지털),  9,000원","20:50,  혹성탈출: 종의 전쟁(디지털)",,,,,,,,,,,,64
