상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2018-01-27,05관,"08:40,  1급기밀(디지털)","11:00,  1급기밀(디지털),  9,000원","13:30,  1급기밀(디지털),  9,000원","16:00,  1급기밀(디지털),  9,000원","18:20,  1급기밀(디지털),  9,000원","20:40,  1급기밀(디지털),  9,000원","23:00,  1급기밀(디지털),  8,000원",,,,,,146
2018-01-27,06관,"09:00,  그것만이 내 세상(디지털),  6,000원","11:40,  그것만이 내 세상(디지털),  9,000원","14:20,  그것만이 내 세상(디지털),  9,000원","17:00,  그것만이 내 세상(디지털),  9,000원","19:35,  그것만이 내 세상(디지털),  9,000원","22:10,  그것만이 내 세상(디지털),  9,000원","24:50,  그것만이 내 세상(디지털),  8,000원",,,,,,146
2018-01-27,08관,"09:10,  코코(디지털더빙),  6,000원","12:00,  코코(디지털더빙),  9,000원","14:40,  코코(디지털더빙),  9,000원","17:20,  코코(디지털),  9,000원","20:00,  코코(디지털),  9,000원","22:40,  코코(디지털),  9,000원","25:20,  코코(디지털)",,,,,,91
2018-01-27,09관,"10:00,  커뮤터(디지털),  6,000원","12:20,  커뮤터(디지털),  9,000원","14:40,  커뮤터(디지털),  9,000원","17:00,  커뮤터(디지털),  9,000원","19:20,  커뮤터(디지털),  9,000원","21:40,  커뮤터(디지털),  9,000원","24:00,  커뮤터(디지털)",,,,,,91
2018-01-27,10관,"10:10,  극장판 레이디버그: 미라클스톤의 비밀(디지털더빙),  6,000원","12:00,  극장판 레이디버그: 미라클스톤의 비밀(디지털더빙),  9,000원","13:50,  극장판 레이디버그: 미라클스톤의 비밀(디지털더빙),  9,000원","15:40,  극장판 레이디버그: 미라클스톤의 비밀(디지털더빙),  9,000원","17:30,  비밥바룰라(디지털),  9,000원","19:50,  비밥바룰라(디지털)","22:00,  다키스트 아워(디지털),  8,000원",,,,,,91
2018-01-28,03관,"09:30,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:30,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:30,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:30,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:30,  신과함께-죄와 벌(디지털),  9,000원","24:20,  메이즈 러너: 데스 큐어(디지털),  8,000원",,,,,,,140
2018-01-28,04관,"09:00,  1987(디지털),  6,000원","11:40,  1987(디지털),  9,000원","14:20,  1987(디지털),  9,000원","17:00,  1987(디지털),  9,000원","19:40,  1987(디지털),  9,000원","22:20,  1987(디지털),  9,000원","25:00,  1987(디지털)",,,,,,140
2018-01-28,05관,"08:40,  1급기밀(디지털),  6,000원","11:00,  1급기밀(디지털),  9,000원","13:20,  1급기밀(디지털),  9,000원","15:45,  1급기밀(디지털),  9,000원","18:10,  1급기밀(디지털),  9,000원","20:35,  1급기밀(디지털),  9,000원","23:00,  1급기밀(디지털),  8,000원",,,,,,146
2018-01-28,06관,"09:00,  그것만이 내 세상(디지털),  6,000원","11:40,  그것만이 내 세상(디지털),  9,000원","14:20,  그것만이 내 세상(디지털),  9,000원","17:00,  그것만이 내 세상(디지털),  9,000원","19:35,  그것만이 내 세상(디지털),  9,000원","22:10,  그것만이 내 세상(디지털),  9,000원","24:50,  그것만이 내 세상(디지털)",,,,,,146
2018-01-28,08관,"09:10,  신과함께-죄와 벌(디지털),  6,000원","12:00,  코코(디지털더빙),  9,000원","14:40,  코코(디지털더빙),  9,000원","17:20,  코코(디지털),  9,000원","20:00,  코코(디지털),  9,000원","22:40,  코코(디지털),  9,000원","25:20,  코코(디지털),  8,000원",,,,,,91
2018-01-28,09관,"10:00,  커뮤터(디지털),  6,000원","12:20,  커뮤터(디지털),  9,000원","14:40,  커뮤터(디지털),  9,000원","17:00,  커뮤터(디지털),  9,000원","19:15,  신과함께-죄와 벌(디지털),  9,000원","22:10,  커뮤터(디지털),  9,000원","24:30,  커뮤터(디지털),  8,000원",,,,,,91
