상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2019-01-06,02관,"10:00,  마약왕(디지털),  6,000원","12:40,  스윙키즈(디지털),  6,000원","15:15,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","17:30,  아쿠아맨(디지털),  6,000원","20:15,  아쿠아맨(디지털),  6,000원",,,,,,,,47
2019-01-07,01관,"10:00,  마약왕(디지털),  5,000원","12:40,  스윙키즈(디지털),  6,000원","15:15,  PMC: 더 벙커(디지털),  6,000원","17:40,  아쿠아맨(디지털),  6,000원","20:25,  아쿠아맨(디지털),  6,000원",,,,,,,,77
2019-01-07,02관,"09:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","12:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","14:15,  범블비(디지털),  6,000원","16:25,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","18:40,  PMC: 더 벙커(디지털)","21:00,  범블비(디지털),  6,000원",,,,,,,47
2019-01-08,01관,"10:00,  마약왕(디지털),  6,000원","12:40,  스윙키즈(디지털),  6,000원","15:15,  PMC: 더 벙커(디지털),  6,000원","17:40,  아쿠아맨(디지털),  6,000원","20:25,  아쿠아맨(디지털),  6,000원",,,,,,,,77
2019-01-08,02관,"09:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","12:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","14:15,  범블비(디지털),  6,000원","16:25,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","18:40,  PMC: 더 벙커(디지털),  6,000원","21:00,  범블비(디지털),  5,000원",,,,,,,47
2019-01-09,01관,"09:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙)","12:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","14:10,  범블비(디지털),  6,000원","16:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","18:30,  말모이(디지털),  6,000원","21:05,  말모이(디지털),  6,000원",,,,,,,77
2019-01-09,02관,"10:10,  PMC: 더 벙커(디지털)","12:35,  아쿠아맨(디지털),  6,000원","15:20,  말모이(디지털),  6,000원","17:55,  PMC: 더 벙커(디지털),  5,000원","20:20,  아쿠아맨(디지털),  6,000원",,,,,,,,47
2019-01-10,01관,"09:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","12:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","14:10,  범블비(디지털),  6,000원","16:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","18:30,  말모이(디지털),  6,000원","21:05,  말모이(디지털),  6,000원",,,,,,,77
2019-01-10,02관,"10:10,  PMC: 더 벙커(디지털),  6,000원","12:35,  아쿠아맨(디지털),  6,000원","15:20,  말모이(디지털),  6,000원","17:55,  PMC: 더 벙커(디지털),  6,000원","20:20,  아쿠아맨(디지털),  6,000원",,,,,,,,47
2019-01-11,01관,"09:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","12:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","14:10,  범블비(디지털),  6,000원","16:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","18:30,  말모이(디지털),  6,000원","21:05,  말모이(디지털),  6,000원",,,,,,,77
2019-01-11,02관,"10:10,  PMC: 더 벙커(디지털),  6,000원","12:35,  PMC: 더 벙커(디지털),  5,000원","15:00,  말모이(디지털),  6,000원","17:35,  아쿠아맨(디지털),  6,000원","20:20,  아쿠아맨(디지털),  6,000원",,,,,,,,47
2019-01-12,01관,"09:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","11:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","13:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","16:00,  말모이(디지털),  6,000원","18:35,  말모이(디지털),  6,000원","21:10,  말모이(디지털),  6,000원",,,,,,,77
2019-01-12,02관,"10:00,  PMC: 더 벙커(디지털),  6,000원","12:25,  범블비(디지털),  6,000원","14:40,  말모이(디지털),  6,000원","17:15,  아쿠아맨(디지털),  6,000원","20:00,  아쿠아맨(디지털),  6,000원",,,,,,,,47
2019-01-13,01관,"09:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","11:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","13:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","16:00,  말모이(디지털),  6,000원","18:35,  말모이(디지털),  6,000원","21:10,  말모이(디지털),  6,000원",,,,,,,77
2019-01-13,02관,"10:00,  PMC: 더 벙커(디지털),  6,000원","12:25,  범블비(디지털),  6,000원","14:40,  말모이(디지털),  6,000원","17:15,  아쿠아맨(디지털),  6,000원","20:00,  아쿠아맨(디지털),  6,000원",,,,,,,,47
