상영일자,상영관,1회,2회,3회,4회,5회,좌석수
2017-01-18,01관,"09:30,  공조(디지털),  5,000원","12:00,  모아나(디지털더빙),  5,000원","14:10,  더 킹(디지털),  5,000원","17:10,  공조(디지털),  5,000원","19:35,  더 킹(디지털),  5,000원",109
2017-01-19,01관,"09:35,  더 킹(디지털),  5,000원","12:10,  모아나(디지털더빙),  5,000원","14:25,  공조(디지털),  5,000원","16:50,  더 킹(디지털),  5,000원","19:25,  공조(디지털),  5,000원",109
2017-01-20,01관,"09:35,  공조(디지털),  5,000원","12:00,  모아나(디지털더빙),  5,000원","14:15,  더 킹(디지털),  5,000원","16:50,  공조(디지털),  5,000원","19:15,  더 킹(디지털),  5,000원",109
2017-01-21,01관,"09:35,  더 킹(디지털),  5,000원","12:10,  모아나(디지털더빙),  5,000원","14:25,  공조(디지털),  5,000원","16:50,  더 킹(디지털),  5,000원","19:25,  공조(디지털),  5,000원",109
2017-01-22,01관,"09:35,  공조(디지털),  5,000원","12:00,  모아나(디지털더빙),  5,000원","14:15,  더 킹(디지털),  5,000원","16:50,  공조(디지털),  5,000원","19:15,  더 킹(디지털),  5,000원",109
2017-01-24,01관,"09:35,  더 킹(디지털),  5,000원","12:10,  모아나(디지털더빙),  5,000원","14:25,  공조(디지털),  5,000원","16:50,  더 킹(디지털),  5,000원","19:25,  공조(디지털),  5,000원",109
2017-01-25,01관,"09:35,  공조(디지털),  5,000원","12:00,  모아나(디지털더빙),  5,000원","14:15,  더 킹(디지털),  5,000원","16:50,  공조(디지털),  5,000원","19:15,  더 킹(디지털),  5,000원",109
2017-01-26,01관,"09:35,  더 킹(디지털),  5,000원","12:10,  모아나(디지털더빙),  5,000원","14:25,  공조(디지털),  5,000원","16:50,  더 킹(디지털),  5,000원","19:25,  공조(디지털),  5,000원",109
2017-01-27,01관,"09:35,  공조(디지털),  5,000원","12:00,  모아나(디지털더빙),  5,000원","14:15,  더 킹(디지털),  5,000원","16:50,  공조(디지털),  5,000원","19:15,  더 킹(디지털),  5,000원",109
2017-01-29,01관,"09:35,  공조(디지털),  5,000원","12:00,  모아나(디지털더빙),  5,000원","14:15,  더 킹(디지털),  5,000원","16:50,  공조(디지털),  5,000원","19:15,  더 킹(디지털),  5,000원",109
2017-01-30,01관,"09:35,  더 킹(디지털),  5,000원","12:10,  모아나(디지털더빙),  5,000원","14:25,  공조(디지털),  5,000원","16:50,  더 킹(디지털),  5,000원","19:25,  공조(디지털),  5,000원",109
2017-02-01,01관,"09:35,  공조(디지털),  5,000원","12:00,  모아나(디지털더빙),  5,000원","14:15,  더 킹(디지털),  5,000원","16:50,  공조(디지털),  5,000원","19:15,  더 킹(디지털),  5,000원",109
2017-02-02,01관,"09:35,  공조(디지털),  5,000원","12:00,  더 킹(디지털),  5,000원","14:35,  공조(디지털),  5,000원","17:00,  모아나(디지털더빙),  5,000원","19:15,  더 킹(디지털),  5,000원",109
