10회,11회,1회,2회,3회,4회,5회,6회,7회,8회,9회,상영관,상영일자,좌석수
,,"10:00,  레인보우: 나의 사랑(디지털),  6,000원","11:50,  미스터 스마일(디지털),  7,000원","13:50,  그린 북(디지털),  7,000원","16:20,  레토(디지털),  7,000원","18:50,  더 파티(디지털),  7,000원","20:30,  그린 북(디지털),  7,000원",,,,소극장,2019-01-13,212
,,"09:30,  말모이(디지털),  5,000원","12:10,  내안의 그놈(디지털),  7,000원","14:40,  말모이(디지털),  7,000원","17:20,  내안의 그놈(디지털),  7,000원","19:50,  보헤미안 랩소디(디지털),  7,000원",,,,,중극장,2019-01-13,413
,,"11:30,  다영씨(디지털),  7,000원","12:50,  천당의 밤과 안개(디지털),  0원","17:10,  어른이 되면(디지털),  7,000원","19:10,  버블 패밀리(디지털),  7,000원",,,,,,인디플러스 영화의 전당,2019-01-13,36
,,,"13:00,  조용한 가족(디지털),  0원","16:00,  결혼이야기(디지털),  0원","19:00,  인정사정 볼 것 없다(디지털),  0원",,,,,,시네마테크관,2019-01-14,212
,,"10:10,  부다페스트 로큰롤(디지털),  5,000원","12:30,  레인보우: 나의 사랑(디지털),  7,000원","14:20,  미스터 스마일(디지털),  7,000원","16:20,  더 파티(디지털),  7,000원","18:00,  레토(디지털),  7,000원","20:30,  그린 북(디지털),  7,000원",,,,소극장,2019-01-14,212
,,"09:30,  내안의 그놈(디지털),  5,000원","12:00,  말모이(디지털),  7,000원","14:40,  내안의 그놈(디지털),  7,000원","17:10,  말모이(디지털),  7,000원",,"20:00,  우행록: 어리석은 자의 기록(디지털),  0원",,,,중극장,2019-01-14,413
,,"13:30,  어른이 되면(디지털),  7,000원","15:30,  아메리카 타운(디지털),  5,000원","17:30,  다영씨(디지털),  7,000원","18:50,  버블 패밀리(디지털),  7,000원","20:30,  두 번째 겨울(디지털),  7,000원",,,,,인디플러스 영화의 전당,2019-01-14,36
,,"10:30,  이차크의 행복한 바이올린(디지털),  5,000원","12:20,  러빙 빈센트 : 비하인드 에디션(디지털),  7,000원","14:30,  인생 후르츠(디지털),  7,000원","16:20,  율리시즈의 시선 (필름),  6,000원","20:00,  어둠속의 외침(디지털),  6,000원",,,,,시네마테크관,2019-01-15,212
,,"10:10,  더 파티(디지털),  5,000원","11:50,  부다페스트 로큰롤(디지털),  7,000원","14:10,  레인보우: 나의 사랑(디지털),  7,000원",,"18:00,  그린 북(디지털),  7,000원","20:30,  레토(디지털),  7,000원",,,,소극장,2019-01-15,212
,,"09:30,  말모이(디지털),  6,000원","12:10,  범블비(디지털),  7,000원","14:30,  말모이(디지털),  7,000원","17:10,  내안의 그놈(디지털),  7,000원","19:50,  보헤미안 랩소디(디지털),  7,000원",,,,,중극장,2019-01-15,413
,,"10:00,  척화영웅(디지털),  0원","13:30,  버블 패밀리(디지털),  0원",,,"18:40,  어른이 되면(디지털),  7,000원",,,,,인디플러스 영화의 전당,2019-01-15,36
,,"09:20,  연연풍진(디지털),  5,000원","11:30,  러빙 빈센트 : 비하인드 에디션(디지털),  7,000원","13:40,  인생 후르츠(디지털),  7,000원","15:30,  이차크의 행복한 바이올린(디지털),  7,000원","17:20,  맨하탄(디지털),  6,000원",,,,,시네마테크관,2019-01-16,212
,,"10:10,  로마(디지털),  5,000원","12:50,  그린 북(디지털),  7,000원","15:20,  레토(디지털),  7,000원","17:50,  로마(디지털),  7,000원","20:30,  그린 북(디지털),  7,000원",,,,,소극장,2019-01-16,212
,,"09:30,  말모이(디지털),  6,000원","12:10,  내안의 그놈(디지털),  7,000원","14:40,  그대 이름은 장미(디지털),  7,000원","17:10,  말모이(디지털),  7,000원","19:50,  그대 이름은 장미(디지털),  7,000원",,,,,중극장,2019-01-16,413
,,,,"16:50,  버블 패밀리(디지털),  7,000원","18:30,  천당의 밤과 안개(디지털),  14,000원",,,,,,인디플러스 영화의 전당,2019-01-16,36
,,"10:10,  인생 후르츠(디지털),  5,000원","12:00,  레토(디지털),  7,000원",,"14:30,  하우스 오브 스피리트(필름),  6,000원","17:30,  악마는 프라다를 입는다(디지털),  6,000원","20:00,  어둠속의 외침(디지털),  6,000원",,,,시네마테크관,2019-01-17,212
,,"09:50,  미래의 미라이(디지털),  5,000원","11:50,  일일시호일(디지털),  7,000원","13:50,  더 서치(디지털),  7,000원","16:30,  그린 북(디지털),  7,000원",,"19:00,  가버나움(디지털),  7,000원",,,,소극장,2019-01-17,212
,,"09:30,  그대 이름은 장미(디지털),  5,000원","12:00,  말모이(디지털),  7,000원","14:40,  내안의 그놈(디지털),  7,000원","17:10,  그대 이름은 장미(디지털),  7,000원","19:50,  말모이(디지털),  7,000원",,,,,중극장,2019-01-17,413
,,"12:30,  어른이 되면(디지털),  7,000원",,"16:10,  창간호(디지털),  7,000원","18:30,  메이트(디지털),  7,000원","20:30,  김새벽 배우 특별전(인디스데이)(디지털),  5,000원",,,,,인디플러스 영화의 전당,2019-01-17,36
,,"10:20,  이차크의 행복한 바이올린(디지털),  6,000원","12:10,  인생 후르츠(디지털),  7,000원",,"14:00,  리스본의 미스터리(디지털),  6,000원","20:00,  허드(필름),  6,000원",,,,,시네마테크관,2019-01-18,212
,,"09:30,  쿠르스크(디지털),  7,000원","11:50,  미래의 미라이(디지털),  7,000원","14:00,  쿠르스크(디지털),  7,000원","16:20,  더 서치(디지털),  7,000원",,"19:30,  메이트(디지털),  7,000원",,,,소극장,2019-01-18,212
,,"09:30,  말모이(디지털),  5,000원","12:10,  그대 이름은 장미(디지털),  7,000원","14:40,  말모이(디지털),  7,000원","17:20,  내안의 그놈(디지털),  7,000원","19:50,  그대 이름은 장미(디지털),  7,000원",,,,,중극장,2019-01-18,413
,,"13:30,  김새벽 배우 특별전(인디스데이)(디지털),  5,000원",,,"18:50,  버블 패밀리(디지털),  7,000원","20:30,  창간호(디지털),  7,000원",,,,,인디플러스 영화의 전당,2019-01-18,36
,,"09:20,  이차크의 행복한 바이올린(디지털),  5,000원","11:10,  인생 후르츠(디지털),  7,000원",,"13:00,  보통사람들(디지털),  6,000원","16:00,  예수의 마지막 유혹(디지털),  6,000원","19:30,  챔프(필름),  6,000원",,,,시네마테크관,2019-01-19,212
,,"09:30,  미래의 미라이(디지털),  6,000원","11:30,  미래의 미라이(디지털),  7,000원","13:30,  일일시호일(디지털),  7,000원","15:30,  더 서치(디지털),  7,000원","18:10,  쿠르스크(디지털),  7,000원","20:30,  그린 북(디지털),  7,000원",,,,소극장,2019-01-19,212
,,"09:50,  언더독(디지털),  5,000원","12:00,  말모이(디지털),  7,000원","14:40,  내안의 그놈(디지털),  7,000원","17:40,  그대 이름은 장미(디지털),  7,000원","20:10,  말모이(디지털),  7,000원",,,,,중극장,2019-01-19,413
,,"11:00,  어른이 되면(디지털),  7,000원",,,"15:00,  단, 비 : 제20회 부산독립영화제 씨네보배 배급선정작 순회상영회(디지털),  7,000원",,"19:30,  오렌지필름 기획전-핑퐁(디지털),  7,000원",,,,인디플러스 영화의 전당,2019-01-19,36
,,"10:00,  레토(디지털),  5,000원",,,"12:30,  귀여운 여도적(디지털),  6,000원","15:00,  디어헌터(디지털),  6,000원","19:00,  허드(필름),  6,000원",,,,시네마테크관,2019-01-20,212
,,"10:20,  미래의 미라이(디지털),  6,000원","12:20,  그린 북(디지털),  7,000원","14:50,  로마(디지털),  7,000원","17:30,  그린 북(디지털),  7,000원","20:00,  로마(디지털),  7,000원",,,,,소극장,2019-01-20,212
,,"09:50,  내안의 그놈(디지털),  5,000원","12:20,  언더독(디지털),  7,000원","14:30,  그대 이름은 장미(디지털),  7,000원","17:00,  말모이(디지털),  7,000원","19:40,  그대 이름은 장미(디지털),  7,000원",,,,,중극장,2019-01-20,413
