상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2019-07-02,02관,"09:50,  존 윅 3: 파라벨룸(디지털),  6,000원","12:20,  비스트(디지털)","14:45,  기생충(디지털),  6,000원","17:10,  토이 스토리 4(디지털)","19:05,  알라딘(디지털),  6,000원","21:30,  알라딘(디지털)",,,,,,,39
2019-07-03,01관,"09:50,  스파이더맨: 파 프롬 홈(디지털),  6,000원","12:15,  알라딘(디지털),  6,000원","14:40,  스파이더맨: 파 프롬 홈(디지털),  6,000원","17:05,  토이 스토리 4(디지털더빙),  6,000원","19:00,  스파이더맨: 파 프롬 홈(3D 디지털),  8,000원","21:25,  스파이더맨: 파 프롬 홈(디지털),  6,000원",,,,,,,59
2019-07-03,02관,"09:40,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","11:55,  토이 스토리 4(디지털),  6,000원","13:50,  비스트(디지털),  6,000원","16:15,  존 윅 3: 파라벨룸(디지털),  6,000원","18:40,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","20:55,  존 윅 3: 파라벨룸(디지털),  6,000원",,,,,,,39
2019-07-04,01관,"09:50,  스파이더맨: 파 프롬 홈(디지털),  6,000원","12:15,  알라딘(디지털),  6,000원","14:40,  스파이더맨: 파 프롬 홈(디지털),  6,000원","17:05,  토이 스토리 4(디지털더빙)","19:00,  스파이더맨: 파 프롬 홈(3D 디지털),  8,000원","21:25,  스파이더맨: 파 프롬 홈(디지털),  6,000원",,,,,,,59
2019-07-04,02관,"09:40,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","11:55,  토이 스토리 4(디지털)",,,,"20:55,  존 윅 3: 파라벨룸(디지털),  6,000원","13:50,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","18:30,  비스트(디지털)","16:05,  존 윅 3: 파라벨룸(디지털),  6,000원",,,,39
2019-07-05,01관,"09:50,  스파이더맨: 파 프롬 홈(디지털)","12:15,  토이 스토리 4(디지털더빙),  6,000원","14:10,  알라딘(디지털),  6,000원","16:35,  존 윅 3: 파라벨룸(디지털),  6,000원","19:00,  스파이더맨: 파 프롬 홈(3D 디지털),  8,000원","21:25,  스파이더맨: 파 프롬 홈(디지털),  6,000원",,,,,,,59
2019-07-05,02관,"09:50,  롱 리브 더 킹: 목포 영웅(디지털)","12:05,  비스트(디지털)","14:30,  맨 인 블랙: 인터내셔널(디지털),  6,000원","16:40,  토이 스토리 4(디지털),  6,000원","18:35,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","20:50,  알라딘(디지털),  6,000원",,,,,,,39
2019-07-06,01관,"09:50,  스파이더맨: 파 프롬 홈(디지털),  6,000원","12:15,  토이 스토리 4(디지털더빙),  6,000원","14:10,  스파이더맨: 파 프롬 홈(3D 디지털),  8,000원","16:35,  알라딘(디지털),  6,000원","19:00,  스파이더맨: 파 프롬 홈(디지털),  6,000원","21:25,  스파이더맨: 파 프롬 홈(디지털),  6,000원",,,,,,,59
2019-07-06,02관,"09:50,  존 윅 3: 파라벨룸(디지털),  6,000원","12:15,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","14:30,  토이 스토리 4(디지털),  6,000원","16:25,  존 윅 3: 파라벨룸(디지털),  6,000원","18:50,  비스트(디지털),  6,000원","21:15,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원",,,,,,,39
2019-07-07,01관,"09:50,  스파이더맨: 파 프롬 홈(디지털),  6,000원","12:15,  토이 스토리 4(디지털더빙),  6,000원","14:10,  스파이더맨: 파 프롬 홈(3D 디지털),  8,000원","16:35,  알라딘(디지털),  6,000원","19:00,  스파이더맨: 파 프롬 홈(디지털),  6,000원","21:25,  스파이더맨: 파 프롬 홈(디지털),  6,000원",,,,,,,59
