1회,2회,3회,4회,5회,6회,7회,8회,상영관,상영일자,좌석수
"00:05,  어린 처제 3(디지털),  2,000원","17:45,  아픈 만큼 사랑한다(디지털)",,,,,,,01관,2019-05-09,59
"12:35,  더 캡틴(디지털)",,,,,,,,01관,2019-05-10,59
"10:25,  어벤져스: 엔드게임(디지털)","17:45,  아픈 만큼 사랑한다(디지털)",,,,,,,01관,2019-05-11,59
"10:00,  어벤져스: 엔드게임(디지털)","15:00,  아픈 만큼 사랑한다(디지털),  6,000원",,,,,,,01관,2019-05-12,59
"10:25,  어벤져스: 엔드게임(디지털)","17:40,  아픈 만큼 사랑한다(디지털)",,,,,,,01관,2019-05-13,59
"00:05,  엄마 애인 2 - 무삭제판(디지털),  2,000원","16:45,  어벤져스: 엔드게임(디지털)",,,,,,,01관,2019-05-14,59
"00:05,  어린고모(디지털),  2,000원","17:40,  아픈 만큼 사랑한다(디지털)","19:25,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,01관,2019-05-15,59
"00:05,  화끈한 룸메이트(디지털),  2,000원","16:30,  아픈 만큼 사랑한다(디지털),  10,000원","18:15,  아픈 만큼 사랑한다(디지털),  10,000원","20:00,  아픈 만큼 사랑한다(디지털)",,,,,01관,2019-05-16,59
"00:05,  보도드라이버: 떡마차(디지털),  2,000원","14:15,  아픈 만큼 사랑한다(디지털)","16:00,  아픈 만큼 사랑한다(디지털)","17:45,  아픈 만큼 사랑한다(디지털)","19:30,  아픈 만큼 사랑한다(디지털),  10,000원",,,,01관,2019-05-17,59
"10:20,  장난스런 키스(디지털),  2,000원","14:15,  아픈 만큼 사랑한다(디지털)","16:00,  아픈 만큼 사랑한다(디지털)","17:45,  아픈 만큼 사랑한다(디지털)","19:30,  아픈 만큼 사랑한다(디지털)",,,,01관,2019-05-18,59
"09:30,  장난스런 키스(디지털),  2,000원","14:15,  아픈 만큼 사랑한다(디지털)","16:00,  아픈 만큼 사랑한다(디지털)","17:45,  아픈 만큼 사랑한다(디지털)","19:30,  아픈 만큼 사랑한다(디지털)",,,,01관,2019-05-19,59
"12:30,  아픈 만큼 사랑한다(디지털),  5,000원","16:30,  아픈 만큼 사랑한다(디지털)","18:15,  아픈 만큼 사랑한다(디지털),  10,000원","20:00,  아픈 만큼 사랑한다(디지털)",,,,,01관,2019-05-20,59
"00:05,  어린 엄마 2 - 무삭제판(디지털),  2,000원","16:30,  아픈 만큼 사랑한다(디지털)","18:15,  아픈 만큼 사랑한다(디지털)","20:00,  아픈 만큼 사랑한다(디지털)",,,,,01관,2019-05-21,59
"12:30,  아픈 만큼 사랑한다(디지털)","14:15,  아픈 만큼 사랑한다(디지털)","16:00,  아픈 만큼 사랑한다(디지털)","17:45,  아픈 만큼 사랑한다(디지털)","19:30,  아픈 만큼 사랑한다(디지털),  10,000원",,,,01관,2019-05-22,59
"00:05,  음란 과외 2(디지털),  2,000원","16:30,  아픈 만큼 사랑한다(디지털)","18:15,  아픈 만큼 사랑한다(디지털)","20:00,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,01관,2019-05-23,59
"00:05,  잘주는 여비서들(디지털),  2,000원","14:15,  아픈 만큼 사랑한다(디지털)","16:00,  아픈 만큼 사랑한다(디지털),  5,000원","17:45,  아픈 만큼 사랑한다(디지털)","19:30,  아픈 만큼 사랑한다(디지털),  10,000원",,,,01관,2019-05-24,59
"12:40,  아픈 만큼 사랑한다(디지털)","14:25,  아픈 만큼 사랑한다(디지털)","16:10,  아픈 만큼 사랑한다(디지털),  10,000원","19:50,  아픈 만큼 사랑한다(디지털)",,,,,01관,2019-05-25,59
"12:30,  아픈 만큼 사랑한다(디지털),  10,000원","14:15,  아픈 만큼 사랑한다(디지털)","16:00,  아픈 만큼 사랑한다(디지털),  10,000원","17:45,  아픈 만큼 사랑한다(디지털),  10,000원","19:30,  아픈 만큼 사랑한다(디지털)",,,,01관,2019-05-26,59
"12:00,  아픈 만큼 사랑한다(디지털)",,,,,,,,01관,2019-05-27,59
"12:30,  울지마, 톤즈(디지털)","17:45,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-05-28,59
"12:30,  울지마, 톤즈(디지털)","17:45,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-05-29,59
"00:05,  금의위: 용태자의 난(디지털),  1,000원","18:10,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-05-30,59
"00:05,  접대 전문 여비서(디지털),  2,000원","18:10,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-05-31,59
"11:45,  기생충(디지털),  10,000원","19:25,  기생충(디지털),  10,000원",,,,,,,01관,2019-06-01,59
