상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,좌석수
2015-01-20,01관,"09:00,  오늘의 연애(디지털),  5,000원","11:15,  박물관이 살아있다 : 비밀의 무덤(디지털),  6,000원","13:10,  오늘의 연애(디지털),  8,000원","15:25,  오늘의 연애(디지털),  8,000원","17:40,  오늘의 연애(디지털),  8,000원","19:55,  오늘의 연애(디지털),  8,000원","22:10,  오늘의 연애(디지털),  8,000원",,,,,,,211
2015-01-20,02관,"09:00,  허삼관(디지털),  5,000원","11:30,  오늘의 연애(디지털),  8,000원","13:45,  국제시장(디지털),  7,000원","16:05,  허삼관(디지털)",,"20:45,  허삼관(디지털),  8,000원","23:05,  국제시장(디지털),  6,000원",,,,,,,117
2015-01-21,01관,"09:20,  강남 1970(디지털),  5,000원","11:50,  강남 1970(디지털)","14:20,  강남 1970(디지털),  8,000원","16:50,  존 윅(디지털)","18:45,  강남 1970(디지털),  8,000원","21:15,  강남 1970(디지털),  8,000원","23:45,  강남 1970(디지털),  6,000원",,,,,,,211
2015-01-21,02관,"08:50,  빅 히어로(디지털더빙)","10:55,  오늘의 연애(디지털),  5,000원","13:10,  빅 히어로(디지털더빙),  7,000원","15:15,  오늘의 연애(디지털),  8,000원","17:30,  국제시장(디지털),  7,000원","19:50,  오늘의 연애(디지털),  8,000원","22:05,  존 윅(디지털),  6,000원","24:00,  국제시장(디지털),  6,000원",,,,,,117
2015-01-22,01관,"09:20,  강남 1970(디지털),  5,000원","11:50,  강남 1970(디지털)","14:20,  강남 1970(디지털),  8,000원","16:50,  존 윅(디지털),  6,000원","18:45,  강남 1970(디지털),  8,000원","21:15,  강남 1970(디지털),  8,000원","23:45,  강남 1970(디지털),  6,000원",,,,,,,211
2015-01-22,02관,"08:50,  빅 히어로(디지털더빙)","10:55,  오늘의 연애(디지털),  8,000원","13:10,  빅 히어로(디지털더빙),  8,000원","15:15,  오늘의 연애(디지털),  8,000원","17:30,  국제시장(디지털),  8,000원","19:50,  오늘의 연애(디지털),  8,000원","22:05,  존 윅(디지털),  8,000원","24:00,  국제시장(디지털),  6,000원",,,,,,117
2015-01-23,01관,"09:20,  강남 1970(디지털),  5,000원","11:50,  강남 1970(디지털),  5,000원","14:20,  강남 1970(디지털),  8,000원","16:50,  존 윅(디지털)","18:45,  강남 1970(디지털),  8,000원","21:15,  강남 1970(디지털),  8,000원","23:45,  강남 1970(디지털),  6,000원",,,,,,,211
2015-01-23,02관,"08:50,  빅 히어로(디지털더빙)","10:55,  오늘의 연애(디지털),  5,000원","13:10,  빅 히어로(디지털더빙),  8,000원","15:15,  오늘의 연애(디지털),  8,000원","17:30,  국제시장(디지털),  8,000원","19:50,  오늘의 연애(디지털),  8,000원","22:05,  존 윅(디지털),  8,000원","24:00,  국제시장(디지털),  6,000원",,,,,,117
2015-01-24,01관,"09:10,  강남 1970(디지털),  5,000원","11:40,  국제시장(디지털),  8,000원","14:00,  강남 1970(디지털),  8,000원","16:30,  국제시장(디지털),  8,000원","18:50,  강남 1970(디지털),  8,000원","21:20,  강남 1970(디지털),  8,000원","23:50,  강남 1970(디지털),  6,000원",,,,,,,211
2015-01-24,02관,"08:50,  빅 히어로(디지털더빙),  5,000원","10:55,  오늘의 연애(디지털),  5,000원","13:10,  빅 히어로(디지털더빙),  8,000원","15:15,  오늘의 연애(디지털),  8,000원","17:30,  오늘의 연애(디지털),  8,000원","19:45,  오늘의 연애(디지털),  8,000원","22:00,  존 윅(디지털),  8,000원","23:55,  오늘의 연애(디지털),  6,000원",,,,,,117
2015-01-25,01관,"09:10,  강남 1970(디지털),  5,000원","11:40,  국제시장(디지털),  8,000원","14:00,  강남 1970(디지털),  8,000원","16:30,  국제시장(디지털),  8,000원","18:50,  강남 1970(디지털),  8,000원","21:20,  강남 1970(디지털),  8,000원","23:50,  강남 1970(디지털),  6,000원",,,,,,,211
2015-01-25,02관,"08:50,  빅 히어로(디지털더빙),  5,000원","10:55,  오늘의 연애(디지털),  5,000원","13:10,  빅 히어로(디지털더빙),  8,000원","15:15,  오늘의 연애(디지털),  8,000원","17:30,  오늘의 연애(디지털),  8,000원","19:45,  오늘의 연애(디지털),  8,000원","22:00,  존 윅(디지털),  8,000원","23:55,  오늘의 연애(디지털)",,,,,,117
2015-01-26,01관,"09:25,  강남 1970(디지털),  5,000원","11:55,  빅 히어로(디지털더빙),  8,000원","14:00,  강남 1970(디지털),  8,000원","16:30,  강남 1970(디지털),  8,000원","19:00,  오늘의 연애(디지털),  8,000원","21:15,  존 윅(디지털),  6,000원","23:10,  오늘의 연애(디지털),  6,000원",,,,,,,211
2015-01-26,02관,"09:05,  오늘의 연애(디지털),  5,000원","11:20,  오늘의 연애(디지털),  7,000원","13:35,  국제시장(디지털),  8,000원","15:55,  오늘의 연애(디지털)","18:10,  강남 1970(디지털),  8,000원","20:40,  국제시장(디지털),  6,000원","23:00,  강남 1970(디지털),  6,000원",,,,,,,117
2015-01-27,01관,"09:25,  강남 1970(디지털),  5,000원","11:55,  빅 히어로(디지털더빙),  8,000원","14:00,  강남 1970(디지털),  8,000원","16:30,  강남 1970(디지털),  8,000원","19:00,  오늘의 연애(디지털),  8,000원","21:15,  존 윅(디지털),  8,000원","23:10,  오늘의 연애(디지털)",,,,,,,211
2015-01-27,02관,"09:05,  오늘의 연애(디지털)","11:20,  오늘의 연애(디지털),  5,000원","13:35,  국제시장(디지털),  8,000원","15:55,  오늘의 연애(디지털),  8,000원","18:10,  강남 1970(디지털),  6,000원","20:40,  국제시장(디지털),  8,000원","23:00,  강남 1970(디지털),  6,000원",,,,,,,117
