상영일자,상영관,1회,2회,3회,좌석수
2017-04-18,01관,"19:40,  분노의 질주: 더 익스트림(디지털),  16,000원","22:10,  분노의 질주: 더 익스트림(디지털),  16,000원",,200
2017-04-18,02관,"20:00,  시간위의 집(디지털),  16,000원","22:00,  프리즌(디지털),  16,000원",,120
2017-04-19,01관,"19:40,  분노의 질주: 더 익스트림(디지털),  16,000원","22:10,  분노의 질주: 더 익스트림(디지털),  16,000원",,200
2017-04-19,02관,"20:00,  시간위의 집(디지털),  16,000원","22:00,  프리즌(디지털),  16,000원",,120
2017-04-20,01관,"19:40,  분노의 질주: 더 익스트림(디지털),  16,000원","22:10,  분노의 질주: 더 익스트림(디지털),  16,000원",,200
2017-04-20,02관,"19:50,  파워레인져스: 더 비기닝(디지털),  16,000원","22:10,  파워레인져스: 더 비기닝(디지털),  16,000원",,120
2017-04-21,01관,"19:40,  분노의 질주: 더 익스트림(디지털),  16,000원","22:10,  분노의 질주: 더 익스트림(디지털),  16,000원",,200
2017-04-21,02관,"19:50,  파워레인져스: 더 비기닝(디지털),  16,000원","22:10,  파워레인져스: 더 비기닝(디지털),  16,000원",,120
2017-04-22,01관,"19:40,  분노의 질주: 더 익스트림(디지털),  16,000원","22:10,  분노의 질주: 더 익스트림(디지털),  16,000원",,200
2017-04-22,02관,"19:50,  파워레인져스: 더 비기닝(디지털),  16,000원","22:10,  파워레인져스: 더 비기닝(디지털),  16,000원",,120
2017-04-23,01관,"19:40,  분노의 질주: 더 익스트림(디지털),  16,000원","22:10,  분노의 질주: 더 익스트림(디지털),  16,000원",,200
2017-04-23,02관,"19:50,  파워레인져스: 더 비기닝(디지털),  16,000원","22:10,  파워레인져스: 더 비기닝(디지털),  16,000원",,120
2017-04-24,01관,"19:40,  분노의 질주: 더 익스트림(디지털),  16,000원","22:10,  분노의 질주: 더 익스트림(디지털)",,200
2017-04-24,02관,"19:50,  파워레인져스: 더 비기닝(디지털),  16,000원","22:10,  파워레인져스: 더 비기닝(디지털),  16,000원",,120
2017-04-25,01관,"19:40,  분노의 질주: 더 익스트림(디지털),  16,000원","22:10,  분노의 질주: 더 익스트림(디지털),  16,000원",,200
2017-04-25,02관,"19:50,  파워레인져스: 더 비기닝(디지털),  13,000원","22:10,  파워레인져스: 더 비기닝(디지털),  16,000원",,120
2017-04-26,01관,"19:40,  특별시민(디지털),  16,000원","22:10,  특별시민(디지털),  16,000원","24:20,  파워레인져스: 더 비기닝(디지털),  16,000원",200
2017-04-26,02관,"19:30,  임금님의 사건수첩(디지털),  16,000원","21:40,  임금님의 사건수첩(디지털),  16,000원","23:45,  분노의 질주: 더 익스트림(디지털),  16,000원",120
2017-04-27,01관,"19:40,  특별시민(디지털),  16,000원","22:10,  특별시민(디지털),  16,000원",,200
2017-04-27,02관,"19:40,  임금님의 사건수첩(디지털),  16,000원","21:55,  임금님의 사건수첩(디지털),  16,000원","23:55,  분노의 질주: 더 익스트림(디지털),  16,000원",120
2017-04-28,01관,"19:40,  특별시민(디지털),  16,000원","22:10,  특별시민(디지털),  16,000원",,200
2017-04-28,02관,"19:40,  임금님의 사건수첩(디지털),  16,000원","21:55,  임금님의 사건수첩(디지털),  16,000원","23:55,  분노의 질주: 더 익스트림(디지털),  16,000원",120
2017-04-29,01관,"19:50,  특별시민(디지털),  16,000원","22:20,  특별시민(디지털),  16,000원",,200
2017-04-29,02관,"19:40,  임금님의 사건수첩(디지털),  16,000원","21:50,  임금님의 사건수첩(디지털),  16,000원","23:55,  분노의 질주: 더 익스트림(디지털),  16,000원",120
2017-04-30,01관,"19:50,  특별시민(디지털),  16,000원","22:20,  특별시민(디지털),  16,000원",,200
2017-04-30,02관,"19:40,  임금님의 사건수첩(디지털),  16,000원","21:50,  임금님의 사건수첩(디지털),  16,000원","23:55,  분노의 질주: 더 익스트림(디지털),  16,000원",120
2017-05-01,01관,"20:00,  특별시민(디지털),  16,000원","22:25,  특별시민(디지털),  16,000원",,200
2017-05-01,02관,"19:50,  임금님의 사건수첩(디지털),  16,000원","22:00,  임금님의 사건수첩(디지털),  16,000원","24:00,  분노의 질주: 더 익스트림(디지털),  16,000원",120
2017-05-02,01관,"20:00,  특별시민(디지털),  16,000원","22:25,  특별시민(디지털),  16,000원",,200
2017-05-02,02관,"19:50,  임금님의 사건수첩(디지털),  16,000원","22:00,  임금님의 사건수첩(디지털),  16,000원","24:00,  분노의 질주: 더 익스트림(디지털),  16,000원",120
2017-05-03,01관,"20:00,  보안관(디지털),  16,000원","22:20,  보안관(디지털),  16,000원",,200
2017-05-03,02관,"19:45,  임금님의 사건수첩(디지털),  16,000원","22:10,  특별시민(디지털),  16,000원",,120
2017-05-04,01관,"20:00,  보안관(디지털),  16,000원","22:20,  보안관(디지털),  16,000원",,200
