1회,2회,3회,4회,5회,6회,7회,8회,상영관,상영일자,좌석수
,,"15:25,  증인(디지털),  10,000원","18:05,  극한직업(디지털),  10,000원","20:30,  증인(디지털),  10,000원",,,,샤롯데,2019-02-19,30
,,,"17:00,  사바하(디지털),  10,000원","19:30,  증인(디지털),  10,000원",,,,샤롯데,2019-02-20,30
,"12:45,  증인(디지털),  9,000원",,"17:50,  증인(디지털),  9,000원","20:25,  사바하(디지털),  10,000원",,,,샤롯데,2019-02-21,30
,"12:45,  증인(디지털),  11,000원","15:20,  사바하(디지털),  12,000원","17:50,  증인(디지털),  10,000원","20:25,  사바하(디지털),  12,000원","22:55,  증인(디지털),  12,000원",,,샤롯데,2019-02-22,30
,,,"15:00,  기묘한 가족(디지털),  12,000원","17:25,  사바하(디지털),  12,000원","19:55,  극한직업(디지털),  12,000원","22:15,  사바하(디지털),  12,000원",,샤롯데,2019-02-23,30
"10:25,  사바하(디지털),  11,000원","12:55,  극한직업(디지털),  11,000원","15:15,  사바하(디지털),  12,000원","17:45,  극한직업(디지털),  12,000원","20:05,  사바하(디지털),  12,000원","22:35,  사바하(디지털),  11,000원",,,샤롯데,2019-02-24,30
,,"15:25,  사바하(디지털),  10,000원","17:55,  극한직업(디지털),  10,000원","20:15,  사바하(디지털),  9,000원",,,,샤롯데,2019-02-25,30
"10:30,  극한직업(디지털),  9,000원","12:50,  증인(디지털),  9,000원","15:25,  사바하(디지털),  10,000원","17:55,  극한직업(디지털),  10,000원","20:15,  증인(디지털),  10,000원","22:50,  사바하(디지털),  10,000원",,,샤롯데,2019-02-26,30
,"12:45,  증인(디지털),  9,000원",,,"20:05,  증인(디지털),  10,000원","22:40,  사바하(디지털),  10,000원",,,샤롯데,2019-02-27,30
,,"15:20,  사바하(디지털),  10,000원","17:50,  증인(디지털),  10,000원","20:25,  항거:유관순 이야기(디지털),  10,000원","22:40,  사바하(디지털),  10,000원",,,샤롯데,2019-02-28,30
"10:00,  증인(디지털),  8,000원","12:40,  항거:유관순 이야기(디지털),  11,000원","14:55,  사바하(디지털),  12,000원","17:25,  증인(디지털),  12,000원","20:05,  항거:유관순 이야기(디지털),  12,000원","22:20,  사바하(디지털),  12,000원",,,샤롯데,2019-03-01,30
"09:20,  항거:유관순 이야기(디지털),  8,000원","11:35,  증인(디지털),  9,000원","14:20,  사바하(디지털),  12,000원","16:55,  항거:유관순 이야기(디지털),  10,000원","19:15,  증인(디지털),  12,000원","21:55,  사바하(디지털),  12,000원",,,샤롯데,2019-03-02,30
"11:05,  항거:유관순 이야기(디지털),  11,000원","13:20,  증인(디지털),  12,000원",,"20:30,  사바하(디지털),  12,000원",,,,,샤롯데,2019-03-03,30
,,"15:20,  사바하(디지털),  10,000원",,,"22:40,  사바하(디지털),  10,000원",,,샤롯데,2019-03-04,30
"11:25,  캡틴 마블(디지털),  9,000원",,"18:30,  캡틴 마블(디지털),  10,000원","21:05,  캡틴 마블(디지털),  10,000원","23:40,  캡틴 마블(디지털),  10,000원",,,,샤롯데,2019-03-06,30
,,"16:25,  캡틴 마블(디지털),  10,000원","19:00,  캡틴 마블(디지털),  10,000원","21:35,  캡틴 마블(디지털),  10,000원",,,,샤롯데,2019-03-07,30
,"13:50,  캡틴 마블(디지털),  12,000원","16:25,  캡틴 마블(디지털),  12,000원","19:00,  캡틴 마블(디지털),  12,000원","21:35,  캡틴 마블(디지털),  12,000원","24:10,  캡틴 마블(디지털),  10,000원",,,샤롯데,2019-03-08,30
"10:25,  캡틴 마블(디지털),  9,000원","13:00,  캡틴 마블(디지털),  12,000원","15:35,  캡틴 마블(디지털),  11,000원","18:10,  캡틴 마블(디지털),  12,000원","20:45,  캡틴 마블(디지털),  12,000원","23:20,  캡틴 마블(디지털),  12,000원",,,샤롯데,2019-03-09,30
"10:50,  캡틴 마블(디지털),  11,000원","13:25,  캡틴 마블(디지털),  12,000원",,"20:30,  캡틴 마블(디지털),  12,000원","23:05,  캡틴 마블(디지털),  12,000원",,,,샤롯데,2019-03-10,30
,"13:50,  캡틴 마블(디지털),  10,000원","16:25,  캡틴 마블(디지털),  10,000원","19:00,  캡틴 마블(디지털),  8,000원","21:35,  캡틴 마블(디지털),  10,000원",,,,샤롯데,2019-03-11,30
"10:20,  캡틴 마블(디지털),  9,000원",,"15:30,  캡틴 마블(디지털),  8,000원","18:05,  캡틴 마블(디지털),  10,000원","20:40,  캡틴 마블(디지털),  9,000원",,,,샤롯데,2019-03-12,30
,,"18:30,  캡틴 마블(디지털),  10,000원",,,,,,샤롯데,2019-03-13,30
,,"14:45,  캡틴 마블(디지털),  10,000원","17:20,  이스케이프 룸(디지털),  10,000원","19:30,  캡틴 마블(디지털),  10,000원","22:05,  캡틴 마블(디지털),  10,000원",,,샤롯데,2019-03-14,30
,"12:10,  캡틴 마블(디지털),  11,000원","14:45,  캡틴 마블(디지털),  12,000원",,"19:30,  캡틴 마블(디지털),  10,000원","22:05,  캡틴 마블(디지털),  12,000원",,,샤롯데,2019-03-15,30
,"12:35,  캡틴 마블(디지털),  11,000원","15:10,  캡틴 마블(디지털),  12,000원","17:45,  캡틴 마블(디지털),  12,000원","20:20,  캡틴 마블(디지털),  12,000원","22:55,  캡틴 마블(디지털),  12,000원",,,샤롯데,2019-03-16,30
"10:50,  캡틴 마블(디지털),  11,000원","13:25,  캡틴 마블(디지털),  12,000원",,"20:30,  캡틴 마블(디지털),  12,000원",,,,,샤롯데,2019-03-17,30
,,"14:45,  캡틴 마블(디지털),  8,000원",,,,,,샤롯데,2019-03-18,30
,,"14:45,  캡틴 마블(디지털),  10,000원",,"19:30,  캡틴 마블(디지털),  10,000원",,,,샤롯데,2019-03-19,30
,,"18:30,  돈(디지털),  10,000원","20:55,  돈(디지털),  10,000원",,,,,샤롯데,2019-03-20,30
"11:10,  돈(디지털),  9,000원","13:40,  돈(디지털),  10,000원","16:10,  돈(디지털),  10,000원","18:30,  돈(디지털),  10,000원","20:50,  돈(디지털),  10,000원","23:10,  우상(디지털),  10,000원",,,샤롯데,2019-03-21,30
"10:50,  악질경찰(디지털),  11,000원","13:25,  캡틴 마블(디지털),  12,000원","16:00,  돈(디지털),  12,000원","18:30,  돈(디지털),  12,000원","21:00,  돈(디지털),  12,000원","23:25,  캡틴 마블(디지털),  12,000원",,,샤롯데,2019-03-22,30
"10:30,  악질경찰(디지털),  11,000원","13:05,  돈(디지털),  12,000원","15:30,  캡틴 마블(디지털),  12,000원","18:05,  돈(디지털),  12,000원","20:30,  캡틴 마블(디지털),  12,000원","23:05,  돈(디지털),  12,000원",,,샤롯데,2019-03-23,30
"11:05,  돈(디지털),  11,000원","13:25,  캡틴 마블(디지털),  12,000원",,"20:30,  돈(디지털),  12,000원","22:50,  돈(디지털),  12,000원",,,,샤롯데,2019-03-24,30
,"13:25,  돈(디지털),  8,000원",,"18:30,  돈(디지털),  10,000원",,,,,샤롯데,2019-03-25,30
,"13:25,  돈(디지털),  10,000원",,"18:30,  돈(디지털),  10,000원",,,,,샤롯데,2019-03-26,30
"11:35,  어스(디지털),  9,000원",,,"20:55,  어스(디지털),  10,000원","23:20,  돈(디지털),  10,000원",,,,샤롯데,2019-03-27,30
,"12:55,  돈(디지털),  9,000원",,"17:40,  돈(디지털),  10,000원","20:00,  어스(디지털),  10,000원","22:25,  어스(디지털),  10,000원",,,샤롯데,2019-03-28,30
"10:30,  어스(디지털),  11,000원","12:55,  돈(디지털),  11,000원","15:20,  어스(디지털),  12,000원","17:45,  돈(디지털),  12,000원","20:10,  어스(디지털),  12,000원","22:35,  어스(디지털),  12,000원",,,샤롯데,2019-03-29,30
,"12:55,  돈(디지털),  11,000원","15:20,  어스(디지털),  12,000원","17:45,  돈(디지털),  12,000원","20:10,  어스(디지털),  12,000원","22:35,  돈(디지털),  12,000원",,,샤롯데,2019-03-30,30
"11:10,  돈(디지털),  11,000원","13:35,  어스(디지털),  12,000원",,"20:30,  돈(디지털),  12,000원","22:55,  돈(디지털),  12,000원",,,,샤롯데,2019-03-31,30
"10:30,  돈(디지털),  9,000원","12:55,  어스(디지털),  7,000원","15:20,  돈(디지털),  10,000원",,,,,,샤롯데,2019-04-01,30
"10:30,  어스(디지털),  9,000원",,,,,,,,샤롯데,2019-04-02,30
"11:20,  샤잠!(디지털),  9,000원",,,"19:40,  샤잠!(디지털),  10,000원","22:20,  샤잠!(디지털),  10,000원",,,,샤롯데,2019-04-03,30
,,,"18:15,  샤잠!(디지털),  10,000원",,,,,샤롯데,2019-04-04,30
,"11:55,  샤잠!(디지털),  11,000원",,,"20:00,  돈(디지털),  10,000원",,,,샤롯데,2019-04-05,30
"10:00,  샤잠!(디지털),  8,000원","12:40,  샤잠!(디지털),  9,000원","15:20,  샤잠!(디지털),  12,000원","18:00,  샤잠!(디지털),  12,000원","20:40,  샤잠!(디지털),  12,000원",,,,샤롯데,2019-04-06,30
"10:40,  샤잠!(디지털),  11,000원","13:20,  샤잠!(디지털),  12,000원",,"19:00,  돈(디지털),  12,000원","21:25,  돈(디지털),  12,000원",,,,샤롯데,2019-04-07,30
"10:40,  돈(디지털),  9,000원",,,,,,,,샤롯데,2019-04-08,30
"10:40,  돈(디지털),  7,000원",,,,"20:25,  샤잠!(디지털),  8,000원",,,,샤롯데,2019-04-09,30
,,"17:00,  돈(디지털),  8,000원",,"21:45,  돈(디지털),  10,000원",,,,샤롯데,2019-04-10,30
,,,"17:25,  미성년(디지털),  12,000원",,"22:10,  헬보이(디지털),  12,000원",,,샤롯데,2019-04-12,30
