상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2018-12-04,01관,"11:00,  국가부도의 날(디지털),  7,700원","13:20,  국가부도의 날(디지털),  11,000원","18:00,  국가부도의 날(디지털),  7,700원",,,,78
2018-12-04,02관,"20:00,  국가부도의 날(디지털),  7,700원",,,,,,78
2018-12-04,03관,"14:20,  별나라 몰리 몬스터(디지털),  7,700원",,,,,,78
2018-12-05,01관,,,"18:00,  성난황소(디지털),  7,700원",,,,78
2018-12-05,02관,,"18:00,  모털 엔진(디지털),  7,700원",,,,,78
2018-12-05,03관,"09:30,  런닝맨 : 풀룰루의 역습(디지털),  7,700원","14:40,  런닝맨 : 풀룰루의 역습(디지털),  7,700원",,,,,78
2018-12-06,01관,"11:10,  국가부도의 날(디지털),  7,700원","13:30,  성난황소(디지털),  7,700원","18:00,  성난황소(디지털),  7,700원",,,,78
2018-12-06,02관,"11:20,  도어락(디지털),  7,700원","20:20,  도어락(디지털),  7,700원",,,,,78
2018-12-06,03관,"09:40,  별나라 몰리 몬스터(디지털),  7,700원",,,,,,78
2018-12-07,01관,"11:10,  국가부도의 날(디지털),  8,400원","15:50,  국가부도의 날(디지털),  8,400원","20:20,  국가부도의 날(디지털),  8,400원",,,,78
2018-12-07,02관,"13:20,  모털 엔진(디지털),  8,400원","18:00,  모털 엔진(디지털),  8,400원",,,,,78
2018-12-07,03관,"09:30,  런닝맨 : 풀룰루의 역습(디지털),  8,400원",,,,,,78
2018-12-08,01관,"11:10,  국가부도의 날(디지털),  8,400원","13:30,  성난황소(디지털),  12,000원","18:00,  성난황소(디지털),  8,400원",,,,78
2018-12-08,02관,"11:20,  도어락(디지털),  8,400원","18:00,  모털 엔진(디지털),  8,400원",,,,,78
2018-12-08,03관,"11:10,  런닝맨 : 풀룰루의 역습(디지털),  8,400원","14:00,  런닝맨 : 풀룰루의 역습(디지털),  8,400원","16:50,  런닝맨 : 풀룰루의 역습(디지털),  8,400원",,,,78
2018-12-09,01관,"11:10,  국가부도의 날(디지털),  8,400원","13:30,  성난황소(디지털),  8,400원","18:00,  성난황소(디지털),  8,400원",,,,78
2018-12-09,02관,"11:20,  도어락(디지털),  8,400원","20:20,  도어락(디지털),  8,400원",,,,,78
2018-12-09,03관,"11:10,  런닝맨 : 풀룰루의 역습(디지털),  8,400원","14:00,  런닝맨 : 풀룰루의 역습(디지털),  8,400원","16:50,  런닝맨 : 풀룰루의 역습(디지털),  8,400원",,,,78
