상영일자,상영관,1회,2회,좌석수
2018-02-23,01관,"00:30,  1급기밀(디지털),  20,000원",,90
2018-02-26,01관,"00:30,  1급기밀(디지털),  20,000원",,90
2018-02-27,01관,"00:50,  밀애 : 친구엄마(디지털),  20,000원",,90
2018-02-28,01관,"17:00,  치하야후루 상편(디지털),  20,000원",,90
2018-03-02,01관,"00:30,  이모의 유혹(디지털),  20,000원",,90
2018-03-06,01관,"00:50,  라라(디지털),  20,000원",,90
2018-03-07,01관,"00:50,  어린 누나(디지털),  20,000원",,90
2018-03-08,01관,"00:50,  사촌 누나(디지털),  20,000원",,90
2018-03-15,01관,"00:50,  내 친구 엄마(디지털),  20,000원",,90
2018-03-16,01관,"02:30,  스나이퍼(디지털),  20,000원",,90
2018-03-17,01관,"02:30,  스나이퍼(디지털),  20,000원",,90
2018-03-18,01관,"02:30,  스나이퍼(디지털),  20,000원",,90
2018-03-19,01관,"02:30,  스나이퍼(디지털),  20,000원",,90
2018-03-20,01관,"02:30,  스나이퍼(디지털),  20,000원",,90
2018-03-21,01관,"02:30,  스나이퍼(디지털),  20,000원",,90
2018-03-22,01관,"01:00,  스나이퍼(디지털),  20,000원",,90
2018-03-23,01관,"01:00,  스나이퍼(디지털),  20,000원",,90
2018-03-24,01관,"01:00,  스나이퍼(디지털),  20,000원",,90
2018-03-25,01관,"01:00,  스나이퍼(디지털),  20,000원",,90
2018-03-26,01관,"01:00,  스나이퍼(디지털),  20,000원",,90
2018-03-27,01관,"01:00,  스나이퍼(디지털),  20,000원",,90
2018-03-28,01관,"01:00,  스나이퍼(디지털),  20,000원",,90
2018-03-29,01관,"01:00,  쾌락의 밀실 무삭제(디지털),  20,000원",,90
2018-03-30,01관,"01:00,  프렌치 커넥션: 마약수사(디지털),  20,000원",,90
2018-03-31,01관,"01:00,  아내와 제자들: 네토라레(디지털),  20,000원",,90
2018-04-01,01관,"01:00,  큐티 허니: 티어스(디지털),  20,000원",,90
2018-04-02,01관,"18:00,  지구: 놀라운 하루(디지털),  20,000원",,90
2018-04-03,01관,"18:00,  지구: 놀라운 하루(디지털),  20,000원",,90
2018-04-05,01관,"01:00,  새오빠2(디지털),  20,000원",,90
2018-04-09,01관,"19:30,  바람 바람 바람(디지털),  20,000원",,90
2018-04-10,01관,"01:00,  매니저(디지털),  20,000원",,90
2018-04-11,01관,"19:30,  바람 바람 바람(디지털)",,90
2018-04-19,01관,"01:00,  여동생 커플 훔쳐보기(디지털),  20,000원",,90
2018-04-24,01관,"01:00,  바람난 여자들2(디지털),  20,000원",,90
2018-04-26,01관,"01:00,  나쁜 엄마(디지털),  20,000원",,90
2018-04-27,01관,"19:40,  어벤져스: 인피니티 워(디지털)",,90
2018-04-28,01관,"19:40,  어벤져스: 인피니티 워(디지털)",,90
2018-04-29,01관,"19:40,  어벤져스: 인피니티 워(디지털),  20,000원",,90
2018-05-03,01관,"01:00,  착한 엄마친구 2(디지털),  20,000원",,90
