companyCd,companyNm,companyPartNm,movieCd
20100851,(주)화인컷,해외세일즈사,20151782
20110933,위더스필름(주),제작사,20144442
20100520,롯데쇼핑㈜롯데엔터테인먼트,배급사,20144442
20100520,롯데쇼핑㈜롯데엔터테인먼트,제공,20144442
20100520,롯데쇼핑㈜롯데엔터테인먼트,해외세일즈사,20144442
20000384,(주)삼지애니메이션,제작사,20156441
20101087,에이원엔터테인먼트,배급사,20156441
20000384,(주)삼지애니메이션,제공,20156441
20141337,(주)초이락컨텐츠팩토리,제공,20156441
20101784,한국교육방송공사 EBS,제공,20156441
20154448,(주)26컴퍼니,제작사,20156321
20114894,(주)대명문화공장,배급사,20156321
20101104,(주)나이너스엔터테인먼트,배급사,20156321
20114894,(주)대명문화공장,제공,20156321
20122482,캐피탈원(주),공동제공,20156321
20139196,TCO(주)더콘텐츠온,공동제공,20156321
20100904,(주)엠라인디스트리뷰션,해외세일즈사,20156321
20157248,(주)하이하버픽쳐스,제작사,20149264
20141469,메가박스중앙(주)플러스엠,배급사,20149264
20111582,(주)엣나인필름,배급사,20149264
20141528,산수벤처스,제공,20149264
20111582,(주)엣나인필름,공동제공,20149264
20157248,(주)하이하버픽쳐스,공동제공,20149264
20100781,(주)티피에스컴퍼니,제작사,20157587
20100410,오퍼스픽쳐스(유),배급사,20157587
20100410,오퍼스픽쳐스(유),제공,20157587
20100906,유나이티드픽처스(주),해외세일즈사,20157587
20100572,한국영화아카데미,제작사,20156281
20102327,CGV아트하우스,배급사,20156281
20100572,한국영화아카데미,제공,20156281
20100109,씨제이엔터테인먼트,해외세일즈사,20156281
20101117,(주)모쿠슈라,제작사,20147803
20100036,㈜인디스토리,배급사,20147803
20101117,(주)모쿠슈라,제공,20147803
20100036,㈜인디스토리,해외세일즈사,20147803
20141614,(주)효인엔터테인먼트,제작사,20141598
20040183,베데코리아 ,제작사,20141598
20153568,(주)스톰픽쳐스코리아,배급사,20141598
20141614,(주)효인엔터테인먼트,제공,20141598
20040183,베데코리아 ,제공,20141598
20153568,(주)스톰픽쳐스코리아,공동제공,20141598
20123221,골든타이드픽처스(주),제작사,20157986
20153568,(주)스톰픽쳐스코리아,배급사,20157986
20153568,(주)스톰픽쳐스코리아,제공,20157986
20100938,(주)전망좋은 영화사,제작사,20143502
20139196,TCO(주)더콘텐츠온,제작사,20143502
20139196,TCO(주)더콘텐츠온,배급사,20143502
20100938,(주)전망좋은 영화사,배급사,20143502
20122482,캐피탈원(주),제공,20143502
20139196,TCO(주)더콘텐츠온,공동제공,20143502
20111541,(주)아이엠비씨,공동제공,20143502
20100143,필름라인,제작사,20151582
20142369,(유)조이앤시네마,배급사,20151582
20122497,(유)조이앤컨텐츠그룹,제공,20151582
20138995,(주)에이블엔터테인먼트,공동제공,20151582
20122956,(주)미디어캐슬,제작사,20140241
20139617,(주)리틀빅픽쳐스,배급사,20140241
20122956,(주)미디어캐슬,제공,20140241
20157297,(유)내부자들 문화전문회사,제작사,20150025
20100103,(주)쇼박스,배급사,20150025
20100103,(주)쇼박스,제공,20150025
20137115,(주)인터파크,공동제공,20150025
20100103,(주)쇼박스,해외세일즈사,20150025
20130061,준필름,제작사,20159161
