주연배우,배우성별,배우필모,필모갯수
이솜,여자,"삼진그룹 영어토익반|나의 특별한 형제|소공녀|대립군|그래, 가족|범죄의 여왕|좋아해줘|마담 뺑덕|산타바바라|하이힐|하이힐(디렉터스컷)|사이코메트리|뒷담화: 감독이 미쳤어요|푸른소금|세상에서 가장 아름다운 이별|맛있는 인생|더 엑스",17
김민희,여자,강변호텔|풀잎들|그 후|클레어의 카메라|밤의 해변에서 혼자|아가씨|아가씨(확장판)|지금은맞고그때는틀리다|우는 남자|연애의 온도|뒷담화: 감독이 미쳤어요|화차|모비딕|여배우들|뜨거운 것이 좋아|서프라이즈|순애보,17
전여빈,여자,낙원의 밤|인랑|천문: 하늘에 묻는다|해치지않아|죄 많은 소녀|메리 크리스마스 미스터 모|여배우는 오늘도|여자들|우리 손자 베스트|밀정|간신|바라던 바다|동승(同乘)|예술의 목적|언니가 죽었다|망|최고의 감독,17
양정화,여자,극장판 헬로카봇 : 달나라를 구해줘!|극장판 헬로카봇: 옴파로스 섬의 비밀|극장판 공룡메카드: 타이니소어의 섬|극장판 헬로카봇 : 백악기 시대|극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계|극장판 짱구는 못말려 : 습격!! 외계인 덩덩이|부릉! 부릉! 브루미즈: 스피더의 모험 일기|극장판 안녕 자두야|최강전사 미니특공대: 영웅의 탄생|생각보다 맑은|쥬로링 동물탐정 극장판|고스트 메신저 극장판|헬로 카봇|극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!|극장판 토리코 : 미식신의 스페셜메뉴|아치와 씨팍|안녕 자두야 스페셜 : 인어공주,17
박보영,여자,너의 결혼식|열정같은소리하고있네|돌연변이|경성학교: 사라진 소녀들|피끓는 청춘|눈의 여왕|늑대소년-확장판|늑대소년|미확인 동영상 : 절대클릭금지|리오|정글피쉬|과속스캔들|초감각 커플|울학교 이티|릴레이|이퀄|시선 1318,17
조수향,여자,배심원들|정직한 후보|소녀의 세계|소공녀|커피 느와르: 블랙 브라운|궁합|눈길|사돈의 팔촌|검은 사제들|그들이 죽었다|들꽃|여자 없는 세상|방과후 옥상|울게 하소서|집으로|11月,16
이정현,여자,리벤져|리틀 포레스트|암수살인|석조저택 살인사건|인천상륙작전|특종: 량첸살인기|마돈나|아일랜드 - 시간을 훔치는 섬|성실한 나라의 앨리스|좋은 친구들|소원|공모자들|오늘|기생령|김복남 살인사건의 전말|시,16
한효주,여자,"인랑|골든슬럼버|해어화|뷰티 인사이드|서툴지만, 사랑|쎄시봉|감시자들|반창꼬|광해, 왕이 된 남자|오직 그대만|천국의 우편배달부|멋진 하루|달려라 자전거|아주 특별한 손님|투사부일체",15
임수정,여자,"당신의 부탁|더 테이블|시간이탈자|은밀한 유혹|내 아내의 모든 것|사랑한다, 사랑하지 않는다|김종욱 찾기|전우치|행복|싸이보그지만 괜찮아|각설탕|새드무비|...ing|장화, 홍련|피아노 치는 대통령",15
김예은,여자,항거:유관순 이야기|인랑|환절기|어둔 밤|호랑이보다 무서운 겨울손님|소공녀|필름시대사랑|암살|오늘영화|가시|이무기여도 괜찮아|스테이블|그 새끼를 죽였어야 했는데|너와 극장에서|11월 수요단편극장 [반짝반짝 빛나는: 김예은 배우 특별전],15
강예원,여자,"나쁜 녀석들: 더 무비|왓칭|비정규직 특수요원|트릭|날, 보러와요|연애의 맛|내 연애의 기억|조선미녀삼총사|엘 꼰도르 빠사|점쟁이들|퀵|헬로우 고스트|하모니|1번가의 기적",14
이지현,여자,극장판 헬로카봇 : 달나라를 구해줘!|극장판 샤이닝스타:새로운 루나퀸의 탄생!|극장판 도라에몽: 진구의 달 탐사기|극장판 헬로카봇: 옴파로스 섬의 비밀|극장판 도라에몽: 진구의 보물섬|극장판 헬로카봇 : 백악기 시대|해적왕 작스톰|마징가 Z: 인피니티|터닝메카드W: 반다인의 비밀 특별판|딥|극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계|리틀 폭스|플래그 더 문|헬로 카봇,14
정가영,여자,하트|밤치기|비치온더비치|조인성을 좋아하세요|극장에서 한 생각.|간밤에 꾼 꿈|처음|내가 어때섷ㅎㅎ|너와 극장에서|여성감독 단편선_인디포럼 월례비행 12월|[인디포럼2016] 신작14 어느 날 내게 다가온 너|2015 GSFF 단편 경쟁 4|11월 단편 상상극장-제9회 대단한 단편영화제 수상작 모음,13
김옥빈,여자,악녀|1급기밀|소수의견|열한시|뒷담화: 감독이 미쳤어요|시체가 돌아왔다|고지전|여배우들|박쥐|1724 기방난동사건|질주|다세포소녀|여고괴담 4 : 목소리,13
김고은,여자,"유열의 음악앨범|영웅|뺑반|변산|계춘할망|성난 변호사|협녀, 칼의 기억|차이나타운|몬스터|네버다이 버터플라이|은교|영아|현대 심리학의 이해",13
정연주,여자,유정 - 스며들다|늦여름|뷰티풀 뱀파이어|탐정: 리턴즈|아이 캔 스피크|아기와 나|앨리스: 원더랜드에서 온 소년|오늘영화|두근두근 왓플|백역사|리턴매치|손님,12
전지현,여자,암살|베를린|도둑들|도둑들 영화를 만들다|블러드|슈퍼맨이었던 사나이|데이지|내 여자친구를 소개합니다|4인용 식탁|엽기적인 그녀|시월애|화이트 발렌타인,12
고아성,여자,삼진그룹 영어토익반|항거:유관순 이야기|오빠생각|지금은맞고그때는틀리다|뷰티 인사이드|오피스|우아한 거짓말|설국열차|듀엣|결혼식 후에|여행자|괴물,12
