filmoNames,movieNm,peopleCd,peopleNm,repRoleNm
블랙머니|퍼펙트맨|광대들: 풍문조작단|클로즈 투 유(가제)|완벽한 타인|공작|독전: 익스텐디드 컷|독전|대장 김창수|해빙|마차 타고 고래고래|보안관|사냥|아가씨|아가씨(확장판)|암살|장수상회|파울볼|허삼관|우리는 형제입니다|명량|군도: 민란의 시대|끝까지 간다|화이: 괴물을 삼킨 아이|파파로티|분노의 윤리학|용의자X|범죄와의 전쟁: 나쁜놈들 전성시대|퍼펙트 게임|고지전|글러브|맨발의 꿈|베스트셀러|부산|국가대표|쌍화점|달콤한 거짓말|스페어|GP 506|마이 뉴 파트너|마지막 선물|폭력써클|비열한 거리|강적|야수|우리 형|말죽거리 잔혹사,암살,10067353,조진웅,배우
"블랙머니|게이트-완결판|물괴|게이트|신과함께-죄와 벌|강철비|군함도|중2라도 괜찮아|머니백|리얼|불한당: 나쁜 놈들의 세상|재심|판도라|대배우|내부자들: 디 오리지널|조선마술사|내부자들|서부전선|치외법권|뷰티 인사이드|협녀, 칼의 기억|암살|은밀한 유혹|허삼관|제보자|타짜-신의 손|해적: 바다로 간 산적|소수의견|군도: 민란의 시대|무명인|관능의 법칙|또 하나의 약속|더 테러 라이브|신세계|베를린|26년|남영동1985|회사원|후궁 : 제왕의 첩|봄, 눈|백프로|최종병기 활|죽이러 갑니다|미워도 다시 한번 2002|몽중인|기막힌 사내들|죽이는 이야기|할렐루야|베이비 세일|3인조|미스터 콘돔|쁘아종|체인지|귀천도|코르셋|런어웨이|개같은 날의 오후|엄마에게 애인이 생겼어요|테러리스트|손톱|어린 연인|게임의 법칙|세상 밖으로|비 오는 날 수채화2|그 여자, 그 남자|사랑의 종합병원|공룡선생|하얀전쟁|섬강에서 하늘까지|백치애인|아침이 오면 그대이름으로|가을여행|사의 찬미|하얀 비요일|부활의 노래|난 깜짝놀랄 짓을 할거야|있잖아요 비밀이예요|비 오는 날 수채화|구로 아리랑|마스터 클래스의 산책",암살,10054755,이경영,배우
"블랙머니|판소리 복서|애월|나랏말싸미|소공녀|꾼|용순|암살|사도|맨홀|명량|마이 라띠마|도둑들|화차|푸른소금|체포왕|초능력자|작은 연못|나쁜 놈이 더 잘 잔다|흑심모녀|가면|수|그해 여름|비단구두|야수|러브토크|남극일기|아홉살 인생|목포는 항구다|...ing|YMCA야구단|나쁜 남자|박하사탕|더 바디|블리치|도구|블랙컷|소설, 영화와 만나다|인류멸망 보고서",암살,10072168,최덕문,배우
"특송|어쩌다, 결혼|창궐|도청(가제)|골든슬럼버|강철비|돌멩이|더 킹|당신자신과 당신의 것|춘몽|부산행|탐욕의 별|내부자들: 디 오리지널|극적인 하룻밤|내부자들|검은 사제들|특종: 량첸살인기|암살|오피스|스물|살인의뢰|빅매치|소수의견|자유의 언덕|찌라시: 위험한 소문|용의자|관상|런닝맨|누구의 딸도 아닌 해원|26년|남영동1985|건축학개론|북촌방향|주노명 베이커리|억수탕(3pm Paradise)|바리케이드|돼지가 우물에 빠진 날|진짜 사나이|무소의 뿔처럼 혼자서 가라|엄마에게 애인이 생겼어요|네온 속으로 노을지다|불편한 동행|겨울의 피아니스트",암살,10005383,김의성,배우
악질경찰|안시성|더러운 돈에 손대지 마라|돌아온다|원라인|사냥|극적인 하룻밤|암살|악인은 살아 있다|상의원|우는 남자|몬스터|붉은 가족|연애의 온도|범죄와의 전쟁: 나쁜놈들 전성시대|아이들...|황해|인플루언스|평행이론|지구에서 사는 법|마린보이|약탈자들|똥파리|싸이보그지만 괜찮아|오로라 공주|색즉시공|빨간 모자|그냥 가|내안의 영화,암살,10028660,박병은,배우
배심원들|싱크홀(가제)|말모이|천문: 하늘에 묻는다|마약왕|니 부모 얼굴이 보고 싶다|리얼|검사외전|내부자들: 디 오리지널|대호|내부자들|암살|악인은 살아 있다|헬머니|신의 한 수|방황하는 칼날|남자가 사랑할 때|더 테러 라이브|고스톱 살인|신세계|남쪽으로 튀어|박수건달|범죄와의 전쟁: 나쁜놈들 전성시대|베스트셀러|용서는 없다|인사동 스캔들|1724 기방난동사건|와니와 준하|미지왕,암살,20175721,김홍파,배우
챔피언|1987|침묵|남한산성|박열|하루|더 킹|두 남자|밀정|탐정 홍길동: 사라진 마을|럭키|해어화|오빠생각|조선마술사|더 폰|서부전선|암살|손님|카트|타짜-신의 손|5백만불의 사나이,암살,20179134,강용빈,그립
암살,암살,20224728,홍성지,배우
"인랑|골든슬럼버|미옥|브이아이피|원라인|프리즌|조작된 도시|목숨 건 연애|아수라|고산자, 대동여지도|밀정|덕혜옹주|부산행|아가씨|비밀은 없다|검사외전|잡아야 산다|대호|암살|순수의 시대|베테랑|기술자들|신의 한 수|황제를 위하여|남자가 사랑할 때",암살,20194890,지동주,액션/스턴트팀
암살,암살,20225505,장현석,배우
