순위,영화명,개봉일,상영횟수,상영점유율,매출액,누적매출액,관객수,누적관객수
13,달기,,5,0.074%,1078000,1078000,539,539
13,부산행,2016-07-20,5,0.074%,257000,93173650048,36,11564856
16,애인,1982-07-24,4,0.059%,300000,1414000,150,707
17,왕초와 용가리,2016-09-08,3,0.044%,28000,5618200,4,906
17,태양은늙지않는다,,3,0.044%,226000,1423000,113,709
17,암굴왕,,3,0.044%,122000,644000,61,322
17,그림자들의 섬,2016-08-25,3,0.044%,54000,23176300,7,3388
17,그랜드파더,2016-08-31,3,0.044%,30000,232986600,4,31515
22,범죄의 여왕,2016-08-25,2,0.03%,142200,341999400,17,43554
22,나는 증인이다,2016-09-14,2,0.03%,414000,4793000,102,922
22,자백,2016-10-13,2,0.03%,2793000,76037000,399,10824
22,인천상륙작전,2016-07-27,2,0.03%,51000,55088425803,9,7046954
22,죽여주는 여자,2016-10-06,2,0.03%,2060000,10564000,230,1242
22,서울역,2016-08-17,2,0.03%,20000,1162381562,4,147017
28,가현이들,,1,0.015%,30000,92500,6,19
28,7년-그들이 없는 언론,2017-01-12,1,0.015%,35000,90000,9,21
28,그 날,,1,0.015%,15000,225000,4,52
28,올 리브 올리브,2017-07-13,1,0.015%,20000,115000,7,35
28,안녕 히어로,2017-09-07,1,0.015%,57500,257500,12,59
28,이태원,,1,0.015%,37500,145000,12,34
28,바람커피로드,,1,0.015%,75000,387500,17,81
28,공동정범,2018-01-25,1,0.015%,10000,220000,2,45
28,고려 아리랑: 천산의 디바,2017-05-25,1,0.015%,5000,362500,2,74
28,핵마피아,,1,0.015%,2500,322500,1,76
28,마담 B,2018-11-15,1,0.015%,17500,99000,4,22
28,사람이 산다,,1,0.015%,4000,1369000,1,237
28,안녕?! 오케스트라,2013-11-28,1,0.015%,4784000,97099500,598,15370
28,"인디애니페스트2016-파노라마1 - 우울 한 스푼, 달콤살벌 두 스푼",,1,0.015%,315000,1149000,53,117
28,브링 홈: 아버지의 땅,2016-09-01,1,0.015%,6000,82069200,1,10557
28,영도,2015-09-10,1,0.015%,35000,24339000,5,3094
28,우리들,2016-06-16,1,0.015%,45000,344644960,5,46045
28,그럼에도 불구하고,2017-08-24,1,0.015%,0,197500,0,40
28,국가대표 2,2016-08-10,1,0.015%,840000,5479747042,120,709480
28,2016 대단한단편영화제-감독 특별전: 윤가은,,1,0.015%,62400,873400,8,110
1,아수라,2016-09-28,5731,76.526%,2907847000,3129216000,475482,500328
2,밀정,2016-09-07,1480,19.762%,247495500,57922891393,42739,7077367
3,대결,2016-09-22,59,0.788%,2319500,230556500,313,29948
4,"고산자, 대동여지도",2016-09-07,50,0.668%,10354500,7744339058,1706,965448
5,나홀로 휴가,2016-09-22,47,0.628%,4330000,55431100,578,7276
6,최악의 하루,2016-08-25,35,0.467%,1367500,629473990,194,79468
7,달빛궁궐,2016-09-07,15,0.2%,1698000,1118577700,334,148325
8,한강블루스,2016-09-22,10,0.134%,578000,13397100,90,1627
9,덕혜옹주,2016-08-03,7,0.093%,2001000,44377400109,290,5595716
10,브링 홈: 아버지의 땅,2016-09-01,5,0.067%,89000,82158200,19,10576
10,그물,2016-10-06,5,0.067%,9592000,9592000,1199,1199
10,달기,,5,0.067%,631000,1709000,313,852
13,아가씨(확장판),,4,0.053%,502600,83910600,77,11112
13,그랜드파더,2016-08-31,4,0.053%,50000,233036600,11,31526
13,자백,2016-10-13,4,0.053%,5509000,81546000,1001,11825
