순위,영화명,개봉일,스크린수,스크린점유율,매출액,누적매출액,관객수,누적관객수
15,파티51,2014-12-11,2,0.1%,88000,14899800,12,2003
15,거인,2014-11-13,2,0.1%,79000,175996400,12,23251
15,"제자, 옥한흠",2014-10-30,2,0.1%,154000,359102200,20,48878
15,다이빙벨,2014-10-23,2,0.1%,211000,341331500,27,49263
19,"1789, 바스티유의 연인들",2014-09-18,1,0.0%,178000,68408500,9,4030
19,자유의 언덕,2014-09-04,1,0.0%,80000,310400827,10,38258
19,카트,2014-11-13,1,0.0%,144000,5924743433,18,813952
19,맨발의 청춘,,1,0.0%,828000,12951000,414,6894
19,도희야,2014-05-22,1,0.0%,16000,831171100,2,106540
19,순천,2014-09-04,1,0.0%,10000,22812200,5,3600
19,두 번째 엄마,2014-12-31,1,0.0%,14000,996000,2,237
19,생각보다 맑은,2015-01-22,1,0.0%,1134000,1134000,126,126
19,2015 우수 단편영화 상영 02,,1,0.0%,0,0,0,0
19,앙상블,2014-12-18,1,0.0%,30000,6862500,5,887
19,떠날 때는 말없이,,1,0.0%,310000,6827000,155,3411
19,카토 프로젝트,2014-04-17,1,0.0%,2000,1910000,1,631
19,미라클 여행기,2015-01-15,1,0.0%,576000,6323000,144,1199
19,경주,2014-06-12,1,0.0%,31000,473381500,4,63493
19,춘하추동 로맨스,2014-12-04,1,0.0%,21000,8098800,3,1197
19,한공주,2014-04-17,1,0.0%,53000,1786861300,7,225252
1,국제시장,2014-12-17,850,38.5%,1148365300,77922623261,155662,10001948
2,"님아, 그 강을 건너지 마오",2014-11-27,451,20.4%,161577000,36515792079,22483,4687325
3,기술자들,2014-12-24,343,15.5%,132791100,19707963683,17368,2540957
4,워킹걸,2015-01-07,300,13.6%,93500700,1075977479,12152,132958
5,개를 훔치는 완벽한 방법,2014-12-31,87,3.9%,37942600,1675745065,5212,220468
6,상의원,2014-12-24,47,2.1%,9254400,6197759964,1246,789556
7,설해,2015-01-08,34,1.5%,1162500,27236500,157,3630
8,뽀로로 극장판 눈요정 마을 대모험,,21,1.0%,1617000,1268779700,371,253878
9,더 테너 리리코 스핀토,2014-12-31,14,0.6%,3320000,372180941,439,48139
10,쿼바디스,2014-12-10,11,0.5%,1228500,140412900,178,18617
