순위,영화명,영화코드,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,F-rated,감독,대표감독,감독코드,감독성별,감독_대표역할,감독필모,작가,대표작가,대표작가(필명),작가코드,작가성별,작가_대표역할,작가필모,배우,주연배우,배역명,배우코드,배우성별,배우_대표역할,배우필모
225.0,내 친구의 아내,20162901,2015.12.3,"4,493,000",0.0%,"4,493,000",622,622,20,45,한국,한국,(주)씨네토리,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",0,탁승오,탁승오,20223306.0,남자,감독,내 친구의 엄마 (무삭제)|내 친구의 엄마|동거의 목적|내 친구의 아내 (무삭제)|내 친구의 아내,,,,,,,,"정태민,탁민",정태민,,20160204.0,남자,배우,내 친구의 아내 (무삭제)|내 친구의 아내|짐승
242.0,감금의 시간,20158904,2015.12.3,"3,310,000",0.0%,"3,310,000",555,555,20,49,한국,한국,마법사필름,마법사필름,청소년관람불가,"스릴러,드라마",1,김대성,,,,,,,,,,,,,"전유진,허동원,김윤재,이용주",전유진,현아,20223387.0,여자,배우,
80.0,나쁜 나라,20156047,2015.12.3,"111,080,400",0.0%,"111,080,400","16,368","16,368",23,651,한국,한국,4.16 세월호 참사 시민기록위원회,"배급위원회,(주)시네마달",12세이상관람가,다큐멘터리,2,"김진열,이수정,정일건",김진열,10005927.0,여자,감독,"나쁜 나라|진옥 언니 학교 가다|잊혀진 여전사|땅, 밥 만들기|남매와 진달래 |독립영화인 국가보안법 철폐 프로젝트",신범숙,신범숙,신범숙,20229759.0,여자,시나리오(각본),나쁜 나라,"최경덕,박지민",최경덕,2-4 최성호 학생 아버지,20228869.0,남자,배우,소공녀|나쁜 나라
45.0,극적인 하룻밤,20157501,2015.12.3,"2,610,567,429",0.3%,"2,610,567,429","320,884","320,884",434,"18,332",한국,한국,"(주)연우무대,(주)인사이드픽쳐스",CGV아트하우스,청소년관람불가,"멜로/로맨스,코미디",0,하기호,하기호,10086669.0,남자,감독,"극적인 하룻밤|라듸오 데이즈|내 사랑 십자 드라이버, 사이코드라마(단편)",하기호,하기호,하기호,10086669.0,남자,감독,"극적인 하룻밤|라듸오 데이즈|내 사랑 십자 드라이버, 사이코드라마(단편)","윤계상,한예리,박효주,조복래,박병은,정수영,조영균,한정국,김수정,한지은,이지훈,정수연,김재화,박현지,진선규,김의성,하정완",윤계상,,10054204.0,남자,배우,유체이탈자(가제)|말모이|골든슬럼버|범죄도시|죽여주는 여자|극적인 하룻밤|소수의견|레드카펫|배우수업|풍산개|조금만 더 가까이|집행자|비스티 보이즈|6년째 연애중|발레 교습소|사랑의 가위바위보
137.0,불안한 외출,20141703,2015.12.10,"12,103,600",0.0%,"12,103,600","1,844","1,844",7,84,한국,한국,다큐창작소,"홀리가든,불안한외출배급위원회",15세이상관람가,다큐멘터리,1,김철민,김철민,20173380.0,남자,감독,불안한 외출|걸음의 이유,"류성, 김철민",류성,류성,20229392.0,여자,시나리오(각본),불안한 외출,"윤기진, 황선, 윤민, 윤겨레",윤기진,,0.0,남자,배우,
156.0,파일 : 4022일의 사육,20149299,2015.12.10,"9,090,000",0.0%,"9,090,000","1,414","1,414",20,93,한국,한국,활동사진,골든타이드픽처스(주),청소년관람불가,"미스터리,스릴러",0,박용집,박용집,10028999.0,남자,감독,두번할까요|파일 : 4022일의 사육|황구|웨딩드레스|용의주도 미스신|아라한 장풍대작전|블루|2424,"박기형, 배영란",박기형,박기형,10028514.0,남자,감독,잠식|파일 : 4022일의 사육|폭력써클|아카시아(Acacia)|비밀|여고괴담|과대망상,"이종혁,강별,하연주,김형범,류현,이광모,조선묵,박효준,최우리",이종혁,,10057411.0,남자,배우,두번할까요|출국|여중생A|엄마의 공책|파일 : 4022일의 사육|돼지 같은 여자|가디언즈|푸른소금|평행이론|미쓰 홍당무|라듸오 데이즈|용의주도 미스신|바람피기 좋은 날|죽음의 숲-어느날 갑자기 네번째 이야기|비열한 거리|미스터 소크라테스|신석기 블루스|말죽거리 잔혹사
133.0,그들이 죽었다,20141583,2015.12.10,"14,578,800",0.0%,"15,364,600","2,018","2,151",17,212,한국,한국,사십이,㈜인디스토리,15세이상관람가,"판타지,드라마",0,백재호,백재호,20177441.0,남자,감독,시민 노무현|대관람차|꿈의 제인|마차 타고 고래고래|마이 페어 웨딩|그들이 죽었다|사랑에도 저작권이 있나요?|플랑크 상수|산타바바라|그 강아지 그 고양이|고양이 소녀|별일아니다|캠퍼스 S 커플|캣데이 애프터눈,백재호,백재호,백재호,20177441.0,남자,감독,시민 노무현|대관람차|꿈의 제인|마차 타고 고래고래|마이 페어 웨딩|그들이 죽었다|사랑에도 저작권이 있나요?|플랑크 상수|산타바바라|그 강아지 그 고양이|고양이 소녀|별일아니다|캠퍼스 S 커플|캣데이 애프터눈,"김상석,이화,백재호,권성모,김태희,조수향",김상석,,10004413.0,남자,배우,마차 타고 고래고래|그들이 죽었다|플랑크 상수|산타바바라|별일아니다|아스라이
94.0,앨리스: 원더랜드에서 온 소년,20141002,2015.12.10,"61,214,100",0.0%,"61,214,100","8,341","8,341",59,632,한국,한국,"(주)유비콘텐츠,주식회사 유비컬쳐",(주)영화사 안다미로,15세이상관람가,"판타지,공포(호러),멜로/로맨스",1,허은희,허은희,20111756.0,여자,감독,앨리스: 원더랜드에서 온 소년|심장이 뛰네,"지재형, 허은희",지재형,지재형,20230790.0,남자,시나리오(각본),앨리스: 원더랜드에서 온 소년,"홍종현,정소민,정연주,이승연,서갑숙,이고은,장서원,김준형,최윤,이혜인,원예준,박현숙",홍종현,환,20112211.0,남자,배우,"다시, 봄|앨리스: 원더랜드에서 온 소년|위험한 상견례 2|여자만화 구두|정글피쉬2|바다 쪽으로, 한 뼘 더|쌍화점|헤이, 톰 |귀 鬼(내곁에 있어줘 편)"
87.0,타투,20147130,2015.12.10,"99,255,100",0.0%,"99,255,100","12,102","12,102",133,"1,223",한국,한국,"(주)다세포클럽,(주)코리아스토리",와이드 릴리즈(주),청소년관람불가,스릴러,0,이서,이서,10055931.0,남자,감독,춘몽|그랜드파더|타투|사람을 찾습니다|말아톤|아카시아(Acacia)|클래식|일단뛰어|화이팅 패밀리 '해마 가족',이서,이서,이서,10055931.0,남자,감독,춘몽|그랜드파더|타투|사람을 찾습니다|말아톤|아카시아(Acacia)|클래식|일단뛰어|화이팅 패밀리 '해마 가족',"송일국,윤주희,권현상,서영,조혜인,조훈휘,최상민,허윤원,김수환,김은희,김지은,박범준,안지호,이은주,한제인,한기중,박지수",송일국,한지순,10037179.0,남자,배우,플라이 하이|타투|현기증|작업의 정석|레드 아이
69.0,타이밍,20141598,2015.12.10,"288,311,800",0.0%,"288,311,800","38,232","38,232",196,"2,737",한국,한국,"(주)효인엔터테인먼트,베데코리아",(주)스톰픽쳐스코리아,15세이상관람가,애니메이션,1,"민경조,박대열",박대열,10028546.0,남자,감독,타이밍|애니 프란체스카,"이언희, 이권",이언희,이언희,10056602.0,여자,감독,탐정: 리턴즈|미씽: 사라진 여자|타이밍|어깨 너머의 연인|해피 에로 크리스마스|...ing|고양이를 부탁해,"엄상현,박지윤,성완경",엄상현,,10047326.0,남자,배우,"극장판 헬로카봇 : 달나라를 구해줘!|프린스 코기|극장판 헬로카봇: 옴파로스 섬의 비밀|극장판 공룡메카드: 타이니소어의 섬|런닝맨 : 풀룰루의 역습|극장판 뽀잉: 슈퍼 변신의 비밀|극장판 헬로카봇 : 백악기 시대|해적왕 작스톰|미니특공대X|뽀로로 극장판 공룡섬 대모험|킹 오브 프리즘 - 프라이드 더 히어로|바다 탐험대 옥토넛 시즌4: 더 파이널|파워배틀 와치카: 와치가면의 역습|트롤|바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동|눈의 여왕 3: 눈과 불의 마법대결|부릉! 부릉! 브루미즈: 스피더의 모험 일기|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|극장판 유희왕 더 다크 사이드 오브 디멘션즈|바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전|최강전사 미니특공대: 영웅의 탄생|바다 탐험대 옥토넛 시즌4: 빙하탐험선S|타이밍|뽀로로 극장판 컴퓨터 왕국 대모험|고녀석 맛나겠다2 : 함께라서 행복해|빌리와 용감한 녀석들 3|최강전사 미니특공대 : 새로운 악당의 습격|생각보다 맑은|헬로 카봇|바다 탐험대 옥토넛 스페셜|꼬마영웅 경찰차 프로디2|피쉬와 칩스 극장판|꼬마마녀 요요와 네네|우주로봇 씨어|쿵후팬더: 영웅의 탄생|부도리의 꿈 |부도리의 꿈(감독판)|레전드 오브 래빗|프렌즈: 몬스터섬의비밀 |마루 밑 아리에티|꼬마영웅 경찰차 프로디|가필드 펫 포스 3D|엘라의 모험 2: 백설공주 길들이기|춤추는 꿈틀이 밴드|제불찰씨 이야기|신암행어사|메밀꽃, 운수 좋은 날, 그리고 봄봄"
40.0,뽀로로 극장판 컴퓨터 왕국 대모험,20156807,2015.12.10,"2,902,090,600",0.3%,"2,902,090,600","391,760","391,760",544,"10,893",한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,1,박영균,박영균,10028920.0,남자,감독,뽀로로 극장판 컴퓨터 왕국 대모험|뽀로로 극장판 슈퍼썰매 대모험|Painter,"박영균, 김은숙, 이인균",박영균,박영균,10028920.0,남자,감독,뽀로로 극장판 컴퓨터 왕국 대모험|뽀로로 극장판 슈퍼썰매 대모험|Painter,"이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현,홍범기",이선,뽀로로,10055966.0,여자,배우,뽀로로 극장판 보물섬 대모험|뽀로로 극장판 공룡섬 대모험|모험왕 블링키|짐작보다 따뜻하게|뽀로로 극장판 컴퓨터 왕국 대모험|극장판 아이엠스타 : 꿈의 오디션!|꼬마영웅 경찰차 프로디2|뽀로로 극장판 슈퍼썰매 대모험|모모와 다락방의 수상한 요괴들|꼬마영웅 경찰차 프로디|뽀로로의 대모험|뽀로로 극장판 눈요정 마을 대모험
19.0,대호,20145171,2015.12.16,"12,104,808,332",1.4%,"12,104,808,332","1,584,168","1,584,168",892,"39,599",한국,한국,(주)사나이픽처스,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,사극,0,박훈정,박훈정,10029578.0,남자,감독,낙원의 밤|마녀|브이아이피|대호|신세계|혈투|부당거래|악마를 보았다,박훈정,박훈정,박훈정,10029578.0,남자,감독,낙원의 밤|마녀|브이아이피|대호|신세계|혈투|부당거래|악마를 보았다,"최민식,정만식,김상호,성유빈,오스기 렌,정석원,김홍파,라미란,이나라,현승민,우정국,박인수,김진혁,양준호,양호성,윤성민,이상민,장한별,주창욱,남연우,유재명,박지환",최민식,,10072251.0,남자,배우,"천문: 하늘에 묻는다|침묵|특별시민|대호|루시|명량|신세계|범죄와의 전쟁: 나쁜놈들 전성시대|마당을 나온 암탉|악마를 보았다|악마를 보았다 감독판|히말라야, 바람이 머무는 곳|친절한 금자씨|주먹이 운다(Crying Fist)|꽃피는 봄이 오면|올드보이|오원 장승업 취화선|취화선|파이란|해피엔드|쉬리|조용한 가족|넘버 3|사라는 유죄|우리사랑 이대로|우리들의 일그러진 영웅|추락하는 것은 날개가 있다|구로 아리랑|인형의 꿈|겨울의 길목"
8.0,히말라야,20136068,2015.12.16,"39,469,775,448",4.5%,"39,469,775,448","5,129,409","5,129,409","1,095","81,042",한국,한국,(주)제이케이필름,씨제이이앤엠(주),12세이상관람가,드라마,0,이석훈,이석훈,10055965.0,남자,감독,히말라야|해적: 바다로 간 산적|뜨거운 안녕|댄싱퀸|두 얼굴의 여친|방과후 옥상|이조여인 숙명사 청상계|순간접착제|포 더 피스 오브 올 맨카인드,"수오, 민지은",수오,수오,20185670.0,남자,시나리오(각본),히말라야|스파이,"황정민,정우,조성하,김인권,라미란,김원해,이해영,전배수,정유미,유선,한명환,김재준,박민우,배상민,이춘우,이혜진,최종률,조달환,김태강,권오상,손영순",황정민,,10090290.0,남자,배우,"인질(가제)|다만 악에서 구하소서|공작|군함도|군함도 감독판|아수라|곡성|검사외전|히말라야|베테랑|국제시장|남자가 사랑할 때|전설의 주먹|신세계|댄싱퀸|모비딕|평양성|부당거래|끝과 시작|구르믈 버서난 달처럼|그림자 살인|슈퍼맨이었던 사나이|행복|검은 집|사생결단|내 생애 가장 아름다운 일주일|너는 내 운명|천군|달콤한 인생|여자, 정혜|마지막 늑대|바람난 가족|이공|로드무비|YMCA야구단|와이키키 브라더스|쉬리|그녀|오감도"
243.0,색끈한 퓨전사극 심청야사,20159686,2015.12.17,"3,542,000",0.0%,"3,542,000",551,551,20,85,한국,한국,고구마콘텐츠허브(주),고구마콘텐츠허브(주),청소년관람불가,사극,0,강명진,강명진,20125414.0,남자,감독,아내의 동영상|색끈한 퓨전사극 심청야사|힙스터: 안개의 덫|공사중|소원택시|신암행어사,"임완기, 이귀운",임완기,임완기,20218074.0,남자,시나리오(각본),색끈한 퓨전사극 심청야사|꽃보다 처녀귀신,"박성현,이상무",박성현,퀵,20205826.0,남자,배우,색끈한 퓨전사극 심청야사|명기
155.0,인 허 플레이스,20152368,2015.12.17,"10,672,400",0.0%,"10,672,400","1,434","1,434",15,183,한국,"한국,캐나다",Timelapse pictures,홀리가든,청소년관람불가,드라마,1,알버트 신,알버트 신,20212728.0,남자,감독,인 허 플레이스,알버트 신,알버트 신,알버트 신,20212728.0,남자,감독,인 허 플레이스,"윤다경,길해연,안지혜",윤다경,,10054226.0,여자,배우,나를 잊지 말아요|인 허 플레이스|그놈이다|특종: 량첸살인기|다우더|인간중독|레드카펫|터치|콩가네|사물의 비밀|링크|초능력자|꿈은 이루어진다|야윈가슴|백야행|유감스러운 도시|D-day-어느날 갑자기 세번째 이야기|연애|범죄의 재구성|밀애|구두의 주인을 찾습니다|진통제|액체들
112.0,"나의 아들, 나의 어머니",20133531,2015.12.17,"25,789,800",0.0%,"26,094,800","3,543","3,604",24,277,한국,한국,"창작집단917,민프로덕션",(주)인디플러그,전체관람가,다큐멘터리,0,안재민,안재민,20138626.0,남자,촬영,"덫|왕초와 용가리|아빠가 돌아왔다|나의 아들, 나의 어머니|욕망의 독: 중독|시바, 인생을 던져|춤추는 숲|오래된 인력거",,,,,,,,"권기선, 이준교",권기선,,0.0,,배우,
51.0,조선마술사,20144442,2015.12.30,"1,506,449,794",0.2%,"1,506,449,794","224,657","224,657",596,"4,922",한국,한국,위더스필름(주),롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,0,김대승,김대승,10003845.0,남자,감독,조선마술사|후궁 : 제왕의 첩|연인|가을로|혈의 누|하류인생|번지점프를 하다|춘향뎐(春香傳)|창(노는계집 창)|서편제|백문백답,"김대승, 조정화",김대승,김대승,10003845.0,남자,감독,조선마술사|후궁 : 제왕의 첩|연인|가을로|혈의 누|하류인생|번지점프를 하다|춘향뎐(春香傳)|창(노는계집 창)|서편제|백문백답,"유승호,고아라,곽도원,조윤희,이경영,박철민,손병호,조달환,서범식,김지민,이재웅,최광락,장유상,임종윤,박충선,김태준,이가경,염혜란,이수인",유승호,,10053782.0,남자,배우,봉이 김선달|조선마술사|블라인드|마당을 나온 암탉|아스트로 보이-아톰의 귀환|부산|4교시 추리영역|서울이 보이냐|마음이...|돈 텔 파파|집으로...|기억의 조각들
53.0,내부자들: 디 오리지널,20150025,2015.12.31,"1,236,787,715",0.1%,"1,236,787,715","160,148","160,148",595,"1,540",한국,한국,(유)내부자들 문화전문회사,(주)쇼박스,청소년관람불가,"범죄,드라마",1,우민호,우민호,20111283.0,남자,감독,남산의 부장들|마약왕|내부자들: 디 오리지널|내부자들|간첩|파괴된 사나이|누가 예수를 죽였는가?,,,,,,,,"신지수,이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,박진우,남일우,김의성,손종학,조덕제,유재명,권태원,강신철",신지수,팬트하우스녀1,20231126.0,여자,배우,내부자들: 디 오리지널|내부자들|베테랑
162.0,하숙집 2,20164697,2016.1.7,"7,053,000",0.0%,"7,053,000","1,266","1,266",20,46,한국,한국,영화사 인연,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",0,정태령,정태령,20226055.0,남자,감독,외박: 친구의 여자|개인교수: 심화학습 (무삭제)|입영전야|개인교수: 심화학습|하숙집 2 (무삭제)|하숙집 2,,,,,,,,"류현아,정넘쳐,이소희",정넘쳐,,20208866.0,남자,배우,부부의 스폰서|애마부인 2016|하숙집 2 (무삭제)|하숙집 2|살인재능
70.0,잡아야 산다,20152370,2016.1.7,"410,361,400",0.0%,"415,009,400","54,450","55,011",219,"3,187",한국,한국,더퀸디앤엠 주식회사,오퍼스픽쳐스(유),15세이상관람가,"코미디,액션",0,오인천,오인천,20188088.0,남자,감독,아나운서 살인사건|13일의 금요일 : 음모론의 시작|디엠지:리로드|데스트랩|폴리스 스파이|야경 : 죽음의 택시|월하|잡아야 산다|십이야: 깊고 붉은 열두 개의 밤 Chapter1|소녀괴담|모멘트|한중10년의 동행: 한예종 영상원/북경영화학교 합작영화 10주년 작품전,,,,,,,,"김승우,김정태,한상혁,신강우,김민규,문용석,오만석,최호중,이해준,조창근,윤다영,서범식,이한위,안길강,장현기,장훈남,박혜미,정구영,서경배,정인혜,손지훈,정혜연,조권수,강현우,윤진영,이동진,이민경,이상헌,이선미,이승연,김욱,김영",김승우,김승주,10004823.0,남자,배우,"두 번째 스물|잡아야 산다|배꼽|나는 아빠다|포화속으로|아이리스 더 무비|컬링 러브|연애, 그 참을 수 없는 가벼움|해변의 여인|천군|불어라 봄바람|역전에 산다|라이터를 켜라|예스터데이|비밀|신장개업|남자의 향기|꽃을 든 남자|깊은 슬픔|고스트 맘마|너희가 재즈를 믿느냐|코르셋|결혼만들기|장군의 아들 3|장군의 아들"
38.0,나를 잊지 말아요,20142641,2016.1.7,"3,398,915,000",0.4%,"3,409,535,000","425,799","427,197",559,"19,138",한국,한국,(주)더블유 팩토리,씨제이이앤엠(주),15세이상관람가,멜로/로맨스,2,이윤정,이윤정,20065265.0,여자,감독,"나를 잊지 말아요|고스톱 살인|좋은 놈, 나쁜 놈, 이상한 놈 |달콤, 살벌한 연인|나를 잊지 말아요",이윤정,이윤정,이윤정,20065265.0,여자,감독,"나를 잊지 말아요|고스톱 살인|좋은 놈, 나쁜 놈, 이상한 놈 |달콤, 살벌한 연인|나를 잊지 말아요","정우성,김하늘,배성우,장영남,조이진,임주은,허진,이준혁,온주완,권해효,김봉근,윤다경,임태호,박지원,이상훈,이승원,이우주,이은이,최준환",정우성,연석원,10062025.0,남자,배우,"지푸라기라도 잡고 싶은 짐승들|정상회담|증인|인랑|그날, 바다|강철비|더 킹|아수라|나를 잊지 말아요|마담 뺑덕|신의 한 수|세가지 색 - 삼생|감시자들|아테나: 전쟁의 여신|검우강호|호우시절|좋은 놈, 나쁜 놈, 이상한 놈 |좋은 놈, 나쁜 놈, 이상한 놈(칸버전)|중천|데이지|새드무비|내 머리 속의 지우개|똥개|무사|러브(LOVE)|유령|태양은 없다|모텔 선인장|비트|상해탄 |본 투 킬|구미호|경계에서|선물|방아쇠"
284.0,"금지된 섹스, 달콤한 복수",20150982,2016.1.14,"2,374,000",0.0%,"2,374,000",427,427,21,49,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,"멜로/로맨스,스릴러",1,이숭환,이숭환,10056203.0,남자,감독,"한 남자|애연|침입자|어린 아내|잠 못 이루는 섹스|금지된 섹스, 달콤한 복수 무삭제 감독판|야한밤 심야극장|금지된 섹스, 달콤한 복수|모텔|위험한 섹스|애인|조선안방 스캔들-칠거지악2|조선안방 스캔들-칠거지악|정사: 위험한 성적 유희 무삭제판|정사: 위험한 성적유희|환상|열애|열애(무삭제감독판)|환상-금지된 정사버전|두 아내|두 아내 무삭제 감독판|배꼽과 무릎사이 (무삭제 감독판)|스무살의 이중생활|맛있는 섹스, 맛있는 상상|금지된 섹스 불륜2|전망 좋은 방-밀애|맛있는불륜-택시|여인의 숨결|48시간의 일탈|금지된 섹스, 불륜2 감독판|플라스틱 섹스|몽정애 |마지막 밀애|아찔한 동거|거칠게 다루지마! 다쳐!|몽정애-감독판",,,,,,,,"송은채,유장영",송은채,,20190162.0,여자,배우,"금지된 섹스, 달콤한 복수 무삭제 감독판|금지된 섹스, 달콤한 복수|어우동: 주인 없는 꽃 무삭제판|어우동: 주인 없는 꽃|레쓰링|도화지|몽정기2"
179.0,거미의 땅,20120422,2016.1.14,"6,489,100",0.0%,"7,667,100","1,025","1,291",6,113,한국,한국,(주)시네마달,(주)시네마달,15세이상관람가,다큐멘터리,2,"박경태,김동령",박경태,10028435.0,남자,감독,임신한 나무와 도깨비|거미의 땅|사당동 더하기 22|나와 부엉이,"김동령, 박경태",김동령,김동령,10003940.0,여자,감독,임신한 나무와 도깨비|거미의 땅|아메리칸 앨리|로스트&파운드,-,박묘연,,0.0,여자,배우,
111.0,프랑스 영화처럼,20158824,2016.1.14,"37,786,300",0.0%,"37,786,300","4,885","4,885",30,714,한국,한국,(주) 루스이소니도스,(주)콘텐츠판다,15세이상관람가,드라마,1,신연식,신연식,10040499.0,남자,감독,"로마서 8:37|동주|프랑스 영화처럼|조류인간|개를 훔치는 완벽한 방법|배우는 배우다|러시안 소설|페어러브|약탈자들|좋은 배우|과대망상자들|내 노래를 들어줘|수주 인 파리|플레이 노 모어|원스 인 어 라이프타임|신연식이 수주와 파리로 간 까닭은? - 신연식 단편선|3월 단편 상상극장-여자, 남자",신연식,신연식,신연식,10040499.0,남자,감독,"로마서 8:37|동주|프랑스 영화처럼|조류인간|개를 훔치는 완벽한 방법|배우는 배우다|러시안 소설|페어러브|약탈자들|좋은 배우|과대망상자들|내 노래를 들어줘|수주 인 파리|플레이 노 모어|원스 인 어 라이프타임|신연식이 수주와 파리로 간 까닭은? - 신연식 단편선|3월 단편 상상극장-여자, 남자","이영란,전지윤,다솜,정준원,소이,스티븐 연,신민철,봉만대,후지이 미나,정한비,신지수,이유미",이영란,엄마,10056645.0,여자,배우,
31.0,그날의 분위기,20068576,2016.1.14,"5,149,571,612",0.6%,"5,149,571,612","653,287","653,287",592,"27,186",한국,한국,영화사 문(주),(주)쇼박스,15세이상관람가,멜로/로맨스,2,조규장,조규장,10065265.0,남자,감독,목격자|그날의 분위기|낙타는 말했다|봉수,민소연,민소연,민소연,20148725.0,여자,각색,그날의 분위기|나의 사랑 나의 신부|건축학개론|그해 여름,"김정희,문채원,유연석,조재윤,김슬기,이해영,이연두,박민우,이창해,인교진,임영,박태영,정경옥,박호진,정라엘,서정희,오형근,이범희,이은정,이정은",김정희,,20242106.0,여자,배우,군산: 거위를 노래하다|속닥속닥|덕혜옹주|부산행|그날의 분위기
252.0,하프,20151224,2016.1.21,"4,166,700",0.0%,"4,166,700",538,538,10,114,한국,한국,"영화사 민들레,하트박스(주)",(주)인디플러그,청소년관람불가,드라마,2,김세연,김세연,10004672.0,여자,감독,하프|왓니껴|본아베띠 화려한 음식|본아베띠 자극적인 음식|본아베띠 맛있는 음식|추격자|데뷔,김세연,김세연,김세연,10004672.0,여자,감독,하프|왓니껴|본아베띠 화려한 음식|본아베띠 자극적인 음식|본아베띠 맛있는 음식|추격자|데뷔,"안용준,정유석,문세윤,송영규,조덕제,이재헌,박혜영,박효진,정동석,손지훈,이경철,김기주,김근영,김대현,이세랑,이양희",안용준,민아,20231106.0,남자,배우,
53.0,극장판 꼬마버스 타요의 에이스 구출작전,20150566,2016.1.21,"905,899,900",0.1%,"905,899,900","135,398","135,398",200,"5,395",한국,한국,"(주)아이코닉스,(주)스튜디오게일",(주)아이코닉스,전체관람가,애니메이션,1,류정우,류정우,10019108.0,남자,감독,띠띠뽀 띠띠뽀|꼬마버스 타요 5기 + 타요의 씽씽 극장 2기|띠띠뽀 띠띠뽀 시즌1 / 꼬마버스 타요 시즌5|극장판 꼬마버스 타요의 에이스 구출작전|마당을 나온 암탉|천년여우 여우비|살결|띠띠뽀 띠띠뽀|꼬마버스 타요|세 번째 소원,"공병필, 박은설",공병필,공병필,20254330.0,남자,시나리오(각본),극장판 꼬마버스 타요의 에이스 구출작전,"문남숙, 정혜옥, 최하나, 김영선, 전숙경, 김은아, 엄상현, 신용우",문남숙,,10026677.0,여자,배우,
25.0,오빠생각,20158483,2016.1.21,"8,060,591,287",0.9%,"8,060,591,287","1,069,864","1,069,864",855,"44,801",한국,한국,(주)조이래빗,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,전쟁",0,이한,이한,10058005.0,남자,감독,증인|오빠생각|손님|연애의 맛|오늘의 연애|우아한 거짓말|완득이|내 사랑|청춘만화|하늘정원|연애소설,이우탁,이우탁,이우탁,20209306.0,남자,시나리오(각본),오빠생각,"김현빈,임시완,고아성,이희준,이준혁,정준원,이레,김영재,임윤경,정대웅,정병두,정세훈,이건하,이성욱,이승빈,이승준,이연화,홍동영,홍솔,강현구,정준용,탕준상,김대현,여윤호,이현정,박수영,김푸름,김향기,장준휘,이정현,손영순,박지연",김현빈,일환,20304870.0,남자,배우,여중생A|물속에서 숨 쉬는 법|아수라|오빠생각
37.0,"로봇, 소리",20157466,2016.1.27,"3,519,595,560",0.4%,"3,519,595,560","476,665","476,665",609,"25,502",한국,한국,"(주)영화사 좋은날,(주)디씨지플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,1,이호재,이호재,10058219.0,남자,감독,"로봇, 소리|작전|네번째 층 - 어느날 갑자기 두번째 이야기","이소영, 이호재",이소영,이소영,10056115.0,여자,시나리오(각본),"로봇, 소리|미확인 동영상 : 절대클릭금지|흑심모녀|아파트|여고괴담 세번째 이야기: 여우계단|화성으로 간 사나이","이성민,이희준,이하늬,김원해,채수빈,심은경,곽시양,이영진,이무생,남연우,전국환,류준열,박영수,이현석,박정민,박지훈,안광복,유민상,이상우,이승준,노소영,차순배",이성민,해관,20110148.0,남자,배우,"비스트|제8일의 밤|남산의 부장들|리멤버|미스터 주(가제)|마약왕|목격자|공작|바람 바람 바람|리얼|보안관|굿바이 싱글|검사외전|로봇, 소리|손님|빅매치|군도: 민란의 시대|방황하는 칼날|관능의 법칙|변호인|마이 리틀 히어로|베스트셀러|카페 느와르|비단구두|블랙&화이트"
