,상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회
1049,2018-06-24,06관,"07:20,  미드나잇 선(디지털),  8,000원","09:25,  쥬라기 월드: 폴른 킹덤(디지털),  8,000원","12:00,  미드나잇 선(디지털),  12,000원","14:00,  어벤져스: 인피니티 워(디지털),  12,000원","17:10,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","19:50,  데드풀 2(디지털),  12,000원","22:45,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","25:40,  미드나잇 선(디지털),  10,000원","28:00,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원",,,
1050,2018-06-25,01관,"08:40,  오션스8(디지털),  7,000원","11:00,  오션스8(디지털),  10,000원","13:20,  오션스8(디지털),  11,000원","15:40,  오션스8(디지털),  11,000원","18:00,  오션스8(디지털),  11,000원","20:20,  오션스8(디지털),  11,000원","22:40,  오션스8(디지털),  10,000원","25:00,  오션스8(디지털),  9,000원",,,,
1051,2018-06-25,02관,"08:00,  쥬라기 월드: 폴른 킹덤(디지털)","10:35,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","13:10,  어벤져스: 인피니티 워(디지털),  11,000원","16:10,  미드나잇 선(디지털),  11,000원","18:10,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","20:45,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","23:20,  데드풀 2(디지털),  10,000원",,,,,
1052,2018-06-25,03관,"07:55,  탐정: 리턴즈(디지털),  7,000원","10:20,  탐정: 리턴즈(디지털),  10,000원","12:45,  탐정: 리턴즈(디지털),  10,000원","15:10,  탐정: 리턴즈(디지털),  11,000원","17:35,  탐정: 리턴즈(디지털),  11,000원","20:00,  탐정: 리턴즈(디지털),  11,000원","22:25,  탐정: 리턴즈(디지털),  10,000원","24:50,  탐정: 리턴즈(디지털),  9,000원",,,,
1053,2018-06-25,04관(SCREENX),"06:50,  여중생A(디지털)","09:15,  미드나잇 선(디지털),  7,000원","11:15,  탐정: 리턴즈(디지털),  10,000원","14:00,  나폴리: 위험한 유혹(디지털),  7,000원","16:10,  더 플레이스(디지털),  7,000원","18:50,  탐정: 리턴즈(디지털),  11,000원","21:15,  탐정: 리턴즈(디지털),  11,000원","23:40,  탐정: 리턴즈(디지털),  10,000원",,,,
1054,2018-06-25,05관,"06:30,  쥬라기 월드: 폴른 킹덤(디지털),  7,000원","09:05,  쥬라기 월드: 폴른 킹덤(디지털),  7,000원","11:40,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","14:15,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","16:50,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","19:25,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","22:00,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","24:35,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원",,,,
1055,2018-06-25,06관,"07:20,  독전(디지털),  7,000원","09:50,  독전(디지털),  9,000원","12:20,  독전(디지털),  10,000원","14:50,  오션스8(디지털),  11,000원","17:10,  오션스8(디지털),  11,000원","19:30,  독전(디지털),  11,000원","22:05,  독전(디지털),  10,000원","24:40,  독전(디지털),  9,000원",,,,
1056,2018-06-26,01관,"08:00,  오션스8(디지털)","10:20,  오션스8(디지털),  10,000원","12:45,  오션스8(디지털),  10,000원","15:10,  오션스8(디지털),  11,000원","17:40,  오션스8(디지털),  11,000원","20:30,  오션스8(디지털),  11,000원","23:00,  오션스8(디지털),  10,000원","25:20,  오션스8(디지털),  9,000원","27:45,  오션스8(디지털),  8,000원",,,
1057,2018-06-26,02관,"08:20,  여중생A(디지털),  7,000원","10:45,  데드풀 2(디지털),  10,000원","13:10,  독전(디지털),  11,000원","15:40,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","18:20,  미드나잇 선(디지털),  11,000원","20:20,  탐정: 리턴즈(디지털),  11,000원","22:45,  어벤져스: 인피니티 워(디지털),  10,000원","25:50,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원",,,,
1058,2018-06-26,03관,"07:40,  탐정: 리턴즈(디지털),  7,000원","10:05,  탐정: 리턴즈(디지털),  10,000원","12:30,  탐정: 리턴즈(디지털),  10,000원","14:55,  탐정: 리턴즈(디지털),  11,000원","17:20,  탐정: 리턴즈(디지털),  11,000원","20:00,  시카리오: 데이 오브 솔다도(디지털),  10,000원","23:10,  탐정: 리턴즈(디지털),  10,000원","25:40,  탐정: 리턴즈(디지털),  9,000원","28:15,  탐정: 리턴즈(디지털),  8,000원",,,
