movieCd,movieNm,감독1,감독1코드,감독1성별,감독2,감독2코드,감독2성별,감독3,감독3코드,감독3성별,감독4,감독4코드,감독4성별
20153801,"안녕, 전우치! 도술로봇대결전",김대창,20214346,남자,,,,,,,,,
20154323,슈퍼레이서 엔지,허선,20214806,남자,,,,,,,,,
20154342,뚜르: 내 생애 최고의 49일,임정하,20214827,여자,김양래,20215847,여자,전일우,20215849,남자,박형준,20215848,남자
20154428,야근 대신 뜨개질,박소현,20214911,여자,,,,,,,,,
20154429,왕초와 용가리,이창준,20214926,남자,,,,,,,,,
20154661,형,권수경,10002413,남자,,,,,,,,,
20154802,아티스트: 다시 태어나다,김경원,20215486,남자,,,,,,,,,
20154803,우리 연애의 이력,조성은,20215487,여자,,,,,,,,,
20154905,가려진 시간,엄태화,10047368,남자,,,,,,,,,
20154906,사냥,이우철,10056854,남자,,,,,,,,,
20154907,희생부활자,곽경택,10001931,남자,,,,,,,,,
20154908,7년의 밤,추창민,10072983,남자,,,,,,,,,
20154909,살인자의 기억법,원신연,20111284,남자,,,,,,,,,
20155223,목숨 건 연애,송민규,10037076,남자,,,,,,,,,
20155301,두 번째 스물,박흥식,20110995,남자,,,,,,,,,
20155321,최악의 하루,김종관,10005660,남자,,,,,,,,,
20155335,두 개의 연애,조성규,10065915,남자,,,,,,,,,
20155382,눈꺼풀,오멸,10050307,남자,,,,,,,,,
20155385,흔들리는 물결,김진도,20162812,남자,,,,,,,,,
20155387,혼자,박홍민,20111993,남자,,,,,,,,,
20155388,초인,서은영,20168380,여자,,,,,,,,,
20155390,양치기들,김진황,20187952,남자,,,,,,,,,
20155391,스틸 플라워,박석영,20191486,남자,,,,,,,,,
20155483,그럼에도 불구하고,김영조,10005015,남자,,,,,,,,,
20155485,소녀와 여자,김효정,20130020,여자,,,,,,,,,
20155826,치외법권,신재호,20111176,남자,,,,,,,,,
20156047,나쁜 나라,김진열,10005927,여자,이수정,10056156,여자,정일건,10062151,남자,,,
20156250,인천상륙작전,이재한,10057235,남자,,,,,,,,,
20156281,성실한 나라의 앨리스,안국진,20112403,남자,,,,,,,,,
20156321,약장수,조치언,20138384,남자,,,,,,,,,
20156441,최강전사 미니특공대 : 새로운 악당의 습격,이영준,20186877,남자,,,,,,,,,
20156498,독도의 영웅들,권순도,20217370,남자,,,,,,,,,
20156553,비밀,박은경,20066038,여자,이동하,20204806,남자,,,,,,
20156554,물괴,허종호,10088447,남자,,,,,,,,,
20156557,탐정 : 더 비기닝,김정훈,10005643,남자,,,,,,,,,
20156562,루시드 드림,김준성,20122844,남자,,,,,,,,,
20156564,부산행,연상호,10049814,남자,,,,,,,,,
20156708,석조저택 살인사건,정식,10061563,남자,김휘,10003489,남자,,,,,,
20156748,열정같은소리하고있네,정기훈,10061628,남자,,,,,,,,,
20156807,뽀로로 극장판 컴퓨터 왕국 대모험,박영균,10028920,남자,,,,,,,,,
20157064,커튼콜,류훈,10019026,남자,,,,,,,,,
20157431,명량: 회오리 바다를 향하여,김한민,10006204,남자,정세교,20158266,남자,,,,,,
20157441,멜리스,김용운,20206966,남자,,,,,,,,,
20157464,더 폰,김봉주,20128476,남자,,,,,,,,,
20157465,그놈이다,윤준형,10054518,남자,,,,,,,,,
20157466,"로봇, 소리",이호재,10058219,남자,,,,,,,,,
20157501,극적인 하룻밤,하기호,10086669,남자,,,,,,,,,
20157587,파울볼,조정래,10066934,남자,김보경,20144559,여자,,,,,,
20157631,다른 길이 있다,조창호,10067366,남자,,,,,,,,,
20157986,검은손,박재식,10029120,남자,,,,,,,,,
20158161,소꿉놀이,김수빈,20208249,여자,,,,,,,,,
20158358,파란입이 달린 얼굴,김수정,20221426,여자,,,,,,,,,
20158359,할머니의 먼 집,이소현,20221427,여자,,,,,,,,,
20158481,퇴마: 무녀굴,김휘,10003489,남자,,,,,,,,,
20158482,동주,이준익,10057485,남자,,,,,,,,,
20158483,오빠생각,이한,10058005,남자,,,,,,,,,
20158526,문영 단편,김소연,20222448,여자,,,,,,,,,
20158682,꾸루꾸루와 친구들: 무지개 나무의 비밀,문제대,10026803,남자,,,,,,,,,
20158701,세상끝의 사랑,김인식,10005426,남자,,,,,,,,,
20158742,울보,이진우,20122905,남자,,,,,,,,,
20158743,눈이라도 내렸으면,장희철,10060684,남자,,,,,,,,,
20158744,짐작보다 따뜻하게,이상민,20150940,남자,,,,,,,,,
20158795,해에게서 소년에게,안슬기,10043558,남자,,,,,,,,,
20158799,눈길,이나정,20208386,여자,,,,,,,,,
20158821,삼례,이현정,20168120,여자,,,,,,,,,
20158822,설행_눈길을 걷다,김희정,10006553,여자,,,,,,,,,
20158824,프랑스 영화처럼,신연식,10040499,남자,,,,,,,,,
20158951,순교,김상철,10004440,남자,,,,,,,,,
20158982,트릭,이창열,20225826,남자,,,,,,,,,
20159002,서태지밴드 콘서트투어 '콰이어트나이트',서태지,10035656,남자,,,,,,,,,
20159161,마돈나,신수원,10040434,여자,,,,,,,,,
20159286,연애담,이현주,20187945,여자,,,,,,,,,
20159447,레나,김도원,20234306,남자,,,,,,,,,
20159627,사돈의 팔촌,장현상,20172723,남자,,,,,,,,,
20159641,위대한 소원,남대중,20209287,남자,,,,,,,,,
20159643,글로리데이,최정열,20112573,남자,,,,,,,,,
20159644,봉이 김선달,박대민,10028545,남자,,,,,,,,,
20159645,특별수사: 사형수의 편지,권종관,10002517,남자,,,,,,,,,
20159646,밀정,김지운,10005852,남자,,,,,,,,,
20159647,리얼,이사랑,20254349,남자,,,,,,,,,
20159648,"고산자, 대동여지도",강우석,10000783,남자,,,,,,,,,
20159657,최강전사 미니특공대: 영웅의 탄생,이영준,20186877,남자,,,,,,,,,
